model,relevant_property,sharpness,human_mean,model_mean,signed_residual,abs_residual
planned_usefulness_signed_order,second,sharp,0.5434676018329876,0.6334161,0.08994851440465279,0.08994851440465279
planned_usefulness_signed_order_static,both,blurred,0.7456020075441603,0.6884248,-0.05717718187582532,0.05717718187582532
planned_usefulness_signed_order_static,both,sharp,0.7039198614267522,0.69492924,-0.008990619292657986,0.008990619292657986
planned_usefulness_signed_order_static,first,blurred,0.8004220194738666,0.71674633,-0.08367568921263613,0.08367568921263613
planned_usefulness_signed_order_static,first,sharp,0.8430052735958975,0.7196033,-0.123401973501293,0.123401973501293
planned_usefulness_signed_order_static,second,blurred,0.5622611471576391,0.63007414,0.06781299625208992,0.06781299625208992
planned_usefulness_signed_order_static,second,sharp,0.5434676018329876,0.6330972,0.08962956995045968,0.08962956995045968
planned_usefulness_mixture,both,blurred,0.7456020075441603,0.68675005,-0.05885195318472425,0.05885195318472425
planned_usefulness_mixture,both,sharp,0.7039198614267522,0.6942313,-0.00968858968297781,0.00968858968297781
planned_usefulness_mixture,first,blurred,0.8004220194738666,0.7178196,-0.08260244797881044,0.08260244797881044
planned_usefulness_mixture,first,sharp,0.8430052735958975,0.720805,-0.12220028425797635,0.12220028425797635
planned_usefulness_mixture,second,blurred,0.5622611471576391,0.63160443,0.0693432859020533,0.0693432859020533
planned_usefulness_mixture,second,sharp,0.5434676018329876,0.63472843,0.09126082986867257,0.09126082986867257
planned_usefulness_mixture_static,both,blurred,0.7456020075441603,0.6871868,-0.05841522995245496,0.05841522995245496
planned_usefulness_mixture_static,both,sharp,0.7039198614267522,0.6941439,-0.009775970092218533,0.009775970092218533
planned_usefulness_mixture_static,first,blurred,0.8004220194738666,0.7177669,-0.08265513848479189,0.08265513848479189
planned_usefulness_mixture_static,first,sharp,0.8430052735958975,0.7207542,-0.12225106741532499,0.12225106741532499
planned_usefulness_mixture_static,second,blurred,0.5622611471576391,0.6312236,0.06896247182658333,0.06896247182658333
planned_usefulness_mixture_static,second,sharp,0.5434676018329876,0.63419557,0.09072796434438057,0.09072796434438057
planned_usefulness_mixture_anchored,both,blurred,0.7456020075441603,0.6879055,-0.0576965171457533,0.0576965171457533
planned_usefulness_mixture_anchored,both,sharp,0.7039198614267522,0.6955753,-0.008344564547937527,0.008344564547937527
planned_usefulness_mixture_anchored,first,blurred,0.8004220194738666,0.720738,-0.079684025756673,0.079684025756673
planned_usefulness_mixture_anchored,first,sharp,0.8430052735958975,0.72388524,-0.11912003542527372,0.11912003542527372
planned_usefulness_mixture_anchored,second,blurred,0.5622611471576391,0.63262075,0.07035960470011848,0.07035960470011848
planned_usefulness_mixture_anchored,second,sharp,0.5434676018329876,0.6353782,0.0919105801013691,0.0919105801013691
planned_usefulness_mixture_anchored_static,both,blurred,0.7456020075441603,0.6883129,-0.057289119398713506,0.057289119398713506
planned_usefulness_mixture_anchored_static,both,sharp,0.7039198614267522,0.6959386,-0.007981274238031522,0.007981274238031522
planned_usefulness_mixture_anchored_static,first,blurred,0.8004220194738666,0.72079587,-0.07962614964659609,0.07962614964659609
planned_usefulness_mixture_anchored_static,first,sharp,0.8430052735958975,0.7240755,-0.11892977739915067,0.11892977739915067
planned_usefulness_mixture_anchored_static,second,blurred,0.5622611471576391,0.63256794,0.07030679498484749,0.07030679498484749
planned_usefulness_mixture_anchored_static,second,sharp,0.5434676018329876,0.63556725,0.09209964603459664,0.09209964603459664
