relevant_property,sharpness,statesArray,annotation_category,probability,source
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
