model,semantics,planning_scale,relevant_property,sharpness,category,empirical_proportion,model_proportion,condition_n,summary_type,signed_residual,abs_residual
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,second,blurred,one_adjective,0.6884185773074663,0.37814915,1701,length,-0.31026942550540326,0.31026942550540326
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,second,blurred,three_adjectives,0.0411522633744856,0.21650383,1701,length,0.1753515653894762,0.1753515653894762
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,second,blurred,two_adjectives,0.2704291593180482,0.40534702,1701,length,0.13491786011592705,0.13491786011592705
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,second,sharp,one_adjective,0.7452018530774321,0.3405084,1511,length,-0.40469345168354176,0.40469345168354176
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,second,sharp,three_adjectives,0.02382528127068167,0.2538846,1511,length,0.23005933224326486,0.23005933224326486
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,second,sharp,two_adjectives,0.23097286565188616,0.40560696,1511,length,0.17463408963795454,0.17463408963795454
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,both,blurred,one_adjective,0.05972797161442933,0.2724799,1691,length,0.21275192016260924,0.21275192016260924
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,both,blurred,three_adjectives,0.2891780011827321,0.29633313,1691,length,0.007155132991614799,0.007155132991614799
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,both,blurred,two_adjectives,0.6510940272028385,0.43118694,1691,length,-0.21990708295654637,0.21990708295654637
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,both,sharp,one_adjective,0.06816677696889478,0.24199091,1511,length,0.17382413201147479,0.17382413201147479
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,both,sharp,three_adjectives,0.27001985440105886,0.32200962,1511,length,0.05198976864963084,0.05198976864963084
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,both,sharp,two_adjectives,0.6618133686300463,0.43599948,1511,length,-0.22581388575994432,0.22581388575994432
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,first,blurred,one_adjective,0.3269230769230769,0.25044176,1664,length,-0.07648131709832412,0.07648131709832412
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,first,blurred,three_adjectives,0.2542067307692308,0.32555723,1664,length,0.07135050113384539,0.07135050113384539
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,first,blurred,two_adjectives,0.4188701923076923,0.42400098,1664,length,0.005130786162156342,0.005130786162156342
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.25,first,sharp,one_adjective,0.47148541114058357,0.22058904,1508,length,-0.25089636943068366,0.25089636943068366
