model,semantics,planning_scale,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.5,overinformativeness,overall,14,0.24197886565705426,0.28488097254301864,0.22699170710385214
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.5,selection,overall,24,0.13520915243960563,0.16154028920749872,0.26995312338855276
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.0,length,overall,18,0.20834946384657532,0.2500989351345154,0.32510195035428935
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.0,order,overall,24,0.21847668635209114,0.29642654491685644,0.5536005984454317
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.0,overinformativeness,overall,14,0.26787788634592863,0.3228998983903948,0.3033838914588482
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.0,selection,overall,24,0.15645817104912937,0.18476817769444104,0.3512238593231861
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.5,length,overall,18,0.22132050826114857,0.2690150346808909,0.39813136162298496
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.5,order,overall,24,0.24963619573290483,0.33691161526359203,0.7470430485941595
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.5,overinformativeness,overall,14,0.284554937064168,0.3481305664425802,0.37489897657813964
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,1.5,selection,overall,24,0.17049785855101685,0.20213082282123473,0.436085379465173
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,2.0,length,overall,18,0.2287260335415182,0.2795664333803089,0.44882928987497317
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,2.0,order,overall,24,0.26705958044909583,0.3594231569706424,0.9015126621158334
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,2.0,overinformativeness,overall,14,0.2940763288390949,0.361932017074805,0.4245241970645358
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,2.0,selection,overall,24,0.17901547699731726,0.21323621630642517,0.5142760232527371
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,3.0,length,overall,18,0.23564685716194353,0.28871424377768307,0.4990858270119729
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,3.0,order,overall,24,0.28355639969907104,0.3796254915592631,1.1119914664319182
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,3.0,overinformativeness,overall,14,0.30297453702299654,0.37361768741193413,0.4734478520365414
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,3.0,selection,overall,24,0.18910861479005678,0.22561094560523445,0.6367351958334129
