candidate,baseline,semantics,planning_scale,summary_type,relevant_property,sharpness,category,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,second,sharp,colour_only,-0.062111930844012175,-0.19796820163411227,0.062111930844012175,0.19796820163411227,-0.1358562707901001
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,first,blurred,size_only,-0.0011421533731313868,0.023132158586612113,0.0011421533731313868,0.023132158586612113,-0.021990005213480726
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,first,sharp,size_only,-0.125302488927974,-0.10983813834680486,0.125302488927974,0.10983813834680486,0.015464350581169128
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,first,blurred,size_colour,0.1595457780819673,0.2647391397219438,0.1595457780819673,0.2647391397219438,-0.1051933616399765
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,first,sharp,size_colour,0.18908472430326578,0.2576729960403645,0.18908472430326578,0.2576729960403645,-0.0685882717370987
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,both,blurred,redundant_form,-0.3726883907067148,-0.4013535756813852,0.3726883907067148,0.4013535756813852,-0.02866518497467041
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,both,sharp,redundant_form,-0.29741680562930106,-0.3200147742076397,0.29741680562930106,0.3200147742076397,-0.022597968578338623
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,both,blurred,colour_only,0.2207475965771007,0.045141587958030624,0.2207475965771007,0.045141587958030624,0.17560600861907005
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,both,sharp,colour_only,0.16282773448843424,0.016882606435007483,0.16282773448843424,0.016882606435007483,0.14594512805342674
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,overinformativeness,second,blurred,over_minimal_length,0.3102694255054032,0.5365126830279863,0.3102694255054032,0.5365126830279863,-0.22624325752258306
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,overinformativeness,second,sharp,over_minimal_length,0.4046934516835418,0.618124333183786,0.4046934516835418,0.618124333183786,-0.2134308815002442
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,second,blurred,colour_only,0.016206537955372136,-0.16525434923830767,0.016206537955372136,0.16525434923830767,-0.14904781128293554
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,second,sharp,colour_only,-0.062111930844012175,-0.23667891129535762,0.062111930844012175,0.23667891129535762,-0.17456698045134544
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,first,blurred,size_only,-0.0011421533731313868,0.028477145502200492,0.0011421533731313868,0.028477145502200492,-0.027334992129069105
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,first,sharp,size_only,-0.125302488927974,-0.10615399760497976,0.125302488927974,0.10615399760497976,0.019148491322994232
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,first,blurred,size_colour,0.1595457780819673,0.29060678069408125,0.1595457780819673,0.29060678069408125,-0.13106100261211395
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,selection,first,sharp,size_colour,0.18908472430326578,0.2768621749839985,0.18908472430326578,0.2768621749839985,-0.08777745068073273
