relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,planning_scale,empirical_proportion,condition_n,signed_residual,abs_residual
both,sharp,F,0.04986457,10,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.03242885506287227,1511,0.017435716478675506,0.017435716478675506
both,sharp,FC,0.027114118,13,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.036399735274652546,1511,-0.009285617756585186,0.009285617756585186
both,sharp,FCD,0.005110035,14,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.001985440105890139,1511,0.0031245950788806836,0.0031245950788806836
both,sharp,FD,0.0014640139,11,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0006618133686300463,1511,0.0008022005729559713,0.0008022005729559713
both,sharp,FDC,0.0056881118,12,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0006618133686300463,1511,0.005026298394817477,0.005026298394817477
first,blurred,C,0.21990913,5,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.26802884615384615,1664,-0.048119714626899124,0.048119714626899124
first,blurred,CD,0.011780912,6,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.001201923076923077,1664,0.010578988979642209,0.010578988979642209
first,blurred,CDF,0.055059314,7,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0234375,1664,0.03162181377410889,0.03162181377410889
first,blurred,CF,0.1136952,8,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.16346153846153846,1664,-0.04976634165415397,0.04976634165415397
first,blurred,CFD,0.029967733,9,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0006009615384615385,1664,0.02936677118906608,0.02936677118906608
first,blurred,D,0.043317575,0,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.04447115384615385,1664,-0.0011535788384767695,0.0011535788384767695
first,blurred,DC,0.19053452,1,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.04146634615384615,1664,0.14906817101515257,0.14906817101515257
first,blurred,DCF,0.17701295,2,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.20432692307692307,1664,-0.027313972894962013,0.027313972894962013
first,blurred,DF,0.06559841,3,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.19230769230769232,1664,-0.12670927895949438,0.12670927895949438
first,blurred,DFC,0.038745467,4,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.02283653846153846,1664,0.015908928158191536,0.015908928158191536
first,blurred,F,0.030341344,10,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.014423076923076924,1664,0.01591826703112859,0.01591826703112859
first,blurred,FC,0.015145104,13,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.017427884615384616,1664,-0.002282780236922778,0.002282780236922778
first,blurred,FCD,0.0028293591,14,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.001201923076923077,1664,0.001627436068911965,0.001627436068911965
first,blurred,FD,0.0012601184,11,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0030048076923076925,1664,-0.001744689249720138,0.001744689249720138
first,blurred,FDC,0.0048028356,12,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0018028846153846155,1664,0.0029999510241815676,0.0029999510241815676
first,sharp,C,0.1789955,5,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.2592838196286472,1508,-0.08028831465332831,0.08028831465332831
first,sharp,CD,0.009551241,6,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.0,1508,0.00955124106258154,0.00955124106258154
first,sharp,CDF,0.044099484,7,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.015915119363395226,1508,0.02818436427560662,0.02818436427560662
first,sharp,CF,0.09207303,8,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.1319628647214854,1508,-0.03988983395166043,0.03988983395166043
first,sharp,CFD,0.02431671,9,principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,0.000663129973474801,1508,0.023653579515155492,0.023653579515155492
