summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,one_adjective,0.17355360635019249,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,three_adjectives,0.28368564510816163,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,two_adjectives,0.5427607485416458,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,one_adjective,0.15843539459280634,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,three_adjectives,0.2999893312645169,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,two_adjectives,0.5415752741426768,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,one_adjective,0.7273605720477169,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,three_adjectives,0.04730526442749219,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,two_adjectives,0.22533416352479105,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,one_adjective,0.7264438936404506,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,three_adjectives,0.057015857468236716,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,two_adjectives,0.21654024889131251,504
