semantics,summary_type,relevant_property,sharpness,category,model_global,model_proportion_global,signed_residual_global,abs_residual_global,empirical_proportion,model_incremental,model_proportion_incremental,signed_residual_incremental,abs_residual_incremental,global_minus_incremental_abs_residual
context_fixed,overinformativeness,second,sharp,over_minimal_length,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.29704867376772975,0.033159784878841136,0.033159784878841136,0.2638888888888886,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.27355610635954924,0.009667217470660627,0.009667217470660627,0.02349256740818051
context_fixed,length,second,sharp,one_adjective,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.7029513262322702,-0.03315978487884119,0.03315978487884119,0.7361111111111114,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.7264438936404506,-0.009667217470660794,0.009667217470660794,0.023492567408180398
context_fixed,order,second,sharp,single_adjective,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.7029513262322702,-0.03315978487884119,0.03315978487884119,0.7361111111111114,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.7264438936404506,-0.009667217470660794,0.009667217470660794,0.023492567408180398
context_fixed,overinformativeness,second,sharp,minimal_length,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.7029513262322702,-0.03315978487884119,0.03315978487884119,0.7361111111111114,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.7264438936404506,-0.009667217470660794,0.009667217470660794,0.023492567408180398
context_updating,selection,second,sharp,size_colour,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.08298398124474668,0.08099985426061979,0.08099985426061979,0.0019841269841269008,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.05981375639535903,0.05782962941123213,0.05782962941123213,0.023170224849387654
context_fixed,selection,second,blurred,size_colour,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.06543482735778107,0.06543482735778107,0.06543482735778107,0.0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.04233631458167111,0.04233631458167111,0.04233631458167111,0.023098512776109963
context_updating,selection,second,blurred,size_colour,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.06445464823962108,0.06445464823962108,0.06445464823962108,0.0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.042545924918843375,0.042545924918843375,0.042545924918843375,0.0219087233207777
context_updating,overinformativeness,second,sharp,over_minimal_length,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.2942595716461356,0.03037068275724697,0.03037068275724697,0.2638888888888886,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.27400413254000816,0.010115243651119543,0.010115243651119543,0.020255439106127426
context_updating,order,second,sharp,single_adjective,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.7057404283538645,-0.03037068275724686,0.03037068275724686,0.7361111111111114,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.7259958674599919,-0.010115243651119488,0.010115243651119488,0.02025543910612737
context_updating,length,second,sharp,one_adjective,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.7057404283538645,-0.03037068275724686,0.03037068275724686,0.7361111111111114,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.7259958674599919,-0.010115243651119488,0.010115243651119488,0.02025543910612737
