summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,form_initial_multi,0.11282708555291762,503,0.9136228065271281,0.12349416492983252
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,single_adjective,0.0863771934728718,503,0.9136228065271281,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,size_initial_multi,0.586308605020278,503,0.9136228065271281,0.6417403340104435
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,colour_initial_multi,0.120943324118966,554,0.8545065107384603,0.14153587199054501
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,form_initial_multi,0.07298892560828779,554,0.8545065107384603,0.08541646516562071
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,single_adjective,0.14549348926153963,554,0.8545065107384603,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,size_initial_multi,0.6605742610112065,554,0.8545065107384603,0.7730476628438343
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,colour_initial_multi,0.07596111735914743,502,0.8232244368280721,0.0922726706848374
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,form_initial_multi,0.05221874166623249,502,0.8232244368280721,0.06343196257321285
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,single_adjective,0.176775563171928,502,0.8232244368280721,
