model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,category,empirical_proportion,model_proportion,signed_residual,abs_residual,n
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,both,sharp,three_adjectives,0.3757455268389661,0.43341787340555465,0.05767234656658854,0.05767234656658854,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,both,sharp,two_adjectives,0.5407554671968191,0.43148988646014996,-0.10926558073666914,0.10926558073666914,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,first,blurred,one_adjective,0.09927797833935018,0.17347848624318346,0.07420050790383328,0.07420050790383328,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,first,blurred,three_adjectives,0.3790613718411551,0.2838942820061959,-0.09516708983495925,0.09516708983495925,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,first,blurred,two_adjectives,0.5216606498194947,0.5426272317506207,0.020966581931125994,0.020966581931125994,554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,first,sharp,one_adjective,0.37051792828685265,0.15846409429306785,-0.2120538339937848,0.2120538339937848,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,first,sharp,three_adjectives,0.247011952191235,0.2995428210259598,0.0525308688347248,0.0525308688347248,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,first,sharp,two_adjectives,0.3824701195219123,0.5419930846809723,0.15952296515906,0.15952296515906,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,second,blurred,one_adjective,0.6719576719576723,0.7277333243524918,0.05577565239481952,0.05577565239481952,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,second,blurred,three_adjectives,0.045855379188712325,0.047009571772003635,0.0011541925832913094,0.0011541925832913094,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,second,blurred,two_adjectives,0.2821869488536155,0.22525710387550463,-0.05692984497811088,0.05692984497811088,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,second,sharp,one_adjective,0.7361111111111114,0.7259958674599919,-0.010115243651119488,0.010115243651119488,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,second,sharp,three_adjectives,0.011904761904761706,0.057789726974411995,0.045884965069650285,0.045884965069650285,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,second,sharp,two_adjectives,0.2519841269841269,0.21621440556559615,-0.03576972141853077,0.03576972141853077,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,both,blurred,one_adjective,0.12544169611307426,0.15474199058282123,0.029300294469746968,0.029300294469746968,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,both,blurred,three_adjectives,0.3992932862190811,0.3658186548293871,-0.03347463138969403,0.03347463138969403,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,both,blurred,two_adjectives,0.47526501766784446,0.4794393545877917,0.00417433691994723,0.00417433691994723,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,both,sharp,one_adjective,0.08349900596421474,0.13430366260732254,0.05080465664310781,0.05080465664310781,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,both,sharp,three_adjectives,0.3757455268389661,0.4333962047784259,0.05765067793945977,0.05765067793945977,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,both,sharp,two_adjectives,0.5407554671968191,0.4323001326142515,-0.10845533458256762,0.10845533458256762,503
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,length,first,blurred,one_adjective,0.09927797833935018,0.17355360635019249,0.07427562801084231,0.07427562801084231,554
