model,order_planning_scale,summary_type,relevant_property,sharpness,category,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,utterance,second,sharp,CF,0.091845238095238,0.09184523809523809,-9.71445146547012e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,utterance,second,sharp,CF,0.0919404761904761,0.09194047619047618,-8.326672684688674e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,utterance,second,sharp,CF,0.091845238095238,0.09129302279855137,0.0005522152966866284
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,utterance,second,sharp,CF,0.0919404761904761,0.09137954230150777,0.0005609338889683291
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,utterance,second,sharp,CF,0.091845238095238,0.09078062275897164,0.001064615336266353
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,utterance,second,sharp,CF,0.0919404761904761,0.09085898649057297,0.0010814896999031265
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,utterance,second,sharp,CF,0.091845238095238,0.09030544344479699,0.0015397946504410037
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,utterance,second,sharp,CF,0.0919404761904761,0.0903761872265832,0.001564288963892907
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,utterance,second,sharp,CF,0.091845238095238,0.08986501853531623,0.001980219559921767
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,utterance,second,sharp,CF,0.0919404761904761,0.08992865103023703,0.002011825160239067
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,utterance,second,sharp,CF,0.091845238095238,0.0890792066028791,0.002766031492358892
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,utterance,second,sharp,CF,0.0919404761904761,0.08913003475536493,0.002810441435111166
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,utterance,second,sharp,CF,0.091845238095238,0.08840599238398436,0.003439245711253633
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,2.0,utterance,second,sharp,CF,0.0919404761904761,0.08844573233983732,0.0034947438506387762
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,utterance,second,sharp,CF,0.091845238095238,0.08733817147713943,0.0045070666180985625
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,utterance,second,sharp,CF,0.0919404761904761,0.08736009936981218,0.004580376820663923
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,order,both,sharp,size_initial_multi,0.07638966202783304,0.07638966202783293,1.1102230246251565e-16
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,order,both,sharp,size_initial_multi,0.07638966202783304,0.07276788437404436,0.0036217776537886825
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,order,both,sharp,size_initial_multi,0.07638966202783304,0.06931261936681121,0.007077042661021826
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,order,both,sharp,size_initial_multi,0.07638966202783304,0.0660140415001218,0.010375620527711238
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,order,both,sharp,size_initial_multi,0.07638966202783304,0.06286294359707933,0.013526718430753704
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,order,both,sharp,size_initial_multi,0.07638966202783304,0.056969313630830465,0.019420348397002574
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,order,both,sharp,size_initial_multi,0.07638966202783304,0.05156951213273864,0.0248201498950944
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,order,both,sharp,size_initial_multi,0.07638966202783304,0.04204250454033609,0.03434715748749695
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,order,both,sharp,size_initial_multi,0.0763618290258451,0.0763618290258451,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,order,both,sharp,size_initial_multi,0.0763618290258451,0.07276699500070583,0.0035948340251392708
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,order,both,sharp,size_initial_multi,0.0763618290258451,0.06933687676929579,0.0070249522565493105
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,order,both,sharp,size_initial_multi,0.0763618290258451,0.06606177207029607,0.01030005695554903
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,order,both,sharp,size_initial_multi,0.0763618290258451,0.06293259060864331,0.013429238417201783
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,order,both,sharp,size_initial_multi,0.0763618290258451,0.057078557988498924,0.019283271037346172
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,2.0,order,both,sharp,size_initial_multi,0.0763618290258451,0.05171336503206714,0.024648463993777958
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,order,both,sharp,size_initial_multi,0.0763618290258451,0.04224331730031128,0.03411851172553382
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,order,second,sharp,colour_initial_multi,0.04908181203515899,0.04908181203515899,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,order,second,sharp,colour_initial_multi,0.04908181203515899,0.04437323230218054,0.004708579732978446
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,order,second,sharp,colour_initial_multi,0.04908181203515899,0.0395499555954579,0.009531856439701086
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,order,second,sharp,colour_initial_multi,0.04908181203515899,0.034629604707501344,0.014452207327657646
