model,order_planning_scale,relevant_property,sharpness,utterance_code,utterance_label,human_mean,model_mean,candidate_model_mean,signed_residual,candidate_signed_residual,abs_residual,candidate_abs_residual,utterance_set,order_score
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,12,FDC,0.003610108303249,0.0044250311707996,0.0044250311707996,0.0008149228675505,0.0008149228675505995,0.0008149228675505,0.0008149228675505995,CDF,0.75
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,14,FCD,0.003610108303249,0.0024497163486333,0.0024497163486333,-0.0011603919546157,-0.0011603919546157,0.0011603919546157,0.0011603919546157,CDF,0.5
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,3,DF,0.3646209386281588,0.4146498194945848,0.4146498194945848,0.0500288808664259,0.050028880866425984,0.0500288808664259,0.050028880866425984,DF,1.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,11,FD,0.0090252707581227,0.0049385031334489,0.0049385031334489,-0.0040867676246737,-0.0040867676246738,0.0040867676246737,0.0040867676246738,DF,0.75
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,5,C,0.0054151624548736,0.0135848375451263,0.0135848375451263,0.0081696750902527,0.0081696750902527,0.0081696750902527,0.0081696750902527,C,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,8,CF,0.0866425992779783,0.0766570397111913,0.0766570397111913,-0.009985559566787,-0.009985559566786997,0.009985559566787,0.009985559566786997,CF,0.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,13,FC,0.0162454873646209,0.0205054151624548,0.0205054151624548,0.0042599277978339,0.0042599277978339,0.0042599277978339,0.0042599277978339,CF,0.3
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,10,F,0.0379061371841155,0.0562743682310469,0.0562743682310469,0.0183682310469314,0.018368231046931402,0.0183682310469314,0.018368231046931402,F,0.3
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,0,D,0.2689243027888446,0.265617529880478,0.265617529880478,-0.0033067729083665,-0.0033067729083666175,0.0033067729083665,0.0033067729083666175,D,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,sharp,1,DC,0.045816733067729,0.0606733067729083,0.0606733067729083,0.0148565737051792,0.014856573705179302,0.0148565737051792,0.014856573705179302,CD,1.0
