model,order_planning_scale,relevant_property,sharpness,category,human_mean,model_mean,candidate_model_mean,summary_type,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,both,sharp,one_adjective,0.0834990059642147,0.120003976143141,0.120003976143141,length,0.0365049701789263,0.0365049701789263,0.0365049701789263,0.0365049701789263,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,both,sharp,three_adjectives,0.375745526838966,0.42036270460347747,0.42036270460347747,length,0.04461717776451146,0.04461717776451146,0.04461717776451146,0.04461717776451146,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,both,sharp,two_adjectives,0.5407554671968189,0.4633771370448529,0.4633771370448529,length,-0.07737833015196599,-0.07737833015196599,0.07737833015196599,0.07737833015196599,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,first,blurred,one_adjective,0.09927797833935009,0.1134368231046931,0.1134368231046931,length,0.014158844765343001,0.014158844765343001,0.014158844765343001,0.014158844765343001,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,first,blurred,three_adjectives,0.37906137184115485,0.3127642909562007,0.31276429095620073,length,-0.06629708088495417,-0.06629708088495412,0.06629708088495417,0.06629708088495412,5.551115123125783e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,first,blurred,two_adjectives,0.5216606498194943,0.5775570336793694,0.5775570336793694,length,0.055896383859875054,0.055896383859875054,0.055896383859875054,0.055896383859875054,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,first,sharp,one_adjective,0.3705179282868525,0.3063038359907392,0.3063038359907392,length,-0.0642140922961133,-0.0642140922961133,0.0642140922961133,0.0642140922961133,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,first,sharp,three_adjectives,0.24701195219123492,0.311565189950377,0.311565189950377,length,0.0645532377591421,0.0645532377591421,0.0645532377591421,0.0645532377591421,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,first,sharp,two_adjectives,0.3824701195219121,0.3888725716357176,0.38887257163571753,length,0.006402452113805468,0.0064024521138054125,0.006402452113805468,0.0064024521138054125,5.551115123125783e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,second,blurred,one_adjective,0.6719576719576719,0.7034729009706274,0.7034729009706274,length,0.03151522901295556,0.03151522901295556,0.03151522901295556,0.03151522901295556,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,second,blurred,three_adjectives,0.045855379188712304,0.05024995482186689,0.05024995482186689,length,0.004394575633154589,0.004394575633154589,0.004394575633154589,0.004394575633154589,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.5,second,blurred,two_adjectives,0.2821869488536154,0.2533774596589762,0.25337745965897623,length,-0.028809489194639215,-0.02880948919463916,0.028809489194639215,0.02880948919463916,5.551115123125783e-17
