relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.01057226752742604,0.0035335689045936395,0.019434628975265017,both | blurred
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502,0.061075697211155376,0.0398406374501992,0.08366533864541832,first | sharp
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502,0.23769721115537848,0.1881972111553785,0.28391434262948206,first | sharp
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502,0.28034262948207167,0.23107569721115537,0.33067729083665337,first | sharp
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502,0.05002390438247012,0.029880478087649404,0.07171314741035857,first | sharp
first,sharp,5,C,0.0,0.0,0.0,502,0.007861117513417405,0.00199203187250996,0.017928286852589643,first | sharp
first,sharp,6,CD,0.0,0.0,0.0,502,0.0025084845801977276,0.00199203187250996,0.00597609561752988,first | sharp
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502,0.014578958714241232,0.00398406374501992,0.025896414342629483,first | sharp
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502,0.0310398406374502,0.017928286852589643,0.045816733067729085,first | sharp
first,sharp,9,CFD,0.00199203187250996,0.0,0.00597609561752988,502,0.003056625955195611,0.00199203187250996,0.00796812749003984,first | sharp
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502,0.03415537848605577,0.0199203187250996,0.05179282868525897,first | sharp
first,sharp,11,FD,0.00199203187250996,0.0,0.00597609561752988,502,0.0033748796861483724,0.00199203187250996,0.00796812749003984,first | sharp
first,sharp,12,FDC,0.0,0.0,0.0,502,0.003932052468975274,0.00199203187250996,0.00796812749003984,first | sharp
first,sharp,13,FC,0.0099601593625498,0.00199203187250996,0.0199203187250996,502,0.010008063936638216,0.00199203187250996,0.017928286852589643,first | sharp
first,sharp,14,FCD,0.0,0.0,0.0,502,0.0023675788648683956,0.00199203187250996,0.00398406374501992,first | sharp
second,blurred,0,D,0.0,0.0,0.0,567,0.00894279456107413,0.001763668430335097,0.01763668430335097,second | blurred
second,blurred,1,DC,0.0,0.0,0.0,567,0.05085361552028218,0.03350970017636684,0.07054673721340388,second | blurred
second,blurred,2,DCF,0.026455026455026454,0.014109347442680775,0.04056437389770723,567,0.015267418881876712,0.005291005291005291,0.026455026455026454,second | blurred
second,blurred,3,DF,0.0,0.0,0.0,567,0.0045477737201351474,0.001763668430335097,0.00890652557319226,second | blurred
second,blurred,4,DFC,0.014109347442680775,0.005291005291005291,0.024691358024691357,567,0.002081924387688799,0.001763668430335097,0.0047619047619047415,second | blurred
