semantics,summary_type,relevant_property,sharpness,category,model_global,model_proportion_global,signed_residual_global,abs_residual_global,empirical_proportion,model_incremental,model_proportion_incremental,signed_residual_incremental,abs_residual_incremental,global_minus_incremental_abs_residual
context_fixed,order,first,blurred,form_initial_multi,principled_salience_stop_regularized_2x2_glob_static,0.13034758463021515,0.09785660990097353,0.09785660990097353,0.032490974729241624,principled_salience_stop_regularized_2x2_inc_static,0.03207716642484005,-0.000413808304401575,0.000413808304401575,0.09744280159657195
context_updating,selection,second,sharp,redundant_form,principled_salience_stop_regularized_2x2_glob_rec,0.5630011102196328,0.2812550784736013,0.2812550784736013,0.2817460317460315,principled_salience_stop_regularized_2x2_inc_rec,0.46623216238804344,0.18448613064201191,0.18448613064201191,0.0967689478315894
context_updating,selection,second,sharp,size_colour,principled_salience_stop_regularized_2x2_glob_rec,0.24342605284626065,0.24144192586213375,0.24144192586213375,0.0019841269841269008,principled_salience_stop_regularized_2x2_inc_rec,0.15150044412008848,0.14951631713596159,0.14951631713596159,0.09192560872617217
context_fixed,selection,second,sharp,size_colour,principled_salience_stop_regularized_2x2_glob_static,0.24296912100769577,0.24098499402356888,0.24098499402356888,0.0019841269841269008,principled_salience_stop_regularized_2x2_inc_static,0.15198071813472513,0.14999659115059824,0.14999659115059824,0.09098840287297064
context_updating,selection,second,blurred,size_colour,principled_salience_stop_regularized_2x2_glob_rec,0.20219523089795097,0.20219523089795097,0.20219523089795097,0.0,principled_salience_stop_regularized_2x2_inc_rec,0.11286593049153819,0.11286593049153819,0.11286593049153819,0.08932930040641278
context_fixed,selection,second,blurred,size_colour,principled_salience_stop_regularized_2x2_glob_static,0.2017890668359499,0.2017890668359499,0.2017890668359499,0.0,principled_salience_stop_regularized_2x2_inc_static,0.11267551503784437,0.11267551503784437,0.11267551503784437,0.08911355179810554
context_updating,order,first,sharp,form_initial_multi,principled_salience_stop_regularized_2x2_glob_rec,0.10889532320467633,0.09694313196961662,0.09694313196961662,0.011952191235059707,principled_salience_stop_regularized_2x2_inc_rec,0.020061895665810233,0.008109704430750526,0.008109704430750526,0.0888334275388661
context_fixed,order,first,sharp,form_initial_multi,principled_salience_stop_regularized_2x2_glob_static,0.1087872818237114,0.0968350905886517,0.0968350905886517,0.011952191235059707,principled_salience_stop_regularized_2x2_inc_static,0.020021944810876564,0.008069753575816857,0.008069753575816857,0.08876533701283484
context_updating,order,both,blurred,form_initial_multi,principled_salience_stop_regularized_2x2_glob_rec,0.14211535779779683,0.0944121775857828,0.0944121775857828,0.04770318021201402,principled_salience_stop_regularized_2x2_inc_rec,0.03344607885177658,-0.014257101360237445,0.014257101360237445,0.08015507622554535
context_fixed,order,both,blurred,form_initial_multi,principled_salience_stop_regularized_2x2_glob_static,0.14211705884672138,0.09441387863470735,0.09441387863470735,0.04770318021201402,principled_salience_stop_regularized_2x2_inc_static,0.03329505281979638,-0.01440812739221764,0.01440812739221764,0.08000575124248971
context_fixed,length,second,sharp,three_adjectives,principled_salience_stop_regularized_2x2_glob_static,0.33029905548256694,0.31839429357780524,0.31839429357780524,0.011904761904761706,principled_salience_stop_regularized_2x2_inc_static,0.2513551816371534,0.23945041973239173,0.23945041973239173,0.07894387384541351
context_updating,length,second,sharp,three_adjectives,principled_salience_stop_regularized_2x2_glob_rec,0.33040120027405084,0.31849643836928915,0.31849643836928915,0.011904761904761706,principled_salience_stop_regularized_2x2_inc_rec,0.2520288350418774,0.2401240731371157,0.2401240731371157,0.07837236523217345
context_updating,order,both,blurred,colour_initial_multi,principled_salience_stop_regularized_2x2_glob_rec,0.2055226908876453,-0.12839957059645368,0.12839957059645368,0.333922261484099,principled_salience_stop_regularized_2x2_inc_rec,0.2388898144834659,-0.09503244700063307,0.09503244700063307,0.033367123595820614
context_fixed,length,first,sharp,two_adjectives,principled_salience_stop_regularized_2x2_glob_static,0.47560630400872417,0.09313618448681188,0.09313618448681188,0.3824701195219123,principled_salience_stop_regularized_2x2_inc_static,0.4424856451723954,0.060015525650483126,0.060015525650483126,0.033120658836328754
context_updating,length,first,sharp,two_adjectives,principled_salience_stop_regularized_2x2_glob_rec,0.4753014764846749,0.09283135696276262,0.09283135696276262,0.3824701195219123,principled_salience_stop_regularized_2x2_inc_rec,0.4422083328531659,0.05973821333125362,0.05973821333125362,0.033093143631509
