summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,size_colour,0.24944927887487406,554
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,size_only,0.06033279163280146,554
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,colour_only,0.05180752127725634,502
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,redundant_form,0.6010521771538814,502
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,size_colour,0.27834944113267085,502
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,size_only,0.06879086043619141,502
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,colour_only,0.38975613894102423,567
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,redundant_form,0.478808746696845,567
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,size_colour,0.11286593049153819,567
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,size_only,0.018569183870592604,567
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,colour_only,0.3570963370716657,504
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,redundant_form,0.46623216238804344,504
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,size_colour,0.15150044412008848,504
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,size_only,0.02517105642020246,504
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,colour_only,0.24380599701152905,566
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,redundant_form,0.5110274971750216,566
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,size_colour,0.2059760981228928,566
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,size_only,0.03919040769055668,566
selection,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,colour_only,0.1887553819424908,503
