model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,scope,n_categories,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,both,sharp,condition,3,0.124739623038637,0.13931813882241148,0.11578336153363822
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,first,blurred,condition,3,0.06222817394208061,0.0734608046761747,0.0356225119645959
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,first,sharp,condition,3,0.152067225841284,0.1672768368282684,0.1703766031721707
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,second,blurred,condition,3,0.15762599889567305,0.17309871207810923,0.16259761206956153
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,second,sharp,condition,3,0.21937059770542025,0.24072544719148442,0.3235882054827284
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,both,blurred,condition,4,0.09816466859462532,0.11763881630076836,0.10637277590029966
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,both,sharp,condition,4,0.09600736439176258,0.11726277076687525,0.11466469202577723
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,first,blurred,condition,4,0.046671130456560454,0.058800686724630756,0.03400670260050569
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,first,sharp,condition,4,0.14198289916050563,0.181185842571087,0.20496860886751872
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,second,blurred,condition,4,0.1182194991717548,0.14483788626567795,0.14852838431470652
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,order,second,sharp,condition,4,0.16452794827906522,0.2089426504208301,0.33130826458703766
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,both,blurred,condition,3,0.1308862247928337,0.13894921104079114,0.10512684214917586
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,both,sharp,condition,3,0.124739623038637,0.13931813882241145,0.11578336153363822
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,first,blurred,condition,2,0.09334226091312095,0.09334226091312095,0.03274015694763291
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,first,sharp,condition,2,0.228100838761926,0.228100838761926,0.1596189354741811
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,second,blurred,condition,2,0.23643899834350962,0.23643899834350962,0.1133498219619685
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,overinformativeness,second,sharp,condition,2,0.32905589655813045,0.32905589655813045,0.22245859304802532
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,both,blurred,condition,4,0.2006832073585556,0.2418561457983109,0.423892525592183
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,both,sharp,condition,4,0.14232458815443874,0.17430891476925764,0.3112714863096453
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,first,blurred,condition,4,0.14850237596017143,0.18559143962659083,0.26423165271562693
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,first,sharp,condition,4,0.14217011467109908,0.16116734882098036,0.373824326991874
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,second,blurred,condition,4,0.11905491112913529,0.14244236871093915,0.20557459301226777
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,selection,second,sharp,condition,4,0.17958675209908798,0.21565565706031747,0.348049425257143
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,both,blurred,condition,3,0.13108351914446972,0.13918468807796974,0.10548674367666613
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,both,sharp,condition,3,0.12433664287700795,0.1389613308920267,0.11526554518064597
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,first,blurred,condition,3,0.06176439596691096,0.07306362337152121,0.03523288002940721
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,first,sharp,condition,3,0.1523647729928414,0.16756946722089347,0.17119933301313822
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,second,blurred,condition,3,0.15697036280248727,0.17232520097623563,0.1612942429345441
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,length,second,sharp,condition,3,0.21888449361137022,0.2401624119641749,0.3223436832624523
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,both,blurred,condition,4,0.09831263935835233,0.11779865078506682,0.10670208547769724
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,both,sharp,condition,4,0.09557699052273835,0.11679997223508637,0.1139914921025592
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,first,blurred,condition,4,0.04632329697518324,0.058171328496422085,0.033656776533886976
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,first,sharp,condition,4,0.14228380461783635,0.18158213018333688,0.20604734329982494
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,second,blurred,condition,4,0.11772777210186547,0.14420314573413867,0.14720938239756193
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,order,second,sharp,condition,4,0.16416337020852767,0.2083899628355062,0.32980840372772835
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,both,blurred,condition,3,0.13108351914446972,0.13918468807796974,0.10548674367666616
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,both,sharp,condition,3,0.12433664287700795,0.1389613308920267,0.11526554518064575
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,first,blurred,condition,2,0.09264659395036647,0.09264659395036647,0.032323598385823216
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,first,sharp,condition,2,0.22854715948926208,0.22854715948926208,0.16045440178221843
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,second,blurred,condition,2,0.2354555442037309,0.2354555442037309,0.1124061927939298
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,overinformativeness,second,sharp,condition,2,0.32832674041705534,0.32832674041705534,0.2214658893442276
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,both,blurred,condition,4,0.20120003233121717,0.24244507290401124,0.42544298912013756
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,both,sharp,condition,4,0.14197879752529372,0.17377948653296965,0.3101432090125774
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,first,blurred,condition,4,0.1481622512757435,0.1851865361296452,0.26306087892831514
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,first,sharp,condition,4,0.14155275960786884,0.16063239123300588,0.37245718869821337
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,second,blurred,condition,4,0.1185468994066729,0.14183849792784567,0.204517385193474
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,selection,second,sharp,condition,4,0.1792047305774135,0.21516808602268434,0.3472235238505646
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,length,ALL,ALL,overall,18,0.15819283867770317,0.21412598638949015,0.24263913442697774
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,order,ALL,ALL,overall,24,0.15575172127956063,0.21014263113315687,0.34617306112714313
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,overinformativeness,ALL,ALL,overall,14,0.20147411686833988,0.2765517504767492,0.21518787256152017
principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,selection,ALL,ALL,overall,24,0.1607389690905248,0.20776442376362245,0.40465385974688
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,length,ALL,ALL,overall,18,0.1581973232391817,0.21406561832406756,0.24248191421334686
