semantics,summary_type,relevant_property,sharpness,category,global_proportion,incremental_proportion,global_model,incremental_model,delta_incremental_minus_global,abs_delta_incremental_global
context_fixed,selection,second,sharp,colour_only,0.17405863072755648,0.35786038011501464,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.18380174938745816,0.18380174938745816
context_fixed,selection,both,blurred,redundant_form,0.6452208451965074,0.5110274971750216,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.13419334802148575,0.13419334802148575
context_fixed,selection,both,sharp,redundant_form,0.6216146653740997,0.5072948900388757,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.11431977533522397,0.11431977533522397
context_fixed,selection,second,blurred,redundant_form,0.5914860318436196,0.4780664135521323,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.11341961829148728,0.11341961829148728
context_fixed,selection,both,blurred,colour_only,0.1378176131857243,0.24380599701152905,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.10598838382580475,0.10598838382580475
context_fixed,selection,second,sharp,redundant_form,0.563415111134663,0.4650566372351317,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.09835847389953134,0.09835847389953134
context_fixed,selection,second,sharp,size_colour,0.24296912100769577,0.15198071813472513,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.09098840287297064,0.09098840287297064
context_fixed,selection,second,blurred,size_colour,0.2017890668359499,0.11267551503784437,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.08911355179810554,0.08911355179810554
context_fixed,selection,first,blurred,redundant_form,0.6842195227316833,0.5971773025026648,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.08704222022901853,0.08704222022901853
context_fixed,selection,both,sharp,colour_only,0.1235711987705532,0.1887553819424908,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.06518418317193761,0.06518418317193761
context_fixed,selection,first,blurred,size_colour,0.1936111715588837,0.2492916892998266,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0556805177409429,0.0556805177409429
context_fixed,selection,first,sharp,redundant_form,0.6338065657000892,0.602244157408574,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.03156240829151524,0.03156240829151524
context_fixed,selection,first,blurred,size_only,0.030680290347625917,0.06057627196675412,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.029895981619128206,0.029895981619128206
context_fixed,selection,both,sharp,size_colour,0.2297919181647824,0.2547676298229855,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.024975711658203115,0.024975711658203115
context_fixed,selection,both,sharp,size_only,0.025022217690564664,0.04918209819564779,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.024159880505083126,0.024159880505083126
context_fixed,selection,first,sharp,size_only,0.04510120527273584,0.06883359030795932,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.023732385035223486,0.023732385035223486
context_fixed,selection,first,sharp,size_colour,0.25392225458425516,0.27739432699756267,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.02347207241330751,0.02347207241330751
