summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,colour_initial_multi,0.10119753386341637,554,0.807379760747529,0.12534068697699405
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,form_initial_multi,0.03236995554797607,554,0.807379760747529,0.04009260217026705
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,single_adjective,0.19262023925247115,554,0.807379760747529,
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,size_initial_multi,0.6738122713361365,554,0.807379760747529,0.8345667108527388
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,colour_initial_multi,0.0576808571739824,502,0.8575829104750733,0.0672598024860699
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,form_initial_multi,0.020061895665810233,502,0.8575829104750733,0.02339353480667728
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,single_adjective,0.14241708952492668,502,0.8575829104750733,
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,size_initial_multi,0.7798401576352807,502,0.8575829104750733,0.9093466627072528
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,colour_initial_multi,0.35705456257868057,567,0.5644813263858373,0.6325356497880406
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,form_initial_multi,0.025237235229796304,567,0.5644813263858373,0.0447087158602409
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,single_adjective,0.43551867361416263,567,0.5644813263858373,
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,size_initial_multi,0.18218952857736043,567,0.5644813263858373,0.3227556343517186
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,colour_initial_multi,0.3136880186147883,504,0.5929447854470191,0.5290341129795078
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,form_initial_multi,0.024387743535539234,504,0.5929447854470191,0.041129872686465056
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,single_adjective,0.407055214552981,504,0.5929447854470191,
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,size_initial_multi,0.2548690232966916,504,0.5929447854470191,0.4298360143340272
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,colour_initial_multi,0.2386036369295735,566,0.6779330251702211,0.3519575357310007
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,form_initial_multi,0.03329505281979638,566,0.6779330251702211,0.04911259900848816
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,single_adjective,0.32206697482977903,566,0.6779330251702211,
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,size_initial_multi,0.4060343354208512,566,0.6779330251702211,0.5989298652605111
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,colour_initial_multi,0.1782687515734871,503,0.7299960297202732,0.24420509744662283
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,form_initial_multi,0.028505875576883177,503,0.7299960297202732,0.03904935700514197
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,single_adjective,0.2700039702797266,503,0.7299960297202732,
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,size_initial_multi,0.523221402569903,503,0.7299960297202732,0.7167455455482353
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,colour_initial_multi,0.10073212628717536,554,0.8080754277102833,0.1246568362715894
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,form_initial_multi,0.03207716642484005,554,0.8080754277102833,0.03969575775337222
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,single_adjective,0.19192457228971666,554,0.8080754277102833,
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,size_initial_multi,0.6752661349982679,554,0.8080754277102833,0.8356474059750384
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,colour_initial_multi,0.05752536698665707,502,0.8580292312024094,0.06704359816045337
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,form_initial_multi,0.020021944810876564,502,0.8580292312024094,0.023334805019193314
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,single_adjective,0.14197076879759057,502,0.8580292312024094,
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,size_initial_multi,0.7804819194048758,502,0.8580292312024094,0.9096215968203534
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,colour_initial_multi,0.3571764292051768,567,0.5634978722460587,0.6338558613921633
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,form_initial_multi,0.02516161248107306,567,0.5634978722460587,0.04465254213078184
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,single_adjective,0.4365021277539413,567,0.5634978722460587,
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,size_initial_multi,0.18115983055980886,567,0.5634978722460587,0.3214915964770547
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,colour_initial_multi,0.31409243047955393,504,0.592215629305944,0.5303683572952292
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,form_initial_multi,0.024291137279484273,504,0.592215629305944,0.04101738636643656
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,single_adjective,0.40778437069405604,504,0.592215629305944,
order,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,size_initial_multi,0.25383206154690574,504,0.592215629305944,0.42861425633833417
