dataset,result_dir,model,model_family,alignment_class,architecture,semantics,evaluation_scope,primary_metric_name,primary_metric,delta_primary_from_result_best,ppc_r,ppc_r2,ppc_rmse,ppc_mae,diagnostics_ok,diagnostic_status,max_r_hat,n_divergent,n_parameters,speaker_type,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,rank,elpd_loo,p_loo,elpd_diff,elpd_loo_se,dse,loo_warning,n_points,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,divergence_rate
production,models/production/results_sharp_form_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,sharp_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5292.722811698914,-1.8353309631347656,0.9507687298165196,0.903961177596918,0.0399401987705297,0.0225136715412281,True,pass,1.01,0.0,11.0,,,,,,1.0,-5292.722811698914,52.233638763427734,1.8353309631347656,63.96212034158337,0.2991603615166517,False,90.0,0.0,0.0,425.0,803.0,0.0
production,models/production/results_sharp_form_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,sharp_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5290.887480735779,0.0,0.9507475037622358,0.9039208159101226,0.0399608095923412,0.0225918055023383,True,pass,1.01,0.0,11.0,,,,,,0.0,-5290.887480735779,52.632691860198975,0.0,63.96702990077276,0.0,False,90.0,0.0,0.0,423.0,688.0,0.0
production,models/production/results_size_sharp_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_rec_fixedeps,sharp_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5292.722811698914,-105.85415935516357,0.9507687298165196,0.903961177596918,0.0399401987705297,0.0225136715412281,True,pass,1.01,0.0,11.0,,,,,,3.0,-5292.722811698914,52.233638763427734,105.85415935516356,63.96212034158337,13.557087313424407,False,90.0,0.0,0.0,425.0,803.0,0.0
production,models/production/results_size_sharp_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_sharpform_2x2_inc_static_fixedeps,sharp_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5290.887480735779,-104.01882839202881,0.9507475037622358,0.9039208159101226,0.0399608095923412,0.0225918055023383,True,pass,1.01,0.0,11.0,,,,,,2.0,-5290.887480735779,52.632691860198975,104.0188283920288,63.96702990077276,13.512893597832877,False,90.0,0.0,0.0,423.0,688.0,0.0
production,models/production/results_reliabilitybackup_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,size_sharp,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5187.82234954834,-0.9536972045898438,0.9694595799047676,0.9398518770691288,0.0312679879546663,0.0186700540088506,True,pass,1.01,0.0,12.0,,,,,,1.0,-5187.82234954834,58.70319414138794,0.9536972045898438,64.3556327496467,0.2659513599027108,False,90.0,0.0,0.0,562.0,693.0,0.0
production,models/production/results_reliabilitybackup_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,size_sharp,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5186.86865234375,0.0,0.9695129796565723,0.9399554177225652,0.031240913809374,0.0186588597028193,True,pass,1.01,0.0,12.0,,,,,,0.0,-5186.86865234375,58.69130182266235,0.0,64.34841805876657,0.0,False,90.0,0.0,0.0,513.0,970.0,0.0
production,models/production/results_size_sharp_2x2_full,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,size_sharp,production_specific_extension,global,context_updating,full_sample,loo_elpd,-5547.892329216003,-360.96338844299316,0.9338748983472912,0.8721223257631637,0.0455678792465809,0.0275866964077032,False,fail,1.26,0.0,12.0,,,,,,3.0,-5547.892329216003,8.879273414611816,360.9633884429931,64.33748829740813,25.188195039396923,False,90.0,1.0,1.0,13.0,38.0,0.0
production,models/production/results_size_sharp_2x2_full,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,size_sharp,production_specific_extension,global,context_fixed,full_sample,loo_elpd,-5547.627146720886,-360.698205947876,0.9338550908956706,0.8720853307917613,0.0455742660679521,0.0275896512340179,False,fail,1.46,0.0,12.0,,,,,,2.0,-5547.627146720886,8.57539176940918,360.698205947876,64.27390975120267,25.177225293786083,False,90.0,6.0,1.0,8.0,25.0,0.0
production,models/production/results_size_sharp_2x2_full,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,size_sharp,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5187.360596656799,-0.4316558837890625,0.9694841930795688,0.9398996006311426,0.0312668692145208,0.0187421397767011,True,pass,1.01,0.0,12.0,,,,,,1.0,-5187.360596656799,58.8288950920105,0.4316558837890625,64.37956934531016,0.2231472780506445,False,90.0,0.0,0.0,1837.0,3762.0,0.0
production,models/production/results_size_sharp_2x2_full,principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,size_sharp,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5186.92894077301,0.0,0.9695678023640512,0.9400617233810558,0.0312225932557594,0.0187181667351923,True,pass,1.0,0.0,12.0,,,,,,0.0,-5186.92894077301,59.04718065261841,0.0,64.38112918226538,0.0,False,90.0,0.0,0.0,2573.0,3224.0,0.0
