variant,semantic_family,semantic_regime,state_encoding,size_context_mode,architecture,conditions,relevant_property,sharpness,human_mean,pred_mean,pred_min,pred_max,signed_residual_mean,abs_residual_mean,first_step_size_mean,continue_after_size_mean,continue_after_colour_mean,chain_dc_mean,chain_cd_mean,n,rmse
current_context_fixed,current,context_fixed,canonical,static,incremental,zrdc,second,sharp,0.5434676007005254,0.810166698849958,0.8056739945699068,0.815391000328282,0.26669909814943266,0.42048966296296714,0.29269972592501176,0.7204787208584604,0.5160852361023505,0.2108706839979134,0.3649974666567282,571,0.515171488999455
current_context_updating,current,context_updating,canonical,posterior,global,brdc,both,blurred,0.7456020066889633,0.8801155132819375,0.878930903217432,0.8816410711466606,0.1345135065929743,0.24227484460122037,,,,,,598,0.3612187234406712
current_context_updating,current,context_updating,canonical,posterior,global,brdc,both,sharp,0.7039198606271777,0.8805900647729379,0.8798206409220891,0.881068517814278,0.17667020414576018,0.2862273103365057,,,,,,574,0.41850724551192303
current_context_updating,current,context_updating,canonical,posterior,global,erdc,first,blurred,0.8004220183486239,0.8799023073276091,0.8707387888314094,0.8807970779778825,0.07948028897898532,0.20076894043250318,,,,,,545,0.3092651826167159
current_context_updating,current,context_updating,canonical,posterior,global,erdc,first,sharp,0.8430052724077329,0.880165680983507,0.8723041075083852,0.8807970779778825,0.03716040857577422,0.17877734270752413,,,,,,569,0.2785355438694708
current_context_updating,current,context_updating,canonical,posterior,global,zrdc,second,blurred,0.5622611464968154,0.8807970754946848,0.8807970101757931,0.8807970779778825,0.31853592899786953,0.4026363835712281,,,,,,628,0.5278460852026506
current_context_updating,current,context_updating,canonical,posterior,global,zrdc,second,sharp,0.5434676007005254,0.8807970754842853,0.8807970101757931,0.8807970779778823,0.3373294747837599,0.42662516431040676,,,,,,571,0.555031585465633
current_context_updating,current,context_updating,canonical,posterior,incremental,brdc,both,blurred,0.7456020066889633,0.8662117743392076,0.858782577792733,0.874272219700609,0.12060976765024448,0.2432657546492541,0.44685315478039256,0.6309742957933137,0.5815727240956164,0.2819528402777164,0.3215702094065646,598,0.35634558592817295
current_context_updating,current,context_updating,canonical,posterior,incremental,brdc,both,sharp,0.7039198606271777,0.8721544462844099,0.8682786594447345,0.8759894534725567,0.16823458565723212,0.2873373755033007,0.46817062592181174,0.635405142139751,0.6058232792011875,0.2974956257872741,0.32212553682569794,574,0.4151746048727503
current_context_updating,current,context_updating,canonical,posterior,incremental,erdc,first,blurred,0.8004220183486239,0.9165180433261179,0.9110171170111517,0.9221585375626814,0.11609602497749397,0.19531556815504367,0.686784673604617,0.4109746343370606,0.6063830358185388,0.28229848370535887,0.18970418301499395,545,0.3205289919427077
current_context_updating,current,context_updating,canonical,posterior,incremental,erdc,first,sharp,0.8430052724077329,0.9179690308827575,0.9138923157746647,0.922925300541809,0.07496375847502464,0.1658860960949308,0.6935669523324558,0.409605571548969,0.6121104333997657,0.2841591499920563,0.18742134755471962,569,0.2860764845455558
current_context_updating,current,context_updating,canonical,posterior,incremental,zrdc,second,blurred,0.5622611464968154,0.8083363347394997,0.8008389079721813,0.8153909727468484,0.24607518824268446,0.3933759355724375,0.28859426237022273,0.721880856544247,0.5128066648402313,0.2083040047809447,0.3647519606923868,628,0.48755161929435625
current_context_updating,current,context_updating,canonical,posterior,incremental,zrdc,second,sharp,0.5434676007005254,0.8101666978355795,0.8056739945699068,0.8153909727468484,0.2666990971350542,0.42048966272144844,0.29269972592501176,0.7204787160317304,0.5160852361023505,0.21087068252677893,0.3649974666567282,571,0.5151714884159516
target_match_context_fixed,target_match,context_fixed,target_match,static,global,brdc,both,blurred,0.7456020066889633,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.1351950712889191,0.2422509827101397,,,,,,598,0.3614477629713453
target_match_context_fixed,target_match,context_fixed,target_match,static,global,brdc,both,sharp,0.7039198606271777,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.17687721735070466,0.28621976672666527,,,,,,574,0.4186005930327804
target_match_context_fixed,target_match,context_fixed,target_match,static,global,erdc,first,blurred,0.8004220183486239,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.08037505962925849,0.20050033658008332,,,,,,545,0.3094321072410784
target_match_context_fixed,target_match,context_fixed,target_match,static,global,erdc,first,sharp,0.8430052724077329,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.03779180557014948,0.1784721572143699,,,,,,569,0.27850409622213806
target_match_context_fixed,target_match,context_fixed,target_match,static,global,zrdc,second,blurred,0.5622611464968154,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.318535931481067,0.40263638432698384,,,,,,628,0.5278460872538356
target_match_context_fixed,target_match,context_fixed,target_match,static,global,zrdc,second,sharp,0.5434676007005254,0.8807970779778823,0.8807970779778823,0.8807970779778823,0.3373294772773569,0.42662516490412034,,,,,,571,0.555031587090869
target_match_context_fixed,target_match,context_fixed,target_match,static,incremental,brdc,both,blurred,0.7456020066889633,0.8664911670144504,0.8594139314340303,0.874272219700609,0.12088916032548727,0.24324050421078258,0.44685315478039256,0.6324760710581914,0.5815727240956164,0.28261140386150396,0.3215702094065646,598,0.3564279684171607
target_match_context_fixed,target_match,context_fixed,target_match,static,incremental,brdc,both,sharp,0.7039198606271777,0.8722353339478676,0.8682786594447345,0.8759894534725567,0.16831547332068988,0.28733050535247695,0.46817062592181174,0.6358609930476063,0.6058232792011875,0.29770648804019695,0.32212553682569794,574,0.41520940726313765
