combination,relevant_property,sharpness,category,Fully incremental,Global,Plan-guided,architecture_spread,endpoint_difference,plan_guided_minus_endpoint_midpoint,summary_type
dimension_form,first,sharp,F,0.0411973684210526,0.0605921052631578,0.0439468421052631,0.0193947368421052,-0.0193947368421052,-0.006947894736842104,Initial adjective
dimension_form,both,sharp,F,0.0700440251572327,0.0894203354297693,0.0889711740041928,0.019376310272536598,-0.019376310272536598,0.009238993710691812,Exact response
color_form,both,blurred,CFD,0.0229194444444444,0.0036393518518518,0.0082671296296296,0.0192800925925926,0.0192800925925926,-0.005012268518518499,Exact response
dimension_form,second,sharp,DFC,0.0109185924369747,0.0301811974789915,0.0169894957983193,0.0192626050420168,-0.0192626050420168,-0.003560399159663802,Exact response
color_form,both,blurred,3,0.2125194444444444,0.1940578703703704,0.1938629629629629,0.018656481481481496,0.018461574074074005,-0.009425694444444493,Response length
dimension_form,both,blurred,DF,0.1186073446327683,0.1128328625235404,0.1000762711864406,0.018531073446327706,0.005774482109227902,-0.015643832391713755,Exact response
dimension_form,both,blurred,C,0.0486224105461393,0.0644326741996233,0.0671299435028248,0.018507532956685495,-0.015810263653484,0.010602401129943498,Exact response
dimension_form,first,blurred,3,0.3794685077519379,0.3828183139534883,0.3979399224806201,0.01847141472868219,-0.003349806201550398,0.016796511627907018,Response length
dimension_form,both,blurred,CFD,0.0223347457627118,0.0041426553672316,0.0101054613935969,0.018192090395480198,0.018192090395480198,-0.003133239171374801,Exact response
dimension_color,both,sharp,DF,0.220390231092437,0.2088692226890756,0.2022295168067227,0.018160714285714308,0.011521008403361399,-0.012400210084033608,Exact response
dimension_color,both,sharp,D,0.5150824579831932,0.5331769957983192,0.5204201680672268,0.018094537815126044,-0.018094537815126044,-0.003709558823529413,Initial adjective
dimension_form,both,blurred,3,0.2703272128060264,0.2860852165725047,0.2681977401129943,0.017887476459510387,-0.01575800376647829,-0.010008474576271242,Response length
dimension_color,both,sharp,3,0.28297006302521,0.3008314075630252,0.2965688025210083,0.017861344537815182,-0.017861344537815182,0.004668067226890726,Response length
dimension_form,second,blurred,3,0.1046550925925925,0.1224578703703703,0.1102518518518518,0.017802777777777806,-0.017802777777777806,-0.003304629629629602,Response length
color_form,first,sharp,2,0.1507762054507337,0.1371294549266247,0.1330424528301886,0.017733752620545107,0.013646750524108991,-0.010910377358490625,Response length
dimension_form,first,sharp,DF,0.0965873684210526,0.1075626315789473,0.0898452631578947,0.017717368421052593,-0.010975263157894696,-0.012229736842105238,Exact response
dimension_color,both,sharp,DCF,0.1910703781512605,0.1919012605042016,0.2085913865546218,0.01752100840336132,-0.000830882352941098,0.017105567226890772,Exact response
dimension_color,second,sharp,D,0.1122169811320754,0.1267976939203354,0.1093223270440251,0.017475366876310308,-0.014580712788260008,-0.010185010482180304,Initial adjective
dimension_color,both,sharp,CDF,0.0316801470588235,0.0143681722689075,0.0209149159663865,0.017311974789916,0.017311974789916,-0.0021092436974789984,Exact response
dimension_form,both,sharp,CFD,0.0227699161425576,0.0055613207547169,0.0120193920335429,0.017208595387840697,0.017208595387840697,-0.0021462264150943506,Exact response
dimension_color,first,blurred,DCF,0.1552784629981024,0.1653510436432637,0.1723192599620493,0.01704079696394689,-0.010072580645161283,0.012004506641366236,Exact response
dimension_form,both,blurred,F,0.0615494350282485,0.0785522598870056,0.077102165725047,0.017002824858757093,-0.017002824858757093,0.007051318267419948,Exact response
color_form,first,blurred,1,0.7784342592592592,0.7945976851851853,0.7953578703703704,0.01692361111111118,-0.01616342592592601,0.008841898148148175,Response length
dimension_color,second,sharp,C,0.7523909853249475,0.7652510482180294,0.7692583857442348,0.01686740041928725,-0.012860062893081836,0.010437368972746386,Exact response
dimension_color,first,sharp,F,0.0537215789473684,0.0705252631578947,0.0627136842105263,0.016803684210526304,-0.016803684210526304,0.0005902631578947465,Exact response
dimension_form,second,sharp,D,0.1664642857142856,0.1729732142857142,0.1563891806722688,0.016584033613445376,-0.006508928571428596,-0.013329569327731078,Initial adjective
dimension_form,second,blurred,DF,0.0761032407407407,0.0598912037037037,0.0618046296296296,0.01621203703703699,0.01621203703703699,-0.006192592592592597,Exact response
dimension_color,first,sharp,2,0.4579873684210526,0.4421984210526316,0.4420078947368421,0.015979473684210488,0.015788947368421014,-0.008085000000000009,Response length
dimension_color,second,blurred,D,0.1194138888888888,0.1353162037037037,0.1210023148148148,0.015902314814814897,-0.015902314814814897,-0.006362731481481448,Initial adjective
dimension_color,first,blurred,DC,0.0448410815939278,0.0289501897533206,0.0324881404174573,0.0158908918406072,0.0158908918406072,-0.0044074952561669045,Exact response
dimension_color,both,blurred,D,0.4890556586270872,0.487610853432282,0.4732073283858998,0.015848330241187425,0.001444805194805221,-0.015125927643784787,Initial adjective
dimension_color,first,sharp,3,0.2341326315789473,0.2252031578947368,0.2407378947368421,0.015534736842105296,0.008929473684210487,0.011070000000000052,Response length
dimension_form,first,sharp,FC,0.0119894736842105,0.0275068421052631,0.0154331578947368,0.015517368421052601,-0.015517368421052601,-0.004315000000000001,Exact response
dimension_form,first,blurred,C,0.0450872093023255,0.0600552325581395,0.0604941860465116,0.015406976744186097,-0.014968023255813999,0.007922965116279095,Exact response
dimension_color,second,sharp,1,0.7761158280922432,0.7845110062893081,0.7914910901467505,0.015375262054507233,-0.008395178197064923,0.011177672955974716,Response length
dimension_color,second,blurred,FC,0.0087708333333333,0.0239541666666666,0.0135,0.015183333333333299,-0.015183333333333299,-0.00286249999999995,Exact response
dimension_color,second,blurred,F,0.0264319444444444,0.0415106481481481,0.0324171296296296,0.015078703703703702,-0.015078703703703702,-0.0015541666666666482,Initial adjective
dimension_form,both,sharp,DF,0.1445959119496855,0.1517992662473794,0.1370120545073375,0.014787211740041911,-0.00720335429769392,-0.011185534591194951,Exact response
dimension_color,second,sharp,DC,0.0583941299790356,0.0728721174004192,0.0590487421383647,0.0144779874213836,-0.0144779874213836,-0.006584381551362699,Exact response
color_form,both,sharp,CDF,0.0225267295597484,0.0082190775681341,0.0127861635220125,0.014307651991614299,0.014307651991614299,-0.0025867400419287492,Exact response
dimension_form,second,blurred,2,0.3783583333333333,0.3819546296296296,0.3924425925925926,0.014084259259259324,-0.0035962962962963196,0.012286111111111164,Response length
dimension_color,both,blurred,DC,0.0531349721706864,0.0392207792207792,0.0406038961038961,0.0139141929499072,0.0139141929499072,-0.0055739795918366974,Exact response
dimension_color,both,blurred,DCF,0.1861029684601113,0.1886461038961038,0.1999628942486085,0.013859925788497207,-0.002543135435992522,0.012588358070500932,Exact response
dimension_form,both,blurred,DCF,0.1930560263653484,0.1888780602636534,0.20259934086629,0.01372128060263661,0.004177966101695019,0.0116322975517891,Exact response
color_form,first,sharp,3,0.035898322851153,0.0222117400419287,0.0260131027253668,0.013686582809224298,0.013686582809224298,-0.003041928721174047,Response length
dimension_form,both,sharp,3,0.3006766247379455,0.2930104821802934,0.2870670859538784,0.013609538784067066,0.007666142557652078,-0.009776467505241027,Response length
