semantics,speaker,nobj,sd_spread,mean_advantage,mcse_advantage,n_scenes,parameter_combinations
static,global_speaker,18,2.0,8.271161533457417e-21,4.508457072488959e-20,1000,125
static,incremental_speaker,18,2.0,-0.013037577564776637,0.0002868830326388052,1000,125
recursive,global_speaker,18,2.0,0.0009495144656079342,9.575226346095294e-05,1000,125
recursive,incremental_speaker,18,2.0,-0.012417080008426147,0.0002831687777982655,1000,125
static,global_speaker,18,7.75,1.0336176359260206e-19,4.315381668307693e-20,1000,125
static,incremental_speaker,18,7.75,-0.0026759886709800504,0.00029627676899215066,1000,125
recursive,global_speaker,18,7.75,0.005765868592537402,0.0004522329730255902,1000,125
recursive,incremental_speaker,18,7.75,0.001720213361798992,0.0003481422949488986,1000,125
static,global_speaker,18,15.0,1.2040368702059825e-19,4.4983255124493553e-20,1000,125
static,incremental_speaker,18,15.0,-0.0014395917200994547,0.0003032536734918335,1000,125
recursive,global_speaker,18,15.0,0.00580271186670915,0.000499788306427355,1000,125
recursive,incremental_speaker,18,15.0,0.0031945930983990007,0.0003814284432320687,1000,125
static,global_speaker,22,2.0,5.151434834260726e-20,3.644330601006355e-20,1000,125
static,incremental_speaker,22,2.0,-0.010529638775868306,0.00022180375326195692,1000,125
recursive,global_speaker,22,2.0,0.0008100798499925992,7.088969897202306e-05,1000,125
recursive,incremental_speaker,22,2.0,-0.010033426688971886,0.0002183610990564439,1000,125
static,global_speaker,22,7.75,-9.17599329852692e-20,3.8637078828353765e-20,1000,125
static,incremental_speaker,22,7.75,-0.002340114204518652,0.0002123746154362217,1000,125
recursive,global_speaker,22,7.75,0.003940436832475437,0.0003361217865893452,1000,125
recursive,incremental_speaker,22,7.75,0.0006687060417152043,0.00026238462769584447,1000,125
static,global_speaker,22,15.0,-3.7692071686024066e-20,3.876052007510355e-20,1000,125
static,incremental_speaker,22,15.0,-0.0012265274440470013,0.0002263967054451842,1000,125
recursive,global_speaker,22,15.0,0.004047491539651959,0.0003934517377783088,1000,125
recursive,incremental_speaker,22,15.0,0.0021169541817588977,0.0002873235728723939,1000,125
static,global_speaker,26,2.0,-8.42659275690494e-20,2.5242651936864334e-20,1000,125
static,incremental_speaker,26,2.0,-0.009082981584936608,0.00017304111535627412,1000,125
recursive,global_speaker,26,2.0,0.000457185794246096,5.7610809129018756e-05,1000,125
recursive,incremental_speaker,26,2.0,-0.008778226339337647,0.0001736800102358129,1000,125
static,global_speaker,26,7.75,-1.0907941216942164e-19,2.349367374782481e-20,1000,125
static,incremental_speaker,26,7.75,-0.0018760966202014475,0.00018181751718731232,1000,125
recursive,global_speaker,26,7.75,0.0029364719818878483,0.00027364861942602667,1000,125
recursive,incremental_speaker,26,7.75,0.00039869149354612585,0.00022515885519067719,1000,125
static,global_speaker,26,15.0,-1.6076029396572265e-19,2.4820320291931947e-20,1000,125
static,incremental_speaker,26,15.0,-0.0013248700530819443,0.00017728058086873786,1000,125
recursive,global_speaker,26,15.0,0.002900392299202654,0.0003013730400222676,1000,125
recursive,incremental_speaker,26,15.0,0.0011333372374728303,0.00023445269597901567,1000,125
static,global_speaker,30,2.0,-1.4238610290817635e-19,2.280627298101221e-20,1000,125
static,incremental_speaker,30,2.0,-0.007819385486503844,0.00013915859180492872,1000,125
recursive,global_speaker,30,2.0,0.00038998210883785223,4.4542223632218925e-05,1000,125
recursive,incremental_speaker,30,2.0,-0.007576254806633872,0.00013833781753801508,1000,125
static,global_speaker,30,7.75,-7.333023077649158e-20,2.152647273903063e-20,1000,125
static,incremental_speaker,30,7.75,-0.001820379799738665,0.0001463286398826035,1000,125
recursive,global_speaker,30,7.75,0.0020298908906569383,0.0002271566487531054,1000,125
recursive,incremental_speaker,30,7.75,-0.0001866901143734155,0.00017494542181919015,1000,125
static,global_speaker,30,15.0,-8.026912468039881e-20,2.2919286623436007e-20,1000,125
static,incremental_speaker,30,15.0,-0.001191663145334933,0.00013605062642108834,1000,125
recursive,global_speaker,30,15.0,0.0025215845455849404,0.00024677882227807404,1000,125
recursive,incremental_speaker,30,15.0,0.0008499606232630519,0.00018112345671845783,1000,125
