combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
color_form,first,blurred,DC,0.016666666666666666,0.005555555555555556,0.02962962962962963,Exact response
color_form,first,blurred,DCF,0.05185185185185185,0.024074074074074074,0.08703703703703704,Exact response
color_form,first,blurred,DF,0.007407407407407408,0,0.016666666666666666,Exact response
color_form,first,blurred,DFC,0.009259259259259259,0,0.027777777777777776,Exact response
color_form,first,blurred,F,0,0,0,Exact response
color_form,first,blurred,FC,0.016666666666666666,0,0.05,Exact response
color_form,first,blurred,FCD,0,0,0,Exact response
color_form,first,blurred,FD,0,0,0,Exact response
color_form,first,blurred,FDC,0.001851851851851852,0,0.005555555555555556,Exact response
color_form,first,sharp,C,0.6918238993710691,0.59958071278826,0.7777777777777778,Exact response
color_form,first,sharp,CD,0,0,0,Exact response
color_form,first,sharp,CDF,0.014675052410901468,0.0020964360587002098,0.033542976939203356,Exact response
color_form,first,sharp,CF,0.20335429769392033,0.13626834381551362,0.27882599580712786,Exact response
color_form,first,sharp,CFD,0,0,0,Exact response
color_form,first,sharp,D,0.008385744234800839,0.0020964360587002098,0.016771488469601678,Exact response
color_form,first,sharp,DC,0.010482180293501049,0.0020964360587002098,0.023060796645702306,Exact response
color_form,first,sharp,DCF,0.031446540880503145,0.012578616352201259,0.05450733752620545,Exact response
color_form,first,sharp,DF,0.010482180293501049,0.0020964360587002098,0.023060796645702306,Exact response
color_form,first,sharp,DFC,0.008385744234800839,0,0.020964360587002098,Exact response
color_form,first,sharp,F,0,0,0,Exact response
color_form,first,sharp,FC,0.020964360587002098,0.0041928721174004195,0.041928721174004195,Exact response
color_form,first,sharp,FCD,0,0,0,Exact response
color_form,first,sharp,FD,0,0,0,Exact response
color_form,first,sharp,FDC,0,0,0,Exact response
color_form,second,blurred,C,0.001851851851851852,0,0.005555555555555556,Exact response
color_form,second,blurred,CD,0,0,0,Exact response
color_form,second,blurred,CDF,0,0,0,Exact response
color_form,second,blurred,CF,0.21481481481481482,0.14629629629629629,0.28888888888888886,Exact response
color_form,second,blurred,CFD,0.001851851851851852,0,0.005555555555555556,Exact response
color_form,second,blurred,D,0,0,0,Exact response
color_form,second,blurred,DC,0,0,0,Exact response
color_form,second,blurred,DCF,0.04259259259259259,0.016666666666666666,0.07592592592592592,Exact response
color_form,second,blurred,DF,0.016666666666666666,0.003703703703703704,0.03518518518518519,Exact response
color_form,second,blurred,DFC,0.009259259259259259,0,0.027777777777777776,Exact response
color_form,second,blurred,F,0.6722222222222223,0.5851851851851851,0.7537037037037037,Exact response
color_form,second,blurred,FC,0.03888888888888889,0.009259259259259259,0.08148148148148149,Exact response
color_form,second,blurred,FCD,0,0,0,Exact response
color_form,second,blurred,FD,0.001851851851851852,0,0.005555555555555556,Exact response
color_form,second,blurred,FDC,0,0,0,Exact response
color_form,second,sharp,C,0,0,0,Exact response
color_form,second,sharp,CD,0,0,0,Exact response
color_form,second,sharp,CDF,0.0041928721174004195,0,0.010482180293501049,Exact response
color_form,second,sharp,CF,0.16771488469601678,0.10272536687631027,0.2431865828092243,Exact response
color_form,second,sharp,CFD,0,0,0,Exact response
color_form,second,sharp,D,0,0,0,Exact response
color_form,second,sharp,DC,0,0,0,Exact response
color_form,second,sharp,DCF,0.020964360587002098,0.0041928721174004195,0.0440251572327044,Exact response
color_form,second,sharp,DF,0.033542976939203356,0.014675052410901468,0.05660377358490566,Exact response
color_form,second,sharp,DFC,0.006289308176100629,0,0.016771488469601678,Exact response
color_form,second,sharp,F,0.7379454926624738,0.6519916142557652,0.8134171907756813,Exact response
color_form,second,sharp,FC,0.023060796645702306,0.008385744234800839,0.039832285115303984,Exact response
color_form,second,sharp,FCD,0,0,0,Exact response
color_form,second,sharp,FD,0,0,0,Exact response
color_form,second,sharp,FDC,0.006289308176100629,0,0.016771488469601678,Exact response
dimension_color,both,blurred,C,0.00927643784786642,0,0.024074074074074074,Exact response
dimension_color,both,blurred,CD,0.0055658627087198514,0,0.014842300556586271,Exact response
