semantics,rule,support,order,parameter_set,metric,mean,variance,groups,mcse,lower_mc95,upper_mc95
updating,kernel_global,two,neutral,original_grid,listener_advantage,0.0114209329055429,2.7420389192160313e-05,24,0.00021818533944218286,0.010993289640236222,0.011848576170849577
updating,kernel_global,two,neutral,original_grid,speaker_size_first_given_set,0.5026903938941273,6.675713101071102e-06,24,0.00010765583908622677,0.5024793884495182,0.5029013993387363
updating,kernel_incremental,two,neutral,fitted_constants,listener_advantage,0.009849033645249668,7.224899703939624e-06,24,0.00011199655643220892,0.009629520394642538,0.010068546895856798
updating,kernel_incremental,two,neutral,fitted_constants,speaker_size_first_given_set,0.5225688895106569,3.7264962624841535e-06,24,8.04338956336989e-05,0.5224112390752149,0.522726539946099
updating,kernel_incremental,two,neutral,original_grid,listener_advantage,0.0023403551839603683,4.7258188070493485e-05,24,0.0002864357962967658,0.0017789410232187074,0.0029017693447020293
updating,kernel_incremental,two,neutral,original_grid,speaker_size_first_given_set,0.4899870582087646,3.550468225400938e-05,24,0.0002482741898741292,0.4895004407966113,0.49047367562091787
updating,original_global,two,neutral,fitted_constants,listener_advantage,0.00017792567969286658,6.010621174949256e-08,24,1.021523676010944e-05,0.00015790381564305208,0.00019794754374268108
updating,original_global,two,neutral,fitted_constants,speaker_size_first_given_set,0.5003802420989354,1.8734893299840304e-07,24,1.803492623309945e-05,0.5003448936435185,0.5004155905543523
updating,original_global,two,neutral,original_grid,listener_advantage,0.014651162048463588,3.702179604376463e-05,24,0.00025352307876181436,0.014154256814090431,0.015148067282836745
updating,original_global,two,neutral,original_grid,speaker_size_first_given_set,0.5040804638523717,6.652522403916922e-06,24,0.00010746868410079174,0.5038698252315341,0.5042911024732093
updating,original_incremental,two,neutral,fitted_constants,listener_advantage,0.009803732480659312,7.22173102880336e-06,24,0.00011197199417962239,0.009584267372067252,0.010023197589251371
updating,original_incremental,two,neutral,fitted_constants,speaker_size_first_given_set,0.5224219712785362,3.7072236821532672e-06,24,8.022563322255882e-05,0.5222647290374199,0.5225792135196524
updating,original_incremental,two,neutral,original_grid,listener_advantage,0.004386628123210258,5.266693139548554e-05,24,0.0003023832746430084,0.0037939569049099614,0.004979299341510555
updating,original_incremental,two,neutral,original_grid,speaker_size_first_given_set,0.4892473722259781,3.566051511317803e-05,24,0.0002488184408679029,0.488759688081877,0.4897350563700792
updating,prefix_k0,fifteen,neutral,fitted_constants,listener_advantage,0.018942916241314983,2.4008842357478113e-05,24,0.00020416174465783945,0.018542759221785617,0.01934307326084435
updating,prefix_k0,fifteen,neutral,fitted_constants,speaker_size_first_given_set,0.5395289090105077,1.150526910986216e-05,24,0.0001413309079357914,0.5392519004309535,0.5398059175900618
updating,prefix_k0,fifteen,neutral,original_grid,listener_advantage,0.03103646997679781,7.82310260474548e-05,24,0.0003685346029270644,0.030314142155060765,0.031758797798534855
updating,prefix_k0,fifteen,neutral,original_grid,speaker_size_first_given_set,0.4841189105904169,8.797910243554986e-05,24,0.0003908215670660215,0.4833529003189675,0.4848849208618663
updating,prefix_k0,fifteen,stable,fitted_constants,listener_advantage,0.021568974727271293,3.453594476590764e-05,24,0.000244863711972215,0.02108904185180575,0.022048907602736836
updating,prefix_k0,fifteen,stable,fitted_constants,speaker_size_first_given_set,0.9941230241261522,6.2306182072756395e-09,24,3.2889277126051933e-06,0.9941165778278355,0.9941294704244689
updating,prefix_k0,four,neutral,fitted_constants,listener_advantage,0.01891445613669431,2.2946902160217127e-05,24,0.00019959552050567795,0.018523248916503178,0.01930566335688544
updating,prefix_k0,four,neutral,fitted_constants,speaker_size_first_given_set,0.5395289090105077,1.150526910986216e-05,24,0.0001413309079357914,0.5392519004309535,0.5398059175900618
updating,prefix_k0,four,neutral,original_grid,listener_advantage,0.027717954145823065,7.633012503522109e-05,24,0.0003640296391588846,0.02700445605307165,0.02843145223857448
updating,prefix_k0,four,neutral,original_grid,speaker_size_first_given_set,0.4841189105904169,8.797910243554986e-05,24,0.0003908215670660215,0.4833529003189675,0.4848849208618663
updating,prefix_k0,four,stable,fitted_constants,listener_advantage,0.020938671347650522,3.425166069579155e-05,24,0.00024385382651902644,0.02046071784767323,0.021416624847627814
updating,prefix_k0,four,stable,fitted_constants,speaker_size_first_given_set,0.9941230241261522,6.230618207275648e-09,24,3.2889277126051954e-06,0.9941165778278355,0.9941294704244689
updating,prefix_k0,two,neutral,fitted_constants,listener_advantage,0.020582576965032327,3.505693325079128e-05,24,0.0002467037319097125,0.02009903765048929,0.021066116279575362
updating,prefix_k0,two,neutral,fitted_constants,speaker_size_first_given_set,0.5395289090105077,1.150526910986216e-05,24,0.0001413309079357914,0.5392519004309535,0.5398059175900618
updating,prefix_k0,two,neutral,original_grid,listener_advantage,-0.018380691139702577,0.00033124651465769487,24,0.0007583407905513547,-0.019867039089183233,-0.01689434319022192
