semantics,speaker,parameter,value,order,mean,sum_variance,scene_groups,mcse
static,incremental_speaker,color_semvalue,0.92,big blue,0.12365065456089282,1.2093009411244605e-05,24,0.00014489585227201295
static,incremental_speaker,color_semvalue,0.92,blue big,0.13013492568465265,1.2405185487890763e-05,24,0.00014675414938229673
static,incremental_speaker,color_semvalue,0.94,big blue,0.12273308152574247,1.2995326585525831e-05,24,0.00015020429713443292
static,incremental_speaker,color_semvalue,0.94,blue big,0.131200249379411,1.3579076821277728e-05,24,0.0001535408289285023
static,incremental_speaker,color_semvalue,0.96,big blue,0.12181504234503987,1.3937581611396384e-05,24,0.0001555544608732362
static,incremental_speaker,color_semvalue,0.96,blue big,0.13229735834938575,1.4861660099782158e-05,24,0.00016062843219302262
static,incremental_speaker,color_semvalue,0.98,big blue,0.12089635023129885,1.4920213340689488e-05,24,0.00016094454995718013
static,incremental_speaker,color_semvalue,0.98,blue big,0.13343163433902736,1.6271941135636675e-05,24,0.00016807705912742757
static,incremental_speaker,k,0.1,big blue,0.12825165319255663,1.398152371242863e-05,24,0.0001557994822437187
static,incremental_speaker,k,0.1,blue big,0.12582392507058726,1.408450041960399e-05,24,0.00015637217678642065
static,incremental_speaker,k,0.3,big blue,0.12563045016299398,1.3767753427751437e-05,24,0.00015460384762662718
static,incremental_speaker,k,0.3,blue big,0.12829999705066006,1.4046337273817777e-05,24,0.00015616018126106667
static,incremental_speaker,k,0.5,big blue,0.1229116993121142,1.3422044046041626e-05,24,0.00015265044972798345
static,incremental_speaker,k,0.5,blue big,0.13096724598742762,1.3928134407122718e-05,24,0.00015550173279180757
static,incremental_speaker,k,0.7,big blue,0.12008299849561625,1.2819154819357059e-05,24,0.00014918269710974976
static,incremental_speaker,k,0.7,blue big,0.1338335919044421,1.3637811884024174e-05,24,0.00015387253407641508
static,incremental_speaker,k,0.9,big blue,0.11678630130775858,1.1512952321357705e-05,24,0.00014137809040583896
static,incremental_speaker,k,0.9,blue big,0.137236468459308,1.285069988988467e-05,24,0.00014936613694001432
static,incremental_speaker,wf,0.1,big blue,0.1322590806562563,1.5445657728500308e-05,24,0.0001637540167472804
static,incremental_speaker,wf,0.1,blue big,0.12176200698802508,1.4308276326381406e-05,24,0.00015760950958326986
static,incremental_speaker,wf,0.2,big blue,0.12661930521267248,1.4520811898971774e-05,24,0.0001587757628864032
static,incremental_speaker,wf,0.2,blue big,0.12719337842747439,1.4462573554061038e-05,24,0.00015845704352431632
static,incremental_speaker,wf,0.3,big blue,0.12280357485634025,1.3635514114257472e-05,24,0.00015385957090631306
static,incremental_speaker,wf,0.3,blue big,0.130999667184749,1.4272228635364857e-05,24,0.0001574108468758589
static,incremental_speaker,wf,0.5,big blue,0.11788921229904055,1.2101863648081522e-05,24,0.000144948887352011
static,incremental_speaker,wf,0.5,blue big,0.13606963999638402,1.3584832652863136e-05,24,0.00015357336654257703
static,incremental_speaker,wf,0.8,big blue,0.11409192944673006,1.0987044073859173e-05,24,0.00013811129314757138
static,incremental_speaker,wf,0.8,blue big,0.14013653587579253,1.2970468285056261e-05,24,0.00015006056812500896
