parameter,participant_id,posterior_mean,posterior_q025,posterior_q975
Successive-choice contribution,27,0.9144732794882583,0.6800742162598141,0.9986930184542345
Successive-choice contribution,28,0.39136277502166456,0.015869039125440926,0.7093769367262274
Successive-choice contribution,29,0.0619575491392372,0.0008965185115068101,0.2473121429445263
Successive-choice contribution,30,0.8841398348918157,0.6503110002769407,0.997298200997048
Successive-choice contribution,31,0.008500559763899226,0.00021700072857708602,0.0328927323039369
Successive-choice contribution,32,0.09106174914735612,0.0012925754446898,0.3473915132276771
Successive-choice contribution,33,0.7919077180899264,0.42399629407046413,0.9943872477599461
Successive-choice contribution,34,0.24592606547085374,0.004305332397525892,0.6243489698683581
Successive-choice contribution,35,0.9377512551374444,0.7599589902538043,0.9989016206173791
Successive-choice contribution,36,0.3980063903872545,0.016183243718387162,0.6826560433301738
Successive-choice contribution,37,0.4020778191387692,0.01526484355749343,0.7029673389911447
Successive-choice contribution,38,0.31237558201703536,0.021985467969853328,0.6609079134775091
Successive-choice contribution,39,0.9828684589810778,0.9150761567167037,0.9996804155098891
Successive-choice contribution,40,0.08933522437512868,0.0011780064484198242,0.3443198796644324
Successive-choice contribution,41,0.22314214983293773,0.0031921409682662332,0.643371520112676
Successive-choice contribution,42,0.10862638564981718,0.0011783530475924914,0.39167222028680476
Successive-choice contribution,43,0.23138545032769484,0.004742387796113578,0.5983550422413186
Successive-choice contribution,44,0.9467383499756363,0.753601245477198,0.9992614316451558
Successive-choice contribution,45,0.958582932660114,0.8101562020781502,0.9992102653287346
Successive-choice contribution,46,0.9076600771825193,0.6440251581197532,0.9987488223606349
Successive-choice contribution,47,0.9900291301389179,0.9600886631807365,0.9997361857891596
Successive-choice contribution,48,0.012183120406825556,0.00026464345462092576,0.05039767211429358
Successive-choice contribution,49,0.07602584117155381,0.0006036824259599824,0.29909964856293786
Successive-choice contribution,50,0.18398673479295333,0.0027236650202816888,0.508397540915125
Successive-choice contribution,51,0.04202591027687348,0.0007033956023122906,0.16432142662101631
Successive-choice contribution,52,0.9233293766781413,0.6821835329393782,0.9991171479449905
Successive-choice contribution,53,0.1256592602796262,0.001664327637983545,0.43748794986714656
Successive-choice contribution,54,0.2590356984361367,0.003944154620301898,0.6116574101093458
Successive-choice contribution,55,0.9173446293267374,0.6531932538757634,0.9986989292427705
Successive-choice contribution,56,0.17054991351133356,0.0019821923238028324,0.5155188365730289
Successive-choice contribution,57,0.7998158738913582,0.5433062589503947,0.9925790220169535
Successive-choice contribution,58,0.9276513347812029,0.7178157727345582,0.9989570137948803
Successive-choice contribution,59,0.08271333678135906,0.0010226036457166951,0.30308588181979157
Successive-choice contribution,60,0.6354186591834554,0.15038884260416766,0.9980372709032075
Successive-choice contribution,61,0.9336004196823418,0.5334121765478124,0.9996407827884204
Successive-choice contribution,62,0.18101026415066473,0.0024734911722792585,0.5343110017532211
Successive-choice contribution,63,0.5802846583183793,0.1420691444567703,0.9682746227509476
