model,relevant_property,sharpness,metric,mean,lower_95,upper_95,trials,posterior_draws
G-UPD-HO,second,blurred,speaker_size_first_given_set,0.9730275807329534,0.9685892796295607,0.9769905335445026,540,200
G-UPD-HO,second,blurred,listener_size_first,0.10068861152647475,0.09819970332309927,0.10320329385282656,540,200
G-UPD-HO,second,blurred,listener_colour_first,0.13109619222368563,0.1289552220445473,0.1335940870730437,540,200
G-UPD-HO,second,blurred,listener_advantage,-0.030407580697210865,-0.032333300553486224,-0.02832637214129621,540,200
G-UPD-HO,second,sharp,speaker_size_first_given_set,0.9668572054677459,0.9610768728873021,0.9718139978841694,477,200
G-UPD-HO,second,sharp,listener_size_first,0.11165848956797607,0.10901474607071003,0.11437701433034266,477,200
G-UPD-HO,second,sharp,listener_colour_first,0.14225074645747562,0.1393583194658268,0.14547052625658516,477,200
G-UPD-HO,second,sharp,listener_advantage,-0.030592256889499573,-0.032776926110712576,-0.0283598412014075,477,200
I-HO,all,all,speaker_size_first_given_set,0.9502079487527675,0.9437776948410211,0.956307238413598,3034,200
I-HO,all,all,listener_size_first,0.16560340355938244,0.16254568227762511,0.16935931291521236,3034,200
I-HO,all,all,listener_colour_first,0.160225637770681,0.15657016214679478,0.1644484769290274,3034,200
I-HO,all,all,listener_advantage,0.005377765788701457,0.00418569991136524,0.006713226548195197,3034,200
I-HO,both,blurred,speaker_size_first_given_set,0.9586782103674806,0.952070001893545,0.9651105186021691,539,200
I-HO,both,blurred,listener_size_first,0.18825542230240733,0.18329964233308493,0.19424767143830704,539,200
I-HO,both,blurred,listener_colour_first,0.17427340755060064,0.1676072914046679,0.18284264069087827,539,200
I-HO,both,blurred,listener_advantage,0.01398201475180668,0.010503225608907561,0.0166721323348227,539,200
I-HO,both,sharp,speaker_size_first_given_set,0.9484292835429362,0.939632458538792,0.9566570840686957,476,200
I-HO,both,sharp,listener_size_first,0.21472752736825118,0.20763000973574894,0.22246805091292546,476,200
I-HO,both,sharp,listener_colour_first,0.20081230740213038,0.18729002984012888,0.21424072698398744,476,200
I-HO,both,sharp,listener_advantage,0.01391521996612079,0.006506425718797649,0.019767042111267903,476,200
I-HO,first,blurred,speaker_size_first_given_set,0.9742448551080468,0.9701134680685584,0.9784307243846544,527,200
I-HO,first,blurred,listener_size_first,0.19794686811510784,0.19173003337993436,0.20420849260396534,527,200
I-HO,first,blurred,listener_colour_first,0.13464669833176615,0.13237294656216805,0.1369107216014589,527,200
I-HO,first,blurred,listener_advantage,0.06330016978334171,0.05911159072111315,0.06814079939831333,527,200
I-HO,first,sharp,speaker_size_first_given_set,0.9728169282921442,0.9677948935546746,0.9773181343129854,475,200
I-HO,first,sharp,listener_size_first,0.2382689088656626,0.23078097490510072,0.24603769677573814,475,200
I-HO,first,sharp,listener_colour_first,0.11310049125118429,0.11054446776936919,0.1155356953759863,475,200
I-HO,first,sharp,listener_advantage,0.12516841761447836,0.11888130445866166,0.13173256273822517,475,200
I-HO,second,blurred,speaker_size_first_given_set,0.9356600104617112,0.9250970033017579,0.9456981226279875,540,200
I-HO,second,blurred,listener_size_first,0.07750858302110643,0.07423028454429181,0.08034330667233314,540,200
I-HO,second,blurred,listener_colour_first,0.1587550663406348,0.1551059690963668,0.1624132704598958,540,200
I-HO,second,blurred,listener_advantage,-0.08124648331952837,-0.0855711807632043,-0.07765935905361479,540,200
I-HO,second,sharp,speaker_size_first_given_set,0.9098103499609093,0.8962990696620987,0.9236330577718747,477,200
I-HO,second,sharp,listener_size_first,0.08262135159671309,0.07954469637875684,0.08555711532514522,477,200
I-HO,second,sharp,listener_colour_first,0.18070289478818075,0.17698434919671252,0.18517628228139138,477,200
I-HO,second,sharp,listener_advantage,-0.09808154319146764,-0.10267842518703123,-0.0939129666160646,477,200
