semantics,speaker,nobj,sd_spread,color_semvalue,k,wf,n_scenes,mean_big_blue,mean_blue_big,mean_advantage,mcse_advantage
static,global_speaker,2,2.0,0.94,0.5,0.2,1000,0.5,0.5,-4.440892098500626e-19,1.666108586651491e-18
static,global_speaker,2,2.0,0.94,0.5,0.3,1000,0.5,0.5,-4.440892098500626e-19,1.660545207940094e-18
static,global_speaker,2,2.0,0.94,0.5,0.5,1000,0.5,0.5,-3.219646771412954e-18,1.6924671496931239e-18
static,global_speaker,2,2.0,0.94,0.5,0.8,1000,0.5,0.5,-2.4424906541753442e-18,1.6230903590221263e-18
static,global_speaker,2,2.0,0.96,0.5,0.1,1000,0.5,0.5,-5.551115123125783e-19,1.846951193049252e-18
static,global_speaker,2,2.0,0.96,0.5,0.2,1000,0.5,0.5,1.27675647831893e-18,1.7266006639358466e-18
static,global_speaker,2,2.0,0.96,0.5,0.3,1000,0.5,0.5,3.3306690738754697e-19,1.7685150419667676e-18
static,global_speaker,2,2.0,0.96,0.5,0.5,1000,0.5,0.5,-8.326672684688674e-19,1.7587302727094912e-18
static,global_speaker,2,2.0,0.96,0.5,0.8,1000,0.5,0.5,-1.1657341758564144e-18,1.6235606477523127e-18
static,global_speaker,2,2.0,0.98,0.5,0.1,1000,0.5,0.5,5.551115123125783e-19,2.2200987300995362e-18
static,global_speaker,2,2.0,0.98,0.5,0.2,1000,0.5,0.5,2.9420910152566647e-18,2.087104573338552e-18
static,global_speaker,2,2.0,0.98,0.5,0.3,1000,0.5,0.5,-3.3306690738754697e-19,2.179479428667621e-18
static,global_speaker,2,2.0,0.98,0.5,0.5,1000,0.5,0.5,7.771561172376096e-19,2.0555436570874512e-18
static,global_speaker,2,2.0,0.98,0.5,0.8,1000,0.5,0.5,-1.3877787807814458e-18,2.0089244692380406e-18
static,global_speaker,2,2.0,0.9,0.7,0.1,1000,0.5,0.5,-2.9420910152566647e-18,1.7245628511136722e-18
static,global_speaker,2,2.0,0.9,0.7,0.2,1000,0.5,0.5,-4.3298697960381105e-18,1.91421341712805e-18
static,global_speaker,2,2.0,0.9,0.7,0.3,1000,0.5,0.5,-1.942890293094024e-18,2.0283307580826953e-18
static,global_speaker,2,2.0,0.9,0.7,0.5,1000,0.5,0.5,-1.942890293094024e-18,2.1537184092587046e-18
static,global_speaker,2,2.0,0.9,0.7,0.8,1000,0.5,0.5,-1.6653345369377347e-18,1.9550175867006074e-18
static,global_speaker,2,2.0,0.92,0.7,0.1,1000,0.5,0.5,-1.6653345369377347e-18,1.8294998228612084e-18
static,global_speaker,2,2.0,0.92,0.7,0.2,1000,0.5,0.5,-3.3306690738754695e-18,1.893543518069754e-18
static,global_speaker,2,2.0,0.92,0.7,0.3,1000,0.5,0.5,4.718447854656916e-18,2.0434816157368246e-18
static,global_speaker,2,2.0,0.92,0.7,0.5,1000,0.5,0.5,-1.9984014443252816e-18,2.097801682834624e-18
static,global_speaker,2,2.0,0.92,0.7,0.8,1000,0.5,0.5,-4.996003610813204e-19,2.115529442761742e-18
static,global_speaker,2,2.0,0.94,0.7,0.1,1000,0.5,0.5,5.551115123125783e-20,1.7055054287134127e-18
