model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws,observed_mean,observed_lower,observed_upper,display_response,context,discriminability
Plan-guided,dimension_color,first,blurred,Exact response,SF,0.3510436432637571,0.42067314990512333,0.3719165085388994,0.4705882352941176,527,4000,0.3510436432637571,0.2808332725149613,0.4215574815147081,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,SFC,0.03415559772296015,0.06881404174573055,0.04743833017077799,0.09108159392789374,527,4000,0.03415559772296015,0.00756143667296786,0.06792452830188679,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,C,0.00569259962049335,0.01319022770398481,0.00379506641366223,0.02466793168880455,527,4000,0.00569259962049335,0,0.01512287334593572,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,CDF,0.03984819734345351,0.00857115749525616,0.00189753320683111,0.01707779886148007,527,4000,0.03984819734345351,0.01156013783903957,0.07909604519774012,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,CF,0.08918406072106262,0.1025678368121442,0.0777988614800759,0.12903225806451613,527,4000,0.08918406072106262,0.05639097744360902,0.12810707456978968,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,F,0.03795066413662239,0.1020009487666034,0.07590132827324478,0.13092979127134724,527,4000,0.03795066413662239,0.02439024390243902,0.05323193916349809,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,FC,0.01707779886148007,0.03297153700189753,0.01897533206831119,0.04933586337760911,527,4000,0.01707779886148007,0.00188679245283018,0.03831417624521072,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,sharp,Exact response,S,0.27157894736842103,0.2464,0.20210526315789473,0.292684210526316,475,4000,0.27157894736842103,0.1957894736842105,0.35157894736842105,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,SC,0.04421052631578947,0.0358678947368421,0.01894736842105263,0.05473684210526316,475,4000,0.04421052631578947,0.02531645569620253,0.06512605042016807,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,SCF,0.1936842105263158,0.15329473684210526,0.12,0.18736842105263157,475,4000,0.1936842105263158,0.13444673466871024,0.2578616352201258,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,SF,0.23157894736842105,0.3397926315789474,0.2905263157894737,0.3894736842105263,475,4000,0.23157894736842105,0.17051735957540912,0.3004201680672269,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,SFC,0.0231578947368421,0.06707631578947368,0.04631578947368421,0.09052631578947368,475,4000,0.0231578947368421,0.00632911392405063,0.04219409282700422,TRUE,Size sufficient,High
Plan-guided,dimension_color,first,sharp,Exact response,C,0,0.00814052631578947,0.00210526315789473,0.01684210526315789,475,4000,0,0,0,TRUE,Size sufficient,High
