contrast,semantics,rule,support,order,parameter_set,mean,variance,groups,mcse,lower_mc95,upper_mc95
local_normalizers_minus_raw_prefix,updating,prefix_k05,two,stable,fitted_constants,-1.3511289219008228e-05,6.544987157209088e-09,24,3.3708789544731834e-06,-2.011821196977567e-05,-6.904366468240788e-06
local_normalizers_minus_raw_prefix,updating,prefix_k1,fifteen,neutral,fitted_constants,-0.00932044763649303,5.990389596810934e-06,24,0.00010198030172002763,-0.009520329027864283,-0.009120566245121775
local_normalizers_minus_raw_prefix,updating,prefix_k1,fifteen,neutral,original_grid,-0.020091360984623566,1.65041278603614e-05,24,0.00016927196979291015,-0.02042313404541767,-0.019759587923829463
local_normalizers_minus_raw_prefix,updating,prefix_k1,fifteen,stable,fitted_constants,-0.010792532058422262,1.043151167165742e-05,24,0.00013457437838923755,-0.011056297840065168,-0.010528766276779357
local_normalizers_minus_raw_prefix,updating,prefix_k1,four,neutral,fitted_constants,0.0016406388286266125,3.640476759035604e-06,24,7.950013931499416e-05,0.0014848185555692238,0.001796459101684001
local_normalizers_minus_raw_prefix,updating,prefix_k1,four,neutral,original_grid,-0.05489724372814275,0.00019854105670872533,24,0.0005871024906809366,-0.05604796460987739,-0.053746522846408115
local_normalizers_minus_raw_prefix,updating,prefix_k1,four,stable,fitted_constants,0.00134461259132035,7.910703878600086e-07,24,3.7059224088406616e-05,0.0012719765121070729,0.001417248670533627
local_normalizers_minus_raw_prefix,updating,prefix_k1,two,neutral,fitted_constants,-2.7481999711380078e-05,5.5101165830454555e-08,24,9.780682298972197e-06,-4.665213701736558e-05,-8.311862405394573e-06
local_normalizers_minus_raw_prefix,updating,prefix_k1,two,neutral,original_grid,-0.008798598442617078,1.727936959408677e-05,24,0.00017320192130946331,-0.009138074208383626,-0.00845912267685053
local_normalizers_minus_raw_prefix,updating,prefix_k1,two,stable,fitted_constants,-2.948194671079661e-05,2.738647026303277e-08,24,6.895357519212853e-06,-4.2996847448453805e-05,-1.5967045973139417e-05
prefix_sum_minus_terminal,fixed,prefix_k0,fifteen,neutral,fitted_constants,0.01890600076362341,2.3975637677131002e-05,24,0.00020402051604493437,0.018506120552175338,0.019305880975071483
prefix_sum_minus_terminal,fixed,prefix_k0,fifteen,neutral,original_grid,0.025886368197721207,7.876034875963264e-05,24,0.00036977928091847494,0.025161600807120998,0.026611135588321417
prefix_sum_minus_terminal,fixed,prefix_k0,fifteen,stable,fitted_constants,0.021540564449257518,3.453524655008387e-05,24,0.00024486123674555407,0.021060636425236232,0.022020492473278804
prefix_sum_minus_terminal,fixed,prefix_k0,four,neutral,fitted_constants,0.018875671785677447,2.2909994142350178e-05,24,0.00019943494023371287,0.01848477930281937,0.019266564268535524
prefix_sum_minus_terminal,fixed,prefix_k0,four,neutral,original_grid,0.022572261331926868,7.70579146711137e-05,24,0.0003657609900735348,0.02185536979138274,0.023289152872470995
prefix_sum_minus_terminal,fixed,prefix_k0,four,stable,fitted_constants,0.020909201473300082,3.424741099725969e-05,24,0.0002438386982394948,0.020431277624750672,0.02138712532184949
prefix_sum_minus_terminal,fixed,prefix_k0,two,neutral,fitted_constants,0.020555094965320934,3.5061341337086514e-05,24,0.00024671924178258815,0.02007152525142706,0.021038664679214808
prefix_sum_minus_terminal,fixed,prefix_k0,two,neutral,original_grid,-0.02717928958231967,0.0003729212417972089,24,0.0008046320348168395,-0.028756368370560677,-0.025602210794078664
prefix_sum_minus_terminal,fixed,prefix_k0,two,stable,fitted_constants,0.02244943909488055,3.004920393449378e-05,24,0.00022840480912344726,0.022001765668998592,0.022897112520762507
prefix_sum_minus_terminal,updating,prefix_k0,fifteen,neutral,fitted_constants,0.018907723872248147,2.3960390050834744e-05,24,0.00020395563094411078,0.01850797083559769,0.019307476908898603
prefix_sum_minus_terminal,updating,prefix_k0,fifteen,neutral,original_grid,0.024149788209224327,8.431081598937531e-05,24,0.0003825871723228561,0.023399917351471528,0.024899659066977126
prefix_sum_minus_terminal,updating,prefix_k0,fifteen,stable,fitted_constants,0.021539636448247575,3.452664711816018e-05,24,0.0002448307490721913,0.02105976818006608,0.02201950471642907
prefix_sum_minus_terminal,updating,prefix_k0,four,neutral,fitted_constants,0.018879501681671202,2.2896766211746857e-05,24,0.00019937735635905895,0.018488722063207445,0.01927028130013496
prefix_sum_minus_terminal,updating,prefix_k0,four,neutral,original_grid,0.02045527185063252,8.457019223064793e-05,24,0.00038317522153765425,0.019704248416418716,0.021206295284846324
prefix_sum_minus_terminal,updating,prefix_k0,four,stable,fitted_constants,0.020914640320278056,3.4238459207266023e-05,24,0.00024380682815921924,0.020436778937085984,0.021392501703470127
prefix_sum_minus_terminal,updating,prefix_k0,two,neutral,fitted_constants,0.020554920267467674,3.506216607488247e-05,24,0.00024672214351822275,0.02007134486617196,0.02103849566876339
prefix_sum_minus_terminal,updating,prefix_k0,two,neutral,original_grid,-0.02978582297287154,0.0003844437251797597,24,0.0008169681896386953,-0.031387080624563385,-0.028184565321179696
prefix_sum_minus_terminal,updating,prefix_k0,two,stable,fitted_constants,0.022457560535983825,3.0064473687850174e-05,24,0.00022846283465628348,0.02200977338005751,0.02290534769191014
stable_order_minus_neutral,fixed,prefix_k0,fifteen,stable,fitted_constants,0.0026345636856340685,2.767726453221665e-06,24,6.931868902362681e-05,0.00249869905514776,0.002770428316120377
stable_order_minus_neutral,fixed,prefix_k0,four,stable,fitted_constants,0.0020335296876226503,2.6264539843405883e-06,24,6.752640924139047e-05,0.001901177925509525,0.0021658814497357757
stable_order_minus_neutral,fixed,prefix_k0,two,stable,fitted_constants,0.0018943441295596,5.637442165969314e-07,24,3.128454248120885e-05,0.0018330264262964306,0.0019556618328227695
stable_order_minus_neutral,fixed,prefix_k05,fifteen,stable,fitted_constants,0.0018873575105118696,7.861899746651118e-07,24,3.6944731024332326e-05,0.0018149458377041783,0.001959769183319561
stable_order_minus_neutral,fixed,prefix_k05,four,stable,fitted_constants,0.0016096586142921975,3.791144571927932e-07,24,2.5655112970230048e-05,0.0015593745928705466,0.0016599426357138485
stable_order_minus_neutral,fixed,prefix_k05,two,stable,fitted_constants,0.0018943441295596,5.637442165969314e-07,24,3.128454248120885e-05,0.0018330264262964306,0.0019556618328227695
stable_order_minus_neutral,fixed,prefix_k1,fifteen,stable,fitted_constants,0.0011549025693589519,1.8530994539302654e-07,24,1.7936517365314444e-05,0.0011197469953229356,0.0011900581433949681
stable_order_minus_neutral,fixed,prefix_k1,four,stable,fitted_constants,0.0017281889736499275,3.0355367205371006e-07,24,2.295654379193489e-05,0.001683194147817735,0.0017731837994821198
stable_order_minus_neutral,fixed,prefix_k1,two,stable,fitted_constants,0.0018943441295596,5.637442165969314e-07,24,3.128454248120885e-05,0.0018330264262964306,0.0019556618328227695
stable_order_minus_neutral,fixed,terminal,fifteen,stable,fitted_constants,-5.997517297610481e-18,5.05177563675943e-35,24,2.961493510683158e-19,-6.57797002570438e-18,-5.4170645695165814e-18
stable_order_minus_neutral,fixed,terminal,four,stable,fitted_constants,-3.6718313574842417e-19,3.1212875328597213e-35,24,2.3278535105908937e-19,-8.234424238242393e-19,8.907615232739099e-20
stable_order_minus_neutral,fixed,terminal,two,stable,fitted_constants,7.04124258898986e-18,1.4369737030308123e-35,24,1.579476499415636e-19,6.731665195104396e-18,7.350819982875325e-18
stable_order_minus_neutral,updating,prefix_k0,fifteen,stable,fitted_constants,0.0026260584859562693,2.774475520454829e-06,24,6.940315395259362e-05,0.0024900283042091857,0.002762088667703353
stable_order_minus_neutral,updating,prefix_k0,four,stable,fitted_constants,0.0020242152109561976,2.632703959533282e-06,24,6.760670526221454e-05,0.0018917060686422572,0.002156724353270138
stable_order_minus_neutral,updating,prefix_k0,two,stable,fitted_constants,0.0018963440765590084,5.737462975554492e-07,24,3.1560851099817904e-05,0.0018344848084033652,0.0019582033447146513
stable_order_minus_neutral,updating,prefix_k05,fifteen,stable,fitted_constants,0.001882939068042911,7.887272740266157e-07,24,3.700429953497277e-05,0.0018104106409543644,0.0019554674951314578
stable_order_minus_neutral,updating,prefix_k05,four,stable,fitted_constants,0.0016068031193556768,3.8081804250544635e-07,24,2.57126901530215e-05,0.0015564062466557546,0.001657199992055599
