model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Global,dimension_color,first,blurred,Exact response,D,0.0588235294117647,0.0255958254269449,0.0132827324478178,0.0398481973434535,527,4000
Global,dimension_color,first,blurred,Exact response,DC,0.0436432637571157,0.0289501897533206,0.0151802656546489,0.0436432637571157,527,4000
Global,dimension_color,first,blurred,Exact response,DCF,0.3055028462998102,0.1653510436432637,0.1328273244781783,0.1973434535104364,527,4000
Global,dimension_color,first,blurred,Exact response,DF,0.3510436432637571,0.4068842504743833,0.3586337760910816,0.4554079696394686,527,4000
Global,dimension_color,first,blurred,Exact response,DFC,0.0341555977229601,0.0808534155597723,0.0588235294117647,0.1062618595825427,527,4000
Global,dimension_color,first,blurred,Exact response,C,0.0056925996204933,0.0130488614800759,0.0037950664136622,0.0228178368121443,527,4000
Global,dimension_color,first,blurred,Exact response,CD,0.0018975332068311,0.0005441176470588,0.0,0.0037950664136622,527,4000
Global,dimension_color,first,blurred,Exact response,CDF,0.0398481973434535,0.0082998102466793,0.0018975332068311,0.01707779886148,527,4000
Global,dimension_color,first,blurred,Exact response,CF,0.0891840607210626,0.105811669829222,0.079696394686907,0.1328273244781783,527,4000
Global,dimension_color,first,blurred,Exact response,CFD,0.0,0.0031285578747628,0.0,0.0094876660341555,527,4000
Global,dimension_color,first,blurred,Exact response,F,0.0379506641366223,0.1108358633776091,0.0834914611005692,0.1385199240986717,527,4000
Global,dimension_color,first,blurred,Exact response,FD,0.0075901328273244,0.0027656546489563,0.0,0.0075901328273244,527,4000
Global,dimension_color,first,blurred,Exact response,FDC,0.0037950664136622,0.0056129032258064,0.0,0.0132827324478178,527,4000
Global,dimension_color,first,blurred,Exact response,FC,0.01707779886148,0.0407604364326375,0.0246679316888045,0.0588235294117647,527,4000
Global,dimension_color,first,blurred,Exact response,FCD,0.0037950664136622,0.0015574003795066,0.0,0.0056925996204933,527,4000
Global,dimension_color,first,blurred,Response length,1,0.1024667931688804,0.14948055028463,0.1195445920303605,0.1821631878557874,527,4000
Global,dimension_color,first,blurred,Response length,2,0.5104364326375711,0.5857163187855787,0.538899430740038,0.6318785578747628,527,4000
Global,dimension_color,first,blurred,Response length,3,0.3870967741935484,0.2648031309297913,0.2239089184060721,0.3036053130929791,527,4000
Global,dimension_color,first,blurred,Initial adjective,D,0.793168880455408,0.707634724857685,0.6679316888045541,0.7476280834914611,527,4000
Global,dimension_color,first,blurred,Initial adjective,C,0.1366223908918406,0.1308330170777988,0.1024667931688804,0.1612903225806451,527,4000
Global,dimension_color,first,blurred,Initial adjective,F,0.0702087286527514,0.1615322580645161,0.1309297912713472,0.1954459203036053,527,4000
Global,dimension_color,first,sharp,Exact response,D,0.271578947368421,0.2539142105263158,0.2105263157894736,0.2989473684210526,475,4000
Global,dimension_color,first,sharp,Exact response,DC,0.0442105263157894,0.0330852631578947,0.0188947368421052,0.0505263157894736,475,4000
Global,dimension_color,first,sharp,Exact response,DCF,0.1936842105263158,0.1329547368421052,0.1010526315789473,0.1663157894736842,475,4000
Global,dimension_color,first,sharp,Exact response,DF,0.231578947368421,0.3335942105263158,0.2842105263157894,0.3832105263157896,475,4000
Global,dimension_color,first,sharp,Exact response,DFC,0.0231578947368421,0.0714647368421052,0.0484210526315789,0.0968421052631579,475,4000
Global,dimension_color,first,sharp,Exact response,C,0.0,0.008158947368421,0.0021052631578947,0.0168421052631578,475,4000
Global,dimension_color,first,sharp,Exact response,CD,0.0,0.0007505263157894,0.0,0.0042105263157894,475,4000
Global,dimension_color,first,sharp,Exact response,CDF,0.0189473684210526,0.0089715789473684,0.0021052631578947,0.0189473684210526,475,4000
Global,dimension_color,first,sharp,Exact response,CF,0.0989473684210526,0.0495384210526315,0.031578947368421,0.0694736842105263,475,4000
Global,dimension_color,first,sharp,Exact response,CFD,0.0021052631578947,0.0036410526315789,0.0,0.0105263157894736,475,4000
Global,dimension_color,first,sharp,Exact response,F,0.1031578947368421,0.0705252631578947,0.0484210526315789,0.0947368421052631,475,4000
Global,dimension_color,first,sharp,Exact response,FD,0.0021052631578947,0.0034936842105263,0.0,0.0105263157894736,475,4000
Global,dimension_color,first,sharp,Exact response,FDC,0.0,0.0062510526315789,0.0,0.0147368421052631,475,4000
Global,dimension_color,first,sharp,Exact response,FC,0.0105263157894736,0.0217363157894736,0.0105263157894736,0.0357894736842105,475,4000
Global,dimension_color,first,sharp,Exact response,FCD,0.0,0.0019199999999999,0.0,0.0063157894736842,475,4000
Global,dimension_color,first,sharp,Response length,1,0.3747368421052631,0.3325984210526316,0.2842105263157894,0.3789473684210526,475,4000
Global,dimension_color,first,sharp,Response length,2,0.3873684210526316,0.4421984210526316,0.391578947368421,0.4947368421052631,475,4000
Global,dimension_color,first,sharp,Response length,3,0.2378947368421052,0.2252031578947368,0.1852631578947368,0.2652631578947368,475,4000
Global,dimension_color,first,sharp,Initial adjective,D,0.7642105263157895,0.8250131578947368,0.7894736842105263,0.8589473684210527,475,4000
Global,dimension_color,first,sharp,Initial adjective,C,0.12,0.0710605263157894,0.0484210526315789,0.0947368421052631,475,4000
Global,dimension_color,first,sharp,Initial adjective,F,0.1157894736842105,0.1039263157894736,0.0778947368421052,0.1326315789473684,475,4000
Global,dimension_color,second,blurred,Exact response,D,0.0,0.0026675925925925,0.0,0.0074074074074074,540,4000
Global,dimension_color,second,blurred,Exact response,DC,0.0,0.071174074074074,0.05,0.0944444444444444,540,4000
Global,dimension_color,second,blurred,Exact response,DCF,0.0277777777777777,0.0321282407407407,0.0185185185185185,0.0481481481481481,540,4000
Global,dimension_color,second,blurred,Exact response,DF,0.0,0.0160643518518518,0.0055555555555555,0.0277777777777777,540,4000
Global,dimension_color,second,blurred,Exact response,DFC,0.0148148148148148,0.0132819444444444,0.0055555555555555,0.024074074074074,540,4000
Global,dimension_color,second,blurred,Exact response,C,0.6148148148148148,0.7336541666666667,0.6962962962962963,0.7703703703703704,540,4000
Global,dimension_color,second,blurred,Exact response,CD,0.0,0.0014180555555555,0.0,0.0055555555555555,540,4000
Global,dimension_color,second,blurred,Exact response,CDF,0.0055555555555555,0.0022180555555555,0.0,0.0074074074074074,540,4000
Global,dimension_color,second,blurred,Exact response,CF,0.2703703703703703,0.084861574074074,0.0611111111111111,0.1093055555555557,540,4000
Global,dimension_color,second,blurred,Exact response,CFD,0.0,0.0010212962962962,0.0,0.0037037037037037,540,4000
Global,dimension_color,second,blurred,Exact response,F,0.0462962962962962,0.0156097222222222,0.0055555555555555,0.0277777777777777,540,4000
Global,dimension_color,second,blurred,Exact response,FD,0.0,0.0003060185185185,0.0,0.0018518518518518,540,4000
Global,dimension_color,second,blurred,Exact response,FDC,0.0,0.0011393518518518,0.0,0.0055555555555555,540,4000
Global,dimension_color,second,blurred,Exact response,FC,0.0203703703703703,0.0239541666666666,0.0111111111111111,0.0388888888888888,540,4000
Global,dimension_color,second,blurred,Exact response,FCD,0.0,0.0005013888888888,0.0,0.0037037037037037,540,4000
Global,dimension_color,second,blurred,Response length,1,0.6611111111111111,0.7519314814814815,0.7166666666666667,0.7870370370370371,540,4000
Global,dimension_color,second,blurred,Response length,2,0.2907407407407407,0.1977782407407407,0.1648148148148148,0.2314814814814814,540,4000
Global,dimension_color,second,blurred,Response length,3,0.0481481481481481,0.0502902777777777,0.0333333333333333,0.0685648148148149,540,4000
