relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n
first,blurred,8,CF,0.08668501805054152,0.06498194945848375,0.11010830324909747,554
first,blurred,9,CFD,0.0,0.0,0.0,554
first,blurred,10,F,0.038092057761732856,0.023465703971119134,0.05415162454873646,554
first,blurred,11,FD,0.008868231046931406,0.0018050541516245488,0.016245487364620937,554
first,blurred,12,FDC,0.003680505415162455,0.0,0.009025270758122744,554
first,blurred,13,FC,0.016282490974729242,0.007220216606498195,0.02707581227436823,554
first,blurred,14,FCD,0.003562274368231047,0.0,0.009025270758122744,554
first,sharp,0,D,0.2686673306772908,0.2290836653386454,0.30876494023904383,502
first,sharp,1,DC,0.04608266932270916,0.029880478087649404,0.06573705179282868,502
first,sharp,2,DCF,0.2057569721115537,0.17131474103585656,0.2410358565737052,502
first,sharp,3,DF,0.2307310756972111,0.1952191235059761,0.26698207171314714,502
first,sharp,4,DFC,0.021875498007968126,0.0099601593625498,0.035856573705179286,502
first,sharp,5,C,0.0,0.0,0.0,502
first,sharp,6,CD,0.0,0.0,0.0,502
first,sharp,7,CDF,0.017950199203187245,0.00796812749003984,0.029880478087649404,502
first,sharp,8,CF,0.09313745019920318,0.06772908366533864,0.11752988047808766,502
first,sharp,9,CFD,0.0020209163346613544,0.0,0.0060258964143423575,502
first,sharp,10,F,0.10153386454183264,0.07569721115537849,0.12749003984063745,502
first,sharp,11,FD,0.00200996015936255,0.0,0.00597609561752988,502
first,sharp,12,FDC,0.0,0.0,0.0,502
first,sharp,13,FC,0.00991035856573705,0.00199203187250996,0.0199203187250996,502
first,sharp,14,FCD,0.0,0.0,0.0,502
second,blurred,0,D,0.0,0.0,0.0,567
second,blurred,1,DC,0.0,0.0,0.0,567
second,blurred,2,DCF,0.02630070546737213,0.014109347442680775,0.03880070546737213,567
second,blurred,3,DF,0.0,0.0,0.0,567
second,blurred,4,DFC,0.014086419753086419,0.005291005291005291,0.024691358024691357,567
second,blurred,5,C,0.6277610229276895,0.5873015873015873,0.6666666666666666,567
second,blurred,6,CD,0.0,0.0,0.0,567
second,blurred,7,CDF,0.0053359788359788355,0.0,0.012345679012345678,567
second,blurred,8,CF,0.2627345679012345,0.2275132275132275,0.2998236331569665,567
second,blurred,9,CFD,0.0,0.0,0.0,567
second,blurred,10,F,0.04403086419753086,0.02821869488536155,0.06172839506172839,567
second,blurred,11,FD,0.0,0.0,0.0,567
second,blurred,12,FDC,0.0,0.0,0.0,567
second,blurred,13,FC,0.019522045855379186,0.008818342151675485,0.031746031746031744,567
second,blurred,14,FCD,0.0,0.0,0.0,567
second,sharp,0,D,0.0,0.0,0.0,504
second,sharp,1,DC,0.0019414682539682538,0.0,0.005952380952380952,504
second,sharp,2,DCF,0.0019265873015873014,0.0,0.005952380952380952,504
second,sharp,3,DF,0.0,0.0,0.0,504
second,sharp,4,DFC,0.005887896825396824,0.0,0.013888888888888888,504
second,sharp,5,C,0.7158482142857142,0.6765873015873016,0.7540178571428569,504
second,sharp,6,CD,0.0,0.0,0.0,504
second,sharp,7,CDF,0.004010912698412698,0.0,0.00992063492063492,504
second,sharp,8,CF,0.23104563492063496,0.19642857142857142,0.26790674603174575,504
second,sharp,9,CFD,0.0,0.0,0.0,504
second,sharp,10,F,0.019855158730158726,0.00992063492063492,0.03373015873015873,504
second,sharp,11,FD,0.0,0.0,0.0,504
second,sharp,12,FDC,0.0,0.0,0.0,504
second,sharp,13,FC,0.019969246031746032,0.00992063492063492,0.03373015873015873,504
second,sharp,14,FCD,0.0,0.0,0.0,504
