context,discriminability,response,source,proportion,lower,upper
Size sufficient,Low,SCF,Plan-guided,0.17766698292220112,0.1442125237191651,0.2125237191650854
Size sufficient,Low,SF,Plan-guided,0.44153605313092975,0.3946869070208729,0.4895635673624288
Size sufficient,Low,SFC,Plan-guided,0.06494829222011386,0.04554079696394687,0.0872865275142315
Size sufficient,Low,C,Plan-guided,0.01275948766603415,0.00379506641366223,0.02277039848197343
Size sufficient,Low,CSF,Plan-guided,0.00766698292220113,0.00189753320683111,0.0152277039848199
Size sufficient,Low,CF,Plan-guided,0.09111148007590134,0.06641366223908918,0.1176470588235294
Size sufficient,Low,F,Plan-guided,0.0992134724857685,0.07400379506641366,0.127134724857685
Size sufficient,High,S,Plan-guided,0.24882157894736845,0.20421052631578948,0.2926315789473684
Size sufficient,High,SC,Plan-guided,0.03552105263157895,0.01894736842105263,0.05263157894736842
Size sufficient,High,SCF,Plan-guided,0.1552515789473684,0.12210526315789472,0.18947368421052632
Size sufficient,High,SF,Plan-guided,0.3515810526315789,0.3031578947368421,0.4
Size sufficient,High,SFC,Plan-guided,0.06337526315789474,0.04210526315789473,0.0863157894736842
Size sufficient,High,C,Plan-guided,0.00776736842105263,0,0.01684210526315789
Size sufficient,High,CSF,Plan-guided,0.00847,0.00210526315789473,0.01684210526315789
Size sufficient,High,CF,Plan-guided,0.04134052631578947,0.0231578947368421,0.06105263157894736
Size sufficient,High,F,Plan-guided,0.06007842105263157,0.03789473684210526,0.08210526315789474
Colour sufficient,Low,S,Plan-guided,0.00292129629629629,0,0.0074074074074074
Colour sufficient,Low,SC,Plan-guided,0.05651064814814815,0.03888888888888889,0.07592592592592592
Colour sufficient,Low,SCF,Plan-guided,0.02925694444444444,0.01666666666666666,0.04444444444444444
Colour sufficient,Low,SF,Plan-guided,0.01346203703703703,0.0037037037037037,0.02407407407407407
Colour sufficient,Low,SFC,Plan-guided,0.00442129629629629,0,0.01111111111111111
Colour sufficient,Low,C,Plan-guided,0.7471069444444445,0.7074074074074074,0.7833333333333333
Colour sufficient,Low,CSF,Plan-guided,0.00304953703703703,0,0.00925925925925925
Colour sufficient,Low,CF,Plan-guided,0.11160972222222222,0.08518518518518518,0.1388888888888889
Colour sufficient,Low,F,Plan-guided,0.01516249999999999,0.00555555555555555,0.02777777777777777
Colour sufficient,High,S,Plan-guided,0.00488888888888889,0,0.01257861635220125
Colour sufficient,High,SC,Plan-guided,0.05638522012578616,0.03768343815513628,0.07756813417190776
Colour sufficient,High,SCF,Plan-guided,0.02423008385744234,0.01257861635220125,0.03983228511530398
Colour sufficient,High,SF,Plan-guided,0.01141509433962264,0.0020964360587002,0.02096436058700209
Colour sufficient,High,SFC,Plan-guided,0.0050020964360587,0,0.01257861635220125
Colour sufficient,High,C,Plan-guided,0.7738490566037736,0.7358490566037735,0.8113207547169812
Colour sufficient,High,CSF,Plan-guided,0.00438364779874213,0,0.01048218029350104
Colour sufficient,High,CF,Plan-guided,0.08612159329140459,0.06289308176100629,0.1111111111111111
Colour sufficient,High,F,Plan-guided,0.01481761006289308,0.00419287211740041,0.02725366876310272
