model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Plan-guided,color_form,first,sharp,Exact response,D,0.008385744234800839,0.0033689727463312377,0.0,0.008385744234800839,477,4000
Plan-guided,color_form,first,sharp,Exact response,DC,0.010482180293501049,0.057336477987421385,0.03773584905660377,0.07756813417190776,477,4000
Plan-guided,color_form,first,sharp,Exact response,DCF,0.031446540880503145,0.016329140461215936,0.006289308176100629,0.029350104821802937,477,4000
Plan-guided,color_form,first,sharp,Exact response,DF,0.010482180293501049,0.003444444444444445,0.0,0.008385744234800839,477,4000
Plan-guided,color_form,first,sharp,Exact response,DFC,0.008385744234800839,0.0024580712788259966,0.0,0.008385744234800839,477,4000
Plan-guided,color_form,first,sharp,Exact response,C,0.6918238993710691,0.8273867924528302,0.7924528301886793,0.8616352201257862,477,4000
Plan-guided,color_form,first,sharp,Exact response,CD,0.0,0.0029931865828092246,0.0,0.008385744234800839,477,4000
Plan-guided,color_form,first,sharp,Exact response,CDF,0.014675052410901468,0.005128406708595388,0.0,0.012578616352201259,477,4000
Plan-guided,color_form,first,sharp,Exact response,CF,0.20335429769392033,0.06759538784067086,0.04612159329140461,0.09224318658280922,477,4000
Plan-guided,color_form,first,sharp,Exact response,CFD,0.0,0.003218029350104822,0.0,0.010482180293501049,477,4000
Plan-guided,color_form,first,sharp,Exact response,F,0.0,0.004428721174004194,0.0,0.010482180293501049,477,4000
Plan-guided,color_form,first,sharp,Exact response,FD,0.0,0.00023427672955974842,0.0,0.0020964360587002098,477,4000
Plan-guided,color_form,first,sharp,Exact response,FDC,0.0,0.0003768343815513627,0.0,0.0020964360587002098,477,4000
Plan-guided,color_form,first,sharp,Exact response,FC,0.020964360587002098,0.0053228511530398325,0.0,0.012578616352201259,477,4000
Plan-guided,color_form,first,sharp,Exact response,FCD,0.0,0.00037840670859538785,0.0,0.0020964360587002098,477,4000
Plan-guided,color_form,first,sharp,Response length,1,0.70020964360587,0.8351844863731656,0.8028825995807128,0.8679245283018868,477,4000
Plan-guided,color_form,first,sharp,Response length,2,0.24528301886792453,0.1369266247379455,0.1069182389937107,0.16771488469601678,477,4000
Plan-guided,color_form,first,sharp,Response length,3,0.05450733752620545,0.027888888888888887,0.014675052410901468,0.0440251572327044,477,4000
Plan-guided,color_form,first,sharp,Initial adjective,D,0.06918238993710692,0.08293710691823898,0.06074423480083859,0.1069182389937107,477,4000
Plan-guided,color_form,first,sharp,Initial adjective,C,0.909853249475891,0.9063218029350104,0.8805031446540881,0.9308176100628931,477,4000
Plan-guided,color_form,first,sharp,Initial adjective,F,0.020964360587002098,0.010741090146750525,0.0020964360587002098,0.020964360587002098,477,4000
Plan-guided,color_form,second,blurred,Exact response,D,0.0,0.0011749999999999998,0.0,0.0037500000000001686,540,4000
Plan-guided,color_form,second,blurred,Exact response,DC,0.0,0.006856481481481481,0.001851851851851852,0.014814814814814815,540,4000
Plan-guided,color_form,second,blurred,Exact response,DCF,0.04259259259259259,0.045781944444444445,0.02962962962962963,0.06481481481481481,540,4000
Plan-guided,color_form,second,blurred,Exact response,DF,0.016666666666666666,0.12664490740740741,0.1,0.15555555555555556,540,4000
Plan-guided,color_form,second,blurred,Exact response,DFC,0.009259259259259259,0.019099537037037036,0.009259259259259259,0.03148148148148148,540,4000
Plan-guided,color_form,second,blurred,Exact response,C,0.001851851851851852,0.008656018518518518,0.001851851851851852,0.016666666666666666,540,4000
Plan-guided,color_form,second,blurred,Exact response,CD,0.0,0.0002777777777777778,0.0,0.001851851851851852,540,4000
Plan-guided,color_form,second,blurred,Exact response,CDF,0.0,0.00203287037037037,0.0,0.007407407407407408,540,4000
Plan-guided,color_form,second,blurred,Exact response,CF,0.21481481481481482,0.10444675925925927,0.07962962962962963,0.13148148148148148,540,4000
Plan-guided,color_form,second,blurred,Exact response,CFD,0.001851851851851852,0.0030777777777777774,0.0,0.009259259259259259,540,4000
Plan-guided,color_form,second,blurred,Exact response,F,0.6722222222222223,0.6481685185185185,0.6074074074074074,0.687037037037037,540,4000
Plan-guided,color_form,second,blurred,Exact response,FD,0.001851851851851852,0.000749074074074074,0.0,0.003703703703703704,540,4000
Plan-guided,color_form,second,blurred,Exact response,FDC,0.0,0.0013115740740740737,0.0,0.005555555555555556,540,4000
Plan-guided,color_form,second,blurred,Exact response,FC,0.03888888888888889,0.030485185185185188,0.016666666666666666,0.046296296296296294,540,4000
Plan-guided,color_form,second,blurred,Exact response,FCD,0.0,0.001236574074074074,0.0,0.005555555555555556,540,4000
Plan-guided,color_form,second,blurred,Response length,1,0.674074074074074,0.6579995370370371,0.6185185185185185,0.6981481481481482,540,4000
Plan-guided,color_form,second,blurred,Response length,2,0.2722222222222222,0.2694601851851852,0.23333333333333334,0.3074074074074074,540,4000
Plan-guided,color_form,second,blurred,Response length,3,0.053703703703703705,0.07254027777777777,0.05185185185185185,0.09444444444444444,540,4000
Plan-guided,color_form,second,blurred,Initial adjective,D,0.06851851851851852,0.19955787037037034,0.1685185185185185,0.23148148148148148,540,4000
Plan-guided,color_form,second,blurred,Initial adjective,C,0.21851851851851853,0.1184912037037037,0.09074074074074075,0.14629629629629629,540,4000
Plan-guided,color_form,second,blurred,Initial adjective,F,0.7129629629629629,0.681950925925926,0.6425925925925926,0.7185185185185186,540,4000
Plan-guided,color_form,second,sharp,Exact response,D,0.0,0.0020267295597484274,0.0,0.006289308176100629,477,4000
Plan-guided,color_form,second,sharp,Exact response,DC,0.0,0.007169811320754717,0.0,0.014675052410901468,477,4000
Plan-guided,color_form,second,sharp,Exact response,DCF,0.020964360587002098,0.04176415094339622,0.025157232704402517,0.06079664570230608,477,4000
Plan-guided,color_form,second,sharp,Exact response,DF,0.033542976939203356,0.12165828092243186,0.09433962264150944,0.1509433962264151,477,4000
Plan-guided,color_form,second,sharp,Exact response,DFC,0.006289308176100629,0.020924004192872117,0.008385744234800839,0.033542976939203356,477,4000
Plan-guided,color_form,second,sharp,Exact response,C,0.0,0.008881027253668764,0.0020964360587002098,0.018867924528301886,477,4000
Plan-guided,color_form,second,sharp,Exact response,CD,0.0,0.0002866876310272537,0.0,0.0020964360587002098,477,4000
Plan-guided,color_form,second,sharp,Exact response,CDF,0.0041928721174004195,0.0029072327044025164,0.0,0.008385744234800839,477,4000
Plan-guided,color_form,second,sharp,Exact response,CF,0.16771488469601678,0.08957389937106919,0.0649895178197065,0.11740041928721175,477,4000
Plan-guided,color_form,second,sharp,Exact response,CFD,0.0,0.003644654088050315,0.0,0.010482180293501049,477,4000
Plan-guided,color_form,second,sharp,Exact response,F,0.7379454926624738,0.6642746331236897,0.6226415094339622,0.7064989517819706,477,4000
Plan-guided,color_form,second,sharp,Exact response,FD,0.0,0.001208071278825996,0.0,0.0041928721174004195,477,4000
Plan-guided,color_form,second,sharp,Exact response,FDC,0.006289308176100629,0.0021037735849056606,0.0,0.006289308176100629,477,4000
Plan-guided,color_form,second,sharp,Exact response,FC,0.023060796645702306,0.03196488469601678,0.016771488469601678,0.04821802935010482,477,4000
Plan-guided,color_form,second,sharp,Exact response,FCD,0.0,0.0016121593291404614,0.0,0.006289308176100629,477,4000
Plan-guided,color_form,second,sharp,Response length,1,0.7379454926624738,0.6751823899371069,0.6331236897274634,0.7169811320754716,477,4000
Plan-guided,color_form,second,sharp,Response length,2,0.22431865828092243,0.2518616352201258,0.2138364779874214,0.2914046121593291,477,4000
Plan-guided,color_form,second,sharp,Response length,3,0.03773584905660377,0.0729559748427673,0.050314465408805034,0.09643605870020965,477,4000
Plan-guided,color_form,second,sharp,Initial adjective,D,0.06079664570230608,0.19354297693920336,0.16142557651991615,0.22851153039832284,477,4000
Plan-guided,color_form,second,sharp,Initial adjective,C,0.1719077568134172,0.10529350104821802,0.07756813417190776,0.13417190775681342,477,4000
Plan-guided,color_form,second,sharp,Initial adjective,F,0.7672955974842768,0.7011635220125786,0.6582809224318659,0.7421383647798742,477,4000
