id,pattern,measure,value
56,Middle 70%,Canonical order,1
57,Stable order favoured,One adjective,0.48148148148148145
57,Stable order favoured,Three adjectives,0.19753086419753085
57,Stable order favoured,Size initial,0.3333333333333333
57,Stable order favoured,Canonical order,0.6666666666666666
58,Successive choice favoured,One adjective,0.2962962962962963
58,Successive choice favoured,Three adjectives,0.20987654320987653
58,Successive choice favoured,Size initial,0.3684210526315789
58,Successive choice favoured,Canonical order,0.9824561403508772
59,Middle 70%,One adjective,0.4567901234567901
59,Middle 70%,Three adjectives,0.01234567901234567
59,Middle 70%,Size initial,0.6363636363636364
59,Middle 70%,Canonical order,1
60,Middle 70%,One adjective,0.2894736842105263
60,Middle 70%,Three adjectives,0.40789473684210525
60,Middle 70%,Size initial,0.5740740740740741
60,Middle 70%,Canonical order,0.8703703703703703
61,Middle 70%,One adjective,0
61,Middle 70%,Three adjectives,0.345679012345679
61,Middle 70%,Size initial,0.35802469135802467
61,Middle 70%,Canonical order,0.9753086419753086
62,Middle 70%,One adjective,0.5125
62,Middle 70%,Three adjectives,0.0875
62,Middle 70%,Size initial,0.6153846153846154
62,Middle 70%,Canonical order,0.97435897435897445
63,Middle 70%,One adjective,0.25925925925925924
63,Middle 70%,Three adjectives,0.04938271604938271
63,Middle 70%,Size initial,0.5166666666666667
63,Middle 70%,Canonical order,1
64,Middle 70%,One adjective,0.6049382716049383
64,Middle 70%,Three adjectives,0.01234567901234567
64,Middle 70%,Size initial,0.71875
64,Middle 70%,Canonical order,0.9375
65,Stable order favoured,One adjective,0.5569620253164557
65,Stable order favoured,Three adjectives,0.189873417721519
65,Stable order favoured,Size initial,0.42857142857142855
65,Stable order favoured,Canonical order,0.7714285714285715
66,Middle 70%,One adjective,0.49382716049382713
66,Middle 70%,Three adjectives,0.04938271604938271
66,Middle 70%,Size initial,0.6097560975609756
66,Middle 70%,Canonical order,0.975609756097561
67,Middle 70%,One adjective,0.19753086419753085
67,Middle 70%,Three adjectives,0.32098765432098764
67,Middle 70%,Size initial,0.4153846153846154
67,Middle 70%,Canonical order,0.9384615384615383
68,Middle 70%,One adjective,0.5308641975308642
68,Middle 70%,Three adjectives,0.2222222222222222
68,Middle 70%,Size initial,0.7105263157894737
68,Middle 70%,Canonical order,0.9736842105263158
69,Middle 70%,One adjective,0.5061728395061729
69,Middle 70%,Three adjectives,0.13580246913580246
69,Middle 70%,Size initial,0.7
69,Middle 70%,Canonical order,0.825
70,Stable order favoured,One adjective,0.3333333333333333
70,Stable order favoured,Three adjectives,0
70,Stable order favoured,Size initial,0
70,Stable order favoured,Canonical order,1
71,Middle 70%,One adjective,0.6419753086419753
71,Middle 70%,Three adjectives,0.02469135802469135
71,Middle 70%,Size initial,0.7241379310344828
71,Middle 70%,Canonical order,1
72,Middle 70%,One adjective,0.55
