grouping_type,combination,n_observations,total_plan_vs_average_endpoints,mean_plan_vs_average_endpoints,total_plan_vs_global,total_plan_vs_fully_incremental,relevant_property,sharpness,annotation,initial_adjective,response_length
family_by_completed_utterance,dimension_color,77,1.465704021292047,0.0190351171596369,14.699280398221706,-11.767872355637612,,,CDF,,
family_by_completed_utterance,color_form,3,1.0978365491382185,0.3659455163794061,1.9175788807737224,0.278094217502713,,,CFD,,
family_by_completed_utterance,dimension_color,5,0.5197454901430243,0.1039490980286048,3.775856887849303,-2.736365907563256,,,CFD,,
family_by_completed_utterance,dimension_form,100,0.4930300967718823,0.0049303009677188,-22.85845039858629,23.844510592130057,,,DC,,
family_by_completed_utterance,dimension_form,4,0.4092847866267055,0.1023211966566763,0.1015124797532438,0.7170570935001708,,,FCD,,
family_by_completed_utterance,color_form,4,0.2483678224971957,0.0620919556242989,-0.5120523116920799,1.0087879566864704,,,FDC,,
family_by_completed_utterance,dimension_color,3,0.1900364424380605,0.0633454808126868,1.258030757348494,-0.8779578724723742,,,FCD,,
family_by_completed_utterance,dimension_form,5,0.0581909342394872,0.0116381868478974,-4.316617678647394,4.43299954712637,,,FDC,,
family_by_completed_utterance,color_form,11,-0.3330445087755995,-0.0302767735250545,2.5366968684278497,-3.202785885979049,,,D,,
family_by_completed_utterance,color_form,2,-0.3913867768320633,-0.1956933884160316,-0.4342301111168076,-0.3485434425473199,,,FD,,
family_by_completed_utterance,dimension_color,4,-0.5594686710569539,-0.1398671677642384,-1.340972007852499,0.2220346657385921,,,FDC,,
family_by_completed_utterance,dimension_form,6,-0.5917751214706444,-0.098629186911774,5.239246568265446,-6.422796811206734,,,CFD,,
family_by_completed_utterance,dimension_form,3,-0.6538742664629549,-0.2179580888209849,0.7317926885956423,-2.039541221521551,,,CD,,
family_by_completed_utterance,dimension_form,3,-0.9621787593363952,-0.3207262531121317,-0.7794556940320394,-1.1449018246407512,,,FD,,
family_by_completed_utterance,dimension_form,66,-1.0135169151721195,-0.0153563168965472,-36.39364852143176,34.36661469108752,,,FC,,
family_by_completed_utterance,dimension_color,6,-1.9853624106483965,-0.3308937351080661,-0.4829720686516872,-3.4877527526451075,,,FD,,
family_by_completed_utterance,dimension_color,8,-2.5652065145352942,-0.3206508143169118,2.0941133793406834,-7.224526408411272,,,CD,,
family_by_completed_utterance,dimension_color,66,-2.6725903763515046,-0.0404937935810834,-26.16069645973913,20.81551570703612,,,FC,,
family_by_completed_utterance,color_form,172,-2.8488099417586548,-0.0165628484985968,17.30461132914331,-23.00223121266062,,,DCF,,
family_by_completed_utterance,color_form,116,-5.052051577301215,-0.043552168769838,-53.147938648479645,43.04383549387721,,,FC,,
family_by_completed_utterance,dimension_form,675,-8.52681762061985,-0.0126323224009182,-9.6380087875707,-7.415626453669003,,,F,,
family_by_completed_utterance,color_form,35,-13.594847214375328,-0.3884242061250094,-10.512263500900067,-16.677430927850587,,,DC,,
family_by_completed_utterance,color_form,70,-30.485312900913893,-0.4355044700130556,-13.44777780207127,-47.52284799975652,,,DF,,
family_by_completed_utterance,dimension_form,561,-61.99964923035213,-0.1105163087885064,-123.48786856161722,-0.5114298990870495,,,DF,,
family_by_initial,dimension_form,857,130.6659797623912,0.1524690545652172,158.1375827616574,103.19437676312498,,,,C,
family_by_initial,color_form,1883,109.58448219626789,0.0581967510335995,236.31648298820855,-17.14751859567282,,,,C,
family_by_initial,dimension_color,1366,88.6612428248737,0.0649057414530554,96.22319405430537,81.09929159544205,,,,C,
family_by_initial,dimension_color,1381,86.81991942665414,0.062867428983819,37.311645268192855,136.32819358511543,,,,D,
family_by_initial,dimension_color,287,21.07295303816678,0.073424923477933,-26.89273643904609,69.03864251537965,,,,F,
family_by_initial,dimension_form,1405,16.374535409316383,0.0116544736009369,-92.46961627041549,125.21868708904825,,,,D,
family_by_initial,color_form,846,4.007120965234459,0.004736549604296,-72.74707365583058,80.76131558629949,,,,F,
family_by_initial,dimension_form,753,-10.035037574262171,-0.0133267431265101,-51.02621820192866,30.956143053404308,,,,F,
family_by_initial,color_form,322,-44.47431737098172,-0.138118998046527,-27.97462175549208,-60.97401298647135,,,,D,
initial_adjective,,4106,328.9117047835328,0.0801051399862476,490.67725980417134,167.14614976289425,,,,C,
initial_adjective,,3108,58.72013746498881,0.0188932231225832,-83.1325927577147,200.5728676876923,,,,D,
