combination,relevant_property,sharpness,response,n,observed_percent,fixed_predicted_percent,updating_predicted_percent,fixed_residual_pp,updating_residual_pp,fixed_absolute_error_advantage_pp
color_form,second,blurred,FC,540,3.888888888888889,2.989799653582972,3.0312856823448935,0.8990892353059169,0.8576032065439952,-0.04148602876192162
color_form,second,blurred,FCD,540,0.0,0.13011601495827002,0.12828919496400118,-0.13011601495827002,-0.12828919496400118,-0.0018268199942688378
color_form,second,blurred,FD,540,0.1851851851851852,0.06704573807762884,0.06911310814861206,0.11813944710755636,0.11607207703657313,-0.0020673700709832304
color_form,second,blurred,FDC,540,0.0,0.14198602675535635,0.14162113462461579,-0.14198602675535635,-0.14162113462461579,-0.00036489213074057756
color_form,second,sharp,C,477,0.0,0.8393264737088637,0.8413744118796562,-0.8393264737088637,-0.8413744118796562,0.002047938170792428
color_form,second,sharp,CD,477,0.0,0.02820857332304962,0.02889589125591145,-0.02820857332304962,-0.02889589125591145,0.0006873179328618321
color_form,second,sharp,CDF,477,0.41928721174004197,0.3049365094024036,0.3051597127785884,0.11435070233763839,0.11412749896145355,-0.0002232033761848367
color_form,second,sharp,CF,477,16.771488469601678,9.00128925104037,9.075398127979675,7.770199218561308,7.696090341622003,-0.07410887693930501
color_form,second,sharp,CFD,477,0.0,0.38913687006391096,0.38192210672195975,-0.38913687006391096,-0.38192210672195975,-0.007214763341951242
color_form,second,sharp,D,477,0.0,0.18568483015441375,0.18790377233064812,-0.18568483015441375,-0.18790377233064812,0.0022189421762343732
color_form,second,sharp,DC,477,0.0,0.6490766980218134,0.6634617171569754,-0.6490766980218134,-0.6634617171569754,0.01438501913516195
color_form,second,sharp,DCF,477,2.0964360587002098,4.410610109095147,4.329576225669736,-2.314174050394938,-2.2331401669695263,-0.08103388342541179
color_form,second,sharp,DF,477,3.3542976939203357,12.451169520388357,12.336512613422444,-9.096871826468021,-8.982214919502109,-0.11465690696591258
color_form,second,sharp,DFC,477,0.628930817610063,2.1910154139984037,2.164156341856511,-1.562084596388341,-1.5352255242464479,-0.026859072141893064
color_form,second,sharp,F,477,73.79454926624737,65.89452417237318,65.96923771168093,7.900025093874197,7.82531155456645,-0.07471353930774693
color_form,second,sharp,FC,477,2.3060796645702304,3.1637800711041963,3.223024526237898,-0.8577004065339656,-0.9169448616676672,0.059244455133701523
color_form,second,sharp,FCD,477,0.0,0.16749886789542148,0.16441009957835995,-0.16749886789542148,-0.16441009957835995,-0.0030887683170615406
color_form,second,sharp,FD,477,0.0,0.1065014368099227,0.11117473387977007,-0.1065014368099227,-0.11117473387977007,0.004673297069847371
color_form,second,sharp,FDC,477,0.628930817610063,0.21724120262054908,0.2177920075709316,0.4116896149895138,0.4111388100391314,-0.0005508049503824206
dimension_color,both,blurred,C,539,0.927643784786642,4.062808664354586,4.041170912888142,-3.1351648795679443,-3.1135271281015,-0.021637751466443977
dimension_color,both,blurred,CD,539,0.5565862708719851,0.0682372221033412,0.07126161995326821,0.488349048768644,0.4853246509187169,-0.0030243978499270435
dimension_color,both,blurred,CDF,539,5.194805194805195,1.411574211713771,1.3953129499631856,3.7832309830914244,3.799492244842009,0.01626126175058515
dimension_color,both,blurred,CF,539,27.643784786641927,28.689181079579352,28.88309620529828,-1.0453962929374228,-1.2393114186563525,0.19391512571892977
dimension_color,both,blurred,CFD,539,0.3710575139146568,0.984876317325922,0.9732370563804118,-0.6138188034112652,-0.602179542465755,-0.011639260945510085
dimension_color,both,blurred,D,539,0.0,0.3474229668372597,0.356358832323138,-0.3474229668372597,-0.356358832323138,0.008935865485878297
dimension_color,both,blurred,DC,539,6.679035250463822,3.980092973902304,4.031867278125737,2.6989422765615174,2.647167972338085,-0.05177430422343213
dimension_color,both,blurred,DCF,539,31.3543599257885,19.870470834141116,19.370025832081446,11.483889091647384,11.984334093707055,0.5004450020596712
dimension_color,both,blurred,DF,539,8.16326530612245,18.97832653229755,19.152265593252096,-10.815061226175104,-10.989000287129649,0.17393906095454492
dimension_color,both,blurred,DFC,539,2.9684601113172544,3.93012025641696,3.9239151970537005,-0.9616601450997058,-0.9554550857364462,-0.006205059363259546
dimension_color,both,blurred,F,539,11.873840445269018,12.533755737904809,12.479473460899378,-0.6599152926357919,-0.6056330156303608,-0.054282277005431034
dimension_color,both,blurred,FC,539,3.710575139146568,4.662734377348402,4.830412300036578,-0.9521592382018342,-1.1198371608900095,0.16767792268817527
dimension_color,both,blurred,FCD,539,0.0,0.17910036743371563,0.18045043881177514,-0.17910036743371563,-0.18045043881177514,0.0013500713780595234
dimension_color,both,blurred,FD,539,0.1855287569573284,0.07850974329693873,0.08332238663180656,0.10701901366038966,0.10220637032552184,-0.004812643334867824
dimension_color,both,blurred,FDC,539,0.3710575139146568,0.22278871534396608,0.22782993630106269,0.1482687985706907,0.1432275776135941,-0.005041220957096616
dimension_color,both,sharp,C,476,0.0,4.155731999808963,4.1722015641066434,-4.155731999808963,-4.1722015641066434,0.016469564297679623
dimension_color,both,sharp,CD,476,0.8403361344537815,0.09976183122904153,0.10505343545270368,0.7405743032247399,0.7352826990010778,-0.005291604223662139
dimension_color,both,sharp,CDF,476,2.941176470588235,1.9594346947459447,1.9151695409679388,0.9817417758422906,1.0260069296202965,0.04426515377800588
dimension_color,both,sharp,CF,476,20.3781512605042,22.489889009757913,23.01608412246633,-2.1117377492537113,-2.6379328619621307,0.5261951127084191
dimension_color,both,sharp,CFD,476,0.42016806722689076,1.1303731569076185,1.120758884351757,-0.7102050896807277,-0.7005908171248664,-0.009614272555861364
dimension_color,both,sharp,D,476,0.0,0.6934939281170103,0.7020074650940609,-0.6934939281170103,-0.7020074650940609,0.008513536977050682
dimension_color,both,sharp,DC,476,19.747899159663866,4.7556699441109895,4.725747348403492,14.992229215552877,15.022151811260374,0.029922595707496114
dimension_color,both,sharp,DCF,476,30.462184873949578,20.099065348399332,19.32187132566631,10.363119525550243,11.140313548283265,0.7771940227330215
dimension_color,both,sharp,DF,476,11.134453781512606,21.055625649861465,20.963454171388207,-9.921171868348859,-9.8290003898756,-0.09217147847325746
dimension_color,both,sharp,DFC,476,3.1512605042016806,4.8902385630987135,4.899833636828981,-1.7389780588970332,-1.7485731326273,0.009595073730266773
dimension_color,both,sharp,F,476,8.403361344537815,13.183375882144412,13.289626570932898,-4.780014537606597,-4.886265226395081,0.10625068878848398
dimension_color,both,sharp,FC,476,2.3109243697478994,4.746129471332407,5.002743519709681,-2.4352051015845073,-2.691819149961782,0.25661404837727453
dimension_color,both,sharp,FCD,476,0.21008403361344538,0.24636388816716412,0.2485307024383676,-0.03627985455371876,-0.03844666882492223,0.002166814271203476
dimension_color,both,sharp,FD,476,0.0,0.13070674357276857,0.14108398673547828,-0.13070674357276857,-0.14108398673547828,0.010377243162709736
dimension_color,both,sharp,FDC,476,0.0,0.3641398887462502,0.37583372545714405,-0.3641398887462502,-0.37583372545714405,0.011693836710893833
dimension_color,first,blurred,C,527,0.5692599620493358,1.270949168251819,1.3118536597075636,-0.7016892062024831,-0.7425936976582279,0.04090449145574479
dimension_color,first,blurred,CD,527,0.18975332068311196,0.04728776438647365,0.04941120446590047,0.14246555629663832,0.1403421162172115,-0.0021234400794268183
dimension_color,first,blurred,CDF,527,3.984819734345351,0.769812892623974,0.7731695338668059,3.215006841721377,3.2116502004785454,-0.0033566412428312487
dimension_color,first,blurred,CF,527,8.918406072106261,9.365376496874475,9.718902831265693,-0.44697042476821297,-0.8004967591594303,0.35352633439121733
dimension_color,first,blurred,CFD,527,0.0,0.4056920328938972,0.4088983630550169,-0.4056920328938972,-0.4088983630550169,0.0032063301611197532
dimension_color,first,blurred,D,527,5.88235294117647,2.8729904161088062,3.032739252184546,3.0093625250676643,2.8496136889919246,-0.15974883607573973
dimension_color,first,blurred,DC,527,4.364326375711575,3.0483724301012027,3.139391526023648,1.315953945610372,1.2249348496879267,-0.09101909592244516
dimension_color,first,blurred,DCF,527,30.55028462998102,17.6148714240047,17.293327741007943,12.935413205976321,13.256956888973082,0.32154368299676106
