fixed,updating,partition,level,factor,n,delta_elpd
I-HO,I-UPD-HO,length_observed,1,length,3540,3.4735582307221335
I-HO,I-UPD-HO,length_observed,1,set_given_length,3540,-0.17328362620620613
I-HO,I-UPD-HO,length_observed,1,order_given_set,3540,0.0
I-HO,I-UPD-HO,length_observed,2,response,3927,-29.829475786804352
I-HO,I-UPD-HO,length_observed,2,length,3927,-2.4671643792968077
I-HO,I-UPD-HO,length_observed,2,set_given_length,3927,-27.96651764550058
I-HO,I-UPD-HO,length_observed,2,order_given_set,3927,0.6042062379930311
I-HO,I-UPD-HO,length_observed,3,response,1633,2.736544067680309
I-HO,I-UPD-HO,length_observed,3,length,1633,1.073130274260694
I-HO,I-UPD-HO,length_observed,3,set_given_length,1633,0.0
I-HO,I-UPD-HO,length_observed,3,order_given_set,1633,1.6634137934196196
I-HO,I-UPD-HO,annotation,C,response,1600,-4.187318492028692
I-HO,I-UPD-HO,annotation,C,length,1600,-1.8570512577208413
I-HO,I-UPD-HO,annotation,C,set_given_length,1600,-2.330267234307854
I-HO,I-UPD-HO,annotation,C,order_given_set,1600,0.0
I-HO,I-UPD-HO,annotation,CD,response,11,-0.3199533717116019
I-HO,I-UPD-HO,annotation,CD,length,11,0.038134258487463324
I-HO,I-UPD-HO,annotation,CD,set_given_length,11,-0.10365544787200953
I-HO,I-UPD-HO,annotation,CD,order_given_set,11,-0.25443218232705545
I-HO,I-UPD-HO,annotation,CDF,response,157,-2.781689796252914
I-HO,I-UPD-HO,annotation,CDF,length,157,-0.37042824472936
I-HO,I-UPD-HO,annotation,CDF,set_given_length,157,0.0
I-HO,I-UPD-HO,annotation,CDF,order_given_set,157,-2.4112615515235536
I-HO,I-UPD-HO,annotation,CF,response,2324,-4.815116882570056
I-HO,I-UPD-HO,annotation,CF,length,2324,-2.973324371830493
I-HO,I-UPD-HO,annotation,CF,set_given_length,2324,-1.2224722480770769
I-HO,I-UPD-HO,annotation,CF,order_given_set,2324,-0.6193202626625056
I-HO,I-UPD-HO,annotation,CFD,response,14,0.06410327200488819
I-HO,I-UPD-HO,annotation,CFD,length,14,-0.11618875721281241
I-HO,I-UPD-HO,annotation,CFD,set_given_length,14,0.0
I-HO,I-UPD-HO,annotation,CFD,order_given_set,14,0.18029202921770082
I-HO,I-UPD-HO,annotation,D,response,333,-1.6132642378063355
I-HO,I-UPD-HO,annotation,D,length,333,0.4785891039964193
I-HO,I-UPD-HO,annotation,D,set_given_length,333,-2.0918533418027527
I-HO,I-UPD-HO,annotation,D,order_given_set,333,0.0
I-HO,I-UPD-HO,annotation,DC,response,310,-0.6473225010034986
I-HO,I-UPD-HO,annotation,DC,length,310,0.3375190607637812
I-HO,I-UPD-HO,annotation,DC,set_given_length,310,-1.5792920452486092
I-HO,I-UPD-HO,annotation,DC,order_given_set,310,0.5944504834813401
I-HO,I-UPD-HO,annotation,DCF,response,1271,5.658330838552452
I-HO,I-UPD-HO,annotation,DCF,length,1271,1.361725947437892
I-HO,I-UPD-HO,annotation,DCF,set_given_length,1271,0.0
I-HO,I-UPD-HO,annotation,DCF,order_given_set,1271,4.296604891114564
I-HO,I-UPD-HO,annotation,DF,response,1023,-24.364063231196894
I-HO,I-UPD-HO,annotation,DF,length,1023,0.43969752657119415
I-HO,I-UPD-HO,annotation,DF,set_given_length,1023,-24.780966756780487
I-HO,I-UPD-HO,annotation,DF,order_given_set,1023,-0.022794000987599206
I-HO,I-UPD-HO,annotation,DFC,response,171,-0.18458004083160073
I-HO,I-UPD-HO,annotation,DFC,length,171,0.3140075056761912
I-HO,I-UPD-HO,annotation,DFC,set_given_length,171,0.0
I-HO,I-UPD-HO,annotation,DFC,order_given_set,171,-0.4985875465077929
I-HO,I-UPD-HO,annotation,F,response,1607,9.100857334350962
I-HO,I-UPD-HO,annotation,F,length,1607,4.852020384446556
I-HO,I-UPD-HO,annotation,F,set_given_length,1607,4.248836949904401
I-HO,I-UPD-HO,annotation,F,order_given_set,1607,0.0
I-HO,I-UPD-HO,annotation,FC,response,248,0.6220514857682538
I-HO,I-UPD-HO,annotation,FC,length,248,-0.32494382664532695
I-HO,I-UPD-HO,annotation,FC,set_given_length,248,-0.01067137851708741
I-HO,I-UPD-HO,annotation,FC,order_given_set,248,0.9576666909306729
I-HO,I-UPD-HO,annotation,FCD,response,7,0.03868992342915423
I-HO,I-UPD-HO,annotation,FCD,length,7,-0.04436602849665028
I-HO,I-UPD-HO,annotation,FCD,set_given_length,7,0.0
I-HO,I-UPD-HO,annotation,FCD,order_given_set,7,0.08305595192580784
I-HO,I-UPD-HO,annotation,FD,response,11,-0.30507128609055423
I-HO,I-UPD-HO,annotation,FD,length,11,0.015752973356573552
I-HO,I-UPD-HO,annotation,FD,set_given_length,11,-0.2694597690053077
I-HO,I-UPD-HO,annotation,FD,order_given_set,11,-0.051364490441821786
I-HO,I-UPD-HO,annotation,FDC,response,13,-0.05831012922167034
I-HO,I-UPD-HO,annotation,FDC,length,13,-0.07162014841456621
I-HO,I-UPD-HO,annotation,FDC,set_given_length,13,0.0
I-HO,I-UPD-HO,annotation,FDC,order_given_set,13,0.013310019192893652
K-HO,K-UPD-HO,combination,color_form,response,3051,21.624368808795428
K-HO,K-UPD-HO,combination,color_form,length,3051,17.372274660747387
K-HO,K-UPD-HO,combination,color_form,set_given_length,3051,5.250031248258081
K-HO,K-UPD-HO,combination,color_form,order_given_set,3051,-0.9979371002100645
K-HO,K-UPD-HO,combination,dimension_color,response,3034,-25.175779047066687
K-HO,K-UPD-HO,combination,dimension_color,length,3034,-10.727278314636557
K-HO,K-UPD-HO,combination,dimension_color,set_given_length,3034,-11.381102524159974
K-HO,K-UPD-HO,combination,dimension_color,order_given_set,3034,-3.0673982082701543
K-HO,K-UPD-HO,combination,dimension_form,response,3015,-58.1315058961953
K-HO,K-UPD-HO,combination,dimension_form,length,3015,-25.442849959844725
K-HO,K-UPD-HO,combination,dimension_form,set_given_length,3015,-34.320358244170855
