relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.01439929328621908,0.00530035335689046,0.02566254416961127,both | blurred
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.006241620047158907,0.0019880715705765406,0.013916500994035786,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.07454075546719682,0.05168986083499006,0.10044731610337967,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.167272365805169,0.13320079522862824,0.20780318091451289,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.017399602385685886,0.005964214711729622,0.02982107355864811,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.06507753479125249,0.0437375745526839,0.09343936381709742,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.0036146755828664373,0.0019880715705765406,0.007952286282306162,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.004750300043059615,0.0019880715705765406,0.011928429423459244,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.03339165009940358,0.017892644135188866,0.05168986083499006,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.003843276971832372,0.0019880715705765406,0.007952286282306162,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.10315523465703971,0.07581227436823104,0.1299638989169675,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.059083032490974734,0.03790613718411552,0.0812274368231047,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.19450541516245487,0.16064981949458484,0.2328519855595668,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.38229241877256315,0.3374548736462094,0.4332129963898917,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.046675090252707586,0.030685920577617327,0.06592960288808661,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.01992057761732852,0.010830324909747292,0.032490974729241874,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.0030171690034421967,0.0018050541516245488,0.007220216606498195,first | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.02776173285198556,0.013492779783393504,0.04332129963898917,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.07315523465703971,0.05054151624548736,0.09566787003610108,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.007216547797246925,0.0018050541516245488,0.01444043321299639,first | blurred
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554,0.050924187725631766,0.032490974729241874,0.06859205776173286,first | blurred
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554,0.005977148386616547,0.0018050541516245488,0.01263537906137184,first | blurred
