relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_f2,d_v1,d_f2
first,sharp,10,51.0,502.0,0.10159362549800798,F,0.014452191235059761,0.12026892430278885,-0.08714143426294821,0.018675298804780874
first,sharp,11,1.0,502.0,0.00199203187250996,FD,0.015255560671885323,0.008568740114917216,0.013263528799375363,0.006576708242407256
first,sharp,12,0.0,0.0,0.0,FDC,0.01840637450199203,0.020488047808764943,0.01840637450199203,0.020488047808764943
first,sharp,13,5.0,502.0,0.0099601593625498,FC,0.02049800796812749,0.008140905764696317,0.01053784860557769,-0.0018192535978534836
first,sharp,14,0.0,0.0,0.0,FCD,0.01495019920318725,0.008276173655891896,0.01495019920318725,0.008276173655891896
second,blurred,0,0.0,0.0,0.0,D,0.0191358024691358,0.013024691358024691,0.0191358024691358,0.013024691358024691
second,blurred,1,0.0,0.0,0.0,DC,0.04829805996472663,0.0104673721340388,0.04829805996472663,0.0104673721340388
second,blurred,2,15.0,567.0,0.026455026455026454,DCF,0.04397707231040564,0.015811287477954142,0.017522045855379184,-0.010643738977072312
second,blurred,3,0.0,0.0,0.0,DF,0.015731922398589063,0.009450768710027969,0.015731922398589063,0.009450768710027969
second,blurred,4,8.0,567.0,0.014109347442680775,DFC,0.01591710758377425,0.0070365848143625915,0.0018077601410934757,-0.007072762628318184
second,blurred,5,356.0,567.0,0.6278659611992945,C,0.4024691358024691,0.5942592592592593,-0.22539682539682537,-0.03360670194003523
second,blurred,6,0.0,0.0,0.0,CD,0.015846560846560845,0.007909234713358426,0.015846560846560845,0.007909234713358426
second,blurred,7,3.0,567.0,0.005291005291005291,CDF,0.10564373897707231,0.010449735449735448,0.10035273368606702,0.005158730158730158
second,blurred,8,149.0,567.0,0.26278659611992944,CF,0.23803350970017637,0.2792680776014109,-0.024753086419753073,0.016481481481481486
second,blurred,9,0.0,0.0,0.0,CFD,0.018738977072310405,0.009285714285714284,0.018738977072310405,0.009285714285714284
second,blurred,10,25.0,567.0,0.04409171075837742,F,0.015229276895943562,0.016375661375661373,-0.02886243386243386,-0.02771604938271605
second,blurred,11,0.0,0.0,0.0,FD,0.014867724867724868,0.007260584248739917,0.014867724867724868,0.007260584248739917
second,blurred,12,0.0,0.0,0.0,FDC,0.015149911816578482,0.006756206756206756,0.015149911816578482,0.006756206756206756
second,blurred,13,11.0,567.0,0.019400352733686066,FC,0.01649911816578483,0.00690996246551802,-0.0029012345679012355,-0.012490390268168046
second,blurred,14,0.0,0.0,0.0,FCD,0.014462081128747795,0.006864740198073531,0.014462081128747795,0.006864740198073531
second,sharp,0,0.0,0.0,0.0,D,0.019484126984126982,0.01546626984126984,0.019484126984126982,0.01546626984126984
second,sharp,1,1.0,504.0,0.001984126984126984,DC,0.04642857142857142,0.00992063492063492,0.04444444444444444,0.007936507936507936
second,sharp,2,1.0,504.0,0.001984126984126984,DCF,0.041696428571428565,0.011166945840312675,0.03971230158730158,0.00918281885618569
second,sharp,3,0.0,0.0,0.0,DF,0.01478174603174603,0.008594509232264335,0.01478174603174603,0.008594509232264335
second,sharp,4,3.0,504.0,0.005952380952380952,DFC,0.01595238095238095,0.007319680894810427,0.009999999999999998,0.0013672999424294754
second,sharp,5,361.0,504.0,0.7162698412698413,C,0.4033035714285715,0.6939781746031746,-0.3129662698412698,-0.02229166666666671
second,sharp,6,0.0,0.0,0.0,CD,0.014613095238095238,0.007673307418205377,0.014613095238095238,0.007673307418205377
second,sharp,7,2.0,504.0,0.003968253968253968,CDF,0.10792658730158729,0.00912496978486826,0.10395833333333332,0.005156715816614293
second,sharp,8,116.0,504.0,0.23015873015873015,CF,0.23963293650793652,0.18432539682539684,0.009474206349206371,-0.04583333333333331
second,sharp,9,0.0,0.0,0.0,CFD,0.01907738095238095,0.008158085569253081,0.01907738095238095,0.008158085569253081
second,sharp,10,10.0,504.0,0.01984126984126984,F,0.015376984126984126,0.016805555555555553,-0.004464285714285714,-0.0030357142857142874
second,sharp,11,0.0,0.0,0.0,FD,0.014067460317460317,0.007251268204876452,0.014067460317460317,0.007251268204876452
second,sharp,12,0.0,0.0,0.0,FDC,0.015396825396825395,0.007404680085092456,0.015396825396825395,0.007404680085092456
second,sharp,13,10.0,504.0,0.01984126984126984,FC,0.016765873015873015,0.007309400444115469,-0.003075396825396825,-0.012531869397154371
second,sharp,14,0.0,0.0,0.0,FCD,0.015496031746031744,0.007326007326007325,0.015496031746031744,0.007326007326007325
