relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,sharp,12,0.0,0.0,0.0,FDC,0.014801192842942346,0.01264132377452457,0.014801192842942346,0.01264132377452457
both,sharp,13,11.0,503.0,0.02186878727634195,FC,0.01614314115308151,0.024781312127236582,-0.005725646123260441,0.002912524850894632
both,sharp,14,1.0,503.0,0.0019880715705765406,FCD,0.014542743538767396,0.012120172366814343,0.012554671968190855,0.010132100796237803
first,blurred,0,31.0,554.0,0.05595667870036101,D,0.19459386281588448,0.1878971119133574,0.13863718411552348,0.1319404332129964
first,blurred,1,24.0,554.0,0.04332129963898917,DC,0.17932310469314078,0.1896028880866426,0.1360018050541516,0.14628158844765343
first,blurred,2,166.0,554.0,0.2996389891696751,DCF,0.1525451263537906,0.124485559566787,-0.14709386281588446,-0.17515342960288807
first,blurred,3,202.0,554.0,0.36462093862815886,DF,0.08105595667870036,0.10976534296028881,-0.2835649819494585,-0.2548555956678701
first,blurred,4,18.0,554.0,0.032490974729241874,DFC,0.18733754512635378,0.15580324909747292,0.15484657039711192,0.12331227436823106
first,blurred,5,3.0,554.0,0.005415162454873646,C,0.03595667870036101,0.04062274368231047,0.030541516245487364,0.03520758122743682
first,blurred,6,1.0,554.0,0.0018050541516245488,CD,0.015342960288808665,0.012256317689530685,0.013537906137184117,0.010451263537906137
first,blurred,7,22.0,554.0,0.039711191335740074,CDF,0.01546028880866426,0.01197322351831359,-0.024250902527075815,-0.027737967817426483
first,blurred,8,48.0,554.0,0.08664259927797834,CF,0.038528880866425995,0.0538086642599278,-0.04811371841155234,-0.032833935018050535
first,blurred,9,0.0,0.0,0.0,CFD,0.015568592057761732,0.012906137184115523,0.015568592057761732,0.012906137184115523
first,blurred,10,21.0,554.0,0.03790613718411552,F,0.014485559566787003,0.013041516245487363,-0.02342057761732852,-0.02486462093862816
first,blurred,11,5.0,554.0,0.009025270758122744,FD,0.015072202166064981,0.012227200986883877,0.0060469314079422375,0.0032019302287611337
first,blurred,12,2.0,554.0,0.0036101083032490976,FDC,0.01743682310469314,0.022184115523465706,0.013826714801444043,0.01857400722021661
first,blurred,13,9.0,554.0,0.016245487364620937,FC,0.02220216606498195,0.04084837545126354,0.005956678700361012,0.024602888086642603
first,blurred,14,2.0,554.0,0.0036101083032490976,FCD,0.015090252707581226,0.012698555956678702,0.011480144404332128,0.009088447653429605
first,sharp,0,135.0,502.0,0.2689243027888446,D,0.21360557768924301,0.19643426294820718,-0.05531872509960159,-0.07249003984063743
first,sharp,1,23.0,502.0,0.045816733067729085,DC,0.1552788844621514,0.1843824701195219,0.10946215139442232,0.13856573705179281
first,sharp,2,103.0,502.0,0.2051792828685259,DCF,0.13612549800796814,0.12122509960159362,-0.06905378486055777,-0.08395418326693228
first,sharp,3,116.0,502.0,0.23107569721115537,DF,0.09018924302788844,0.11830677290836654,-0.14088645418326692,-0.11276892430278883
first,sharp,4,11.0,502.0,0.021912350597609563,DFC,0.20806772908366533,0.16427290836653388,0.18615537848605576,0.1423605577689243
first,sharp,5,0.0,0.0,0.0,C,0.03325697211155378,0.036334661354581674,0.03325697211155378,0.036334661354581674
first,sharp,6,0.0,0.0,0.0,CD,0.014770916334661354,0.011782017658011172,0.014770916334661354,0.011782017658011172
first,sharp,7,9.0,502.0,0.017928286852589643,CDF,0.015268924302788844,0.012522773228693267,-0.002659362549800799,-0.005405513623896376
first,sharp,8,47.0,502.0,0.09362549800796813,CF,0.034760956175298806,0.04609561752988048,-0.05886454183266932,-0.04752988047808765
