relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_c1,d_v1,d_c1
first,sharp,9,1.0,502.0,0.00199203187250996,CFD,0.015189243027888447,0.007714041792015611,0.013197211155378486,0.0057220099195056506
first,sharp,10,51.0,502.0,0.10159362549800798,F,0.014452191235059761,0.09998007968127491,-0.08714143426294821,-0.001613545816733064
first,sharp,11,1.0,502.0,0.00199203187250996,FD,0.015255560671885323,0.00885234571916416,0.013263528799375363,0.0068603138466542
first,sharp,12,0.0,0.0,0.0,FDC,0.01840637450199203,0.024840637450199203,0.01840637450199203,0.024840637450199203
first,sharp,13,5.0,502.0,0.0099601593625498,FC,0.02049800796812749,0.008300132802124834,0.01053784860557769,-0.001660026560424967
first,sharp,14,0.0,0.0,0.0,FCD,0.01495019920318725,0.008791365151638345,0.01495019920318725,0.008791365151638345
second,blurred,0,0.0,0.0,0.0,D,0.0191358024691358,0.014382716049382715,0.0191358024691358,0.014382716049382715
second,blurred,1,0.0,0.0,0.0,DC,0.04829805996472663,0.010352733686067019,0.04829805996472663,0.010352733686067019
second,blurred,2,15.0,567.0,0.026455026455026454,DCF,0.04397707231040564,0.013271604938271604,0.017522045855379184,-0.01318342151675485
second,blurred,3,0.0,0.0,0.0,DF,0.015731922398589063,0.009075359159111252,0.015731922398589063,0.009075359159111252
second,blurred,4,8.0,567.0,0.014109347442680775,DFC,0.01591710758377425,0.007063718174829286,0.0018077601410934757,-0.0070456292678514896
second,blurred,5,356.0,567.0,0.6278659611992945,C,0.4024691358024691,0.6418165784832452,-0.22539682539682537,0.01395061728395075
second,blurred,6,0.0,0.0,0.0,CD,0.015846560846560845,0.007678192863378049,0.015846560846560845,0.007678192863378049
second,blurred,7,3.0,567.0,0.005291005291005291,CDF,0.10564373897707231,0.009199436335114728,0.10035273368606702,0.003908431044109437
second,blurred,8,149.0,567.0,0.26278659611992944,CF,0.23803350970017637,0.23400352733686067,-0.024753086419753073,-0.02878306878306877
second,blurred,9,0.0,0.0,0.0,CFD,0.018738977072310405,0.00828658282594631,0.018738977072310405,0.00828658282594631
second,blurred,10,25.0,567.0,0.04409171075837742,F,0.015229276895943562,0.018218694885361552,-0.02886243386243386,-0.02587301587301587
second,blurred,11,0.0,0.0,0.0,FD,0.014867724867724868,0.007144200037601053,0.014867724867724868,0.007144200037601053
second,blurred,12,0.0,0.0,0.0,FDC,0.015149911816578482,0.006847712630025555,0.015149911816578482,0.006847712630025555
second,blurred,13,11.0,567.0,0.019400352733686066,FC,0.01649911816578483,0.006891034382443317,-0.0029012345679012355,-0.012509318351242749
second,blurred,14,0.0,0.0,0.0,FCD,0.014462081128747795,0.006774295663184551,0.014462081128747795,0.006774295663184551
second,sharp,0,0.0,0.0,0.0,D,0.019484126984126982,0.013958682300390842,0.019484126984126982,0.013958682300390842
second,sharp,1,1.0,504.0,0.001984126984126984,DC,0.04642857142857142,0.010321468654801987,0.04444444444444444,0.008337341670675003
second,sharp,2,1.0,504.0,0.001984126984126984,DCF,0.041696428571428565,0.012569444444444444,0.03971230158730158,0.01058531746031746
second,sharp,3,0.0,0.0,0.0,DF,0.01478174603174603,0.008635001619695498,0.01478174603174603,0.008635001619695498
second,sharp,4,3.0,504.0,0.005952380952380952,DFC,0.01595238095238095,0.007346357346357347,0.009999999999999998,0.0013939763939763948
