relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,sharp,10,42.0,503.0,0.08349900596421471,F,0.015039761431411532,0.014995454409223053,-0.06845924453280318,-0.06850355155499166
both,sharp,4,15.0,503.0,0.02982107355864811,DFC,0.01985089463220676,0.01992047713717694,-0.00997017892644135,-0.009900596421471172
both,sharp,7,14.0,503.0,0.027833001988071572,CDF,0.02618290258449304,0.02801192842942346,-0.0016500994035785303,0.00017892644135188845
both,sharp,13,11.0,503.0,0.02186878727634195,FC,0.01614314115308151,0.016163021868787278,-0.005725646123260441,-0.005705765407554672
both,sharp,6,6.0,503.0,0.011928429423459244,CD,0.015019880715705765,0.014880715705765409,0.0030914512922465207,0.0029522862823061647
both,sharp,9,2.0,503.0,0.003976143141153081,CFD,0.016928429423459245,0.017176938369781312,0.012952286282306165,0.013200795228628232
both,sharp,14,1.0,503.0,0.0019880715705765406,FCD,0.014542743538767396,0.014284294234592446,0.012554671968190855,0.012296222664015906
both,sharp,0,0.0,0.0,0.0,D,0.04301192842942345,0.043846918489065606,0.04301192842942345,0.043846918489065606
both,sharp,5,0.0,0.0,0.0,C,0.17481113320079522,0.1701590457256461,0.17481113320079522,0.1701590457256461
both,sharp,11,0.0,0.0,0.0,FD,0.015328031809145128,0.014821073558648111,0.015328031809145128,0.014821073558648111
both,sharp,12,0.0,0.0,0.0,FDC,0.014801192842942346,0.014811133200795228,0.014801192842942346,0.014811133200795228
first,blurred,3,202.0,554.0,0.36462093862815886,DF,0.08105595667870036,0.09657942238267149,-0.2835649819494585,-0.2680415162454874
first,blurred,2,166.0,554.0,0.2996389891696751,DCF,0.1525451263537906,0.13770758122743681,-0.14709386281588446,-0.16193140794223826
first,blurred,8,48.0,554.0,0.08664259927797834,CF,0.038528880866425995,0.04110108303249097,-0.04811371841155234,-0.045541516245487364
first,blurred,0,31.0,554.0,0.05595667870036101,D,0.19459386281588448,0.19228339350180504,0.13863718411552348,0.13632671480144404
first,blurred,1,24.0,554.0,0.04332129963898917,DC,0.17932310469314078,0.1885198555956679,0.1360018050541516,0.14519855595667872
first,blurred,7,22.0,554.0,0.039711191335740074,CDF,0.01546028880866426,0.014918772563176894,-0.024250902527075815,-0.02479241877256318
first,blurred,10,21.0,554.0,0.03790613718411552,F,0.014485559566787003,0.014368231046931407,-0.02342057761732852,-0.023537906137184116
first,blurred,4,18.0,554.0,0.032490974729241874,DFC,0.18733754512635378,0.17838447653429604,0.15484657039711192,0.14589350180505417
first,blurred,13,9.0,554.0,0.016245487364620937,FC,0.02220216606498195,0.023465703971119134,0.005956678700361012,0.007220216606498197
first,blurred,11,5.0,554.0,0.009025270758122744,FD,0.015072202166064981,0.015018050541516247,0.0060469314079422375,0.005992779783393503
first,blurred,5,3.0,554.0,0.005415162454873646,C,0.03595667870036101,0.0352797833935018,0.030541516245487364,0.029864620938628156
first,blurred,12,2.0,554.0,0.0036101083032490976,FDC,0.01743682310469314,0.017761732851985557,0.013826714801444043,0.01415162454873646
first,blurred,14,2.0,554.0,0.0036101083032490976,FCD,0.015090252707581226,0.014855595667870036,0.011480144404332128,0.01124548736462094
first,blurred,6,1.0,554.0,0.0018050541516245488,CD,0.015342960288808665,0.014620938628158844,0.013537906137184117,0.012815884476534296
first,blurred,9,0.0,0.0,0.0,CFD,0.015568592057761732,0.01513537906137184,0.015568592057761732,0.01513537906137184
first,sharp,0,135.0,502.0,0.2689243027888446,D,0.21360557768924301,0.21088645418326693,-0.05531872509960159,-0.058037848605577674
first,sharp,3,116.0,502.0,0.23107569721115537,DF,0.09018924302788844,0.10871513944223107,-0.14088645418326692,-0.1223605577689243
first,sharp,2,103.0,502.0,0.2051792828685259,DCF,0.13612549800796814,0.11997011952191235,-0.06905378486055777,-0.08520916334661356
first,sharp,10,51.0,502.0,0.10159362549800798,F,0.014452191235059761,0.014735029730324931,-0.08714143426294821,-0.08685859576768304
first,sharp,8,47.0,502.0,0.09362549800796813,CF,0.034760956175298806,0.03741035856573705,-0.05886454183266932,-0.056215139442231075
first,sharp,1,23.0,502.0,0.045816733067729085,DC,0.1552788844621514,0.1634462151394422,0.10946215139442232,0.11762948207171313
first,sharp,4,11.0,502.0,0.021912350597609563,DFC,0.20806772908366533,0.19960159362549804,0.18615537848605576,0.17768924302788847
first,sharp,7,9.0,502.0,0.017928286852589643,CDF,0.015268924302788844,0.014651394422310757,-0.002659362549800799,-0.0032768924302788854
first,sharp,13,5.0,502.0,0.0099601593625498,FC,0.02049800796812749,0.021603585657370517,0.01053784860557769,0.011643426294820717
first,sharp,9,1.0,502.0,0.00199203187250996,CFD,0.015189243027888447,0.014681274900398406,0.013197211155378486,0.012689243027888446
first,sharp,11,1.0,502.0,0.00199203187250996,FD,0.015255560671885323,0.014691235059760957,0.013263528799375363,0.012699203187250997
first,sharp,5,0.0,0.0,0.0,C,0.03325697211155378,0.030996015936254978,0.03325697211155378,0.030996015936254978
first,sharp,6,0.0,0.0,0.0,CD,0.014770916334661354,0.015258964143426295,0.014770916334661354,0.015258964143426295
first,sharp,12,0.0,0.0,0.0,FDC,0.01840637450199203,0.018884462151394422,0.01840637450199203,0.018884462151394422
first,sharp,14,0.0,0.0,0.0,FCD,0.01495019920318725,0.01454183266932271,0.01495019920318725,0.01454183266932271
second,blurred,5,356.0,567.0,0.6278659611992945,C,0.4024691358024691,0.3815873015873016,-0.22539682539682537,-0.2462786596119929
