relevant_property,sharpness,annotation_seq_flat,n,nt,emp_prop,utt,p_v1,p_v5,d_v1,d_v5
both,sharp,11,0.0,0.0,0.0,FD,0.015328031809145128,0.010874751491053679,0.015328031809145128,0.010874751491053679
both,sharp,12,0.0,0.0,0.0,FDC,0.014801192842942346,0.012485089463220675,0.014801192842942346,0.012485089463220675
both,sharp,13,11.0,503.0,0.02186878727634195,FC,0.01614314115308151,0.031163021868787277,-0.005725646123260441,0.009294234592445327
both,sharp,14,1.0,503.0,0.0019880715705765406,FCD,0.014542743538767396,0.012407964274653585,0.012554671968190855,0.010419892704077045
first,blurred,0,31.0,554.0,0.05595667870036101,D,0.19459386281588448,0.07649819494584838,0.13863718411552348,0.02054151624548737
first,blurred,1,24.0,554.0,0.04332129963898917,DC,0.17932310469314078,0.19067689530685922,0.1360018050541516,0.14735559566787004
first,blurred,2,166.0,554.0,0.2996389891696751,DCF,0.1525451263537906,0.14625451263537906,-0.14709386281588446,-0.15338447653429602
first,blurred,3,202.0,554.0,0.36462093862815886,DF,0.08105595667870036,0.15058664259927798,-0.2835649819494585,-0.21403429602888088
first,blurred,4,18.0,554.0,0.032490974729241874,DFC,0.18733754512635378,0.19353790613718413,0.15484657039711192,0.16104693140794227
first,blurred,5,3.0,554.0,0.005415162454873646,C,0.03595667870036101,0.02443140794223827,0.030541516245487364,0.019016245487364622
first,blurred,6,1.0,554.0,0.0018050541516245488,CD,0.015342960288808665,0.010505415162454875,0.013537906137184117,0.008700361010830326
first,blurred,7,22.0,554.0,0.039711191335740074,CDF,0.01546028880866426,0.010875451263537905,-0.024250902527075815,-0.02883574007220217
first,blurred,8,48.0,554.0,0.08664259927797834,CF,0.038528880866425995,0.07216606498194947,-0.04811371841155234,-0.014476534296028867
first,blurred,9,0.0,0.0,0.0,CFD,0.015568592057761732,0.01684115523465704,0.015568592057761732,0.01684115523465704
first,blurred,10,21.0,554.0,0.03790613718411552,F,0.014485559566787003,0.011958483754512634,-0.02342057761732852,-0.02594765342960289
first,blurred,11,5.0,554.0,0.009025270758122744,FD,0.015072202166064981,0.010630771184442065,0.0060469314079422375,0.0016055004263193211
first,blurred,12,2.0,554.0,0.0036101083032490976,FDC,0.01743682310469314,0.03226534296028881,0.013826714801444043,0.028655234657039712
first,blurred,13,9.0,554.0,0.016245487364620937,FC,0.02220216606498195,0.0396028880866426,0.005956678700361012,0.02335740072202166
first,blurred,14,2.0,554.0,0.0036101083032490976,FCD,0.015090252707581226,0.013222021660649818,0.011480144404332128,0.00961191335740072
