condition,annotation,probs_exp,se_exp,conditions,annotation,mean_probs_model,se_model
color_relevant_blurred,5,0.6286825396825396,0.019750931398570776,color_relevant_blurred,5,0.13320458553791886,0.0007834154451014126
color_relevant_blurred,6,0.0,0.0,color_relevant_blurred,6,0.01768258558382015,0.00029526226997344233
color_relevant_blurred,7,0.0052398589065255725,0.0029544257414478433,color_relevant_blurred,7,0.09945149911816578,0.0005604100373393714
color_relevant_blurred,8,0.2629259259259259,0.01839403520414338,color_relevant_blurred,8,0.06646560846560846,0.00038620454877645626
color_relevant_blurred,9,0.0,0.0,color_relevant_blurred,9,0.01788787880396038,0.00028683675803930456
color_relevant_blurred,10,0.044063492063492055,0.008702902957827987,color_relevant_blurred,10,0.08445855379188713,0.0005407692413244003
color_relevant_blurred,11,0.0,0.0,color_relevant_blurred,11,0.06307760141093474,0.00047604227110916895
color_relevant_blurred,12,0.0,0.0,color_relevant_blurred,12,0.01817853424279127,0.00030050075779413
color_relevant_blurred,13,0.01947442680776014,0.005670197020688701,color_relevant_blurred,13,0.012660683363676973,0.00026514200124523883
color_relevant_blurred,14,0.0,0.0,color_relevant_blurred,14,0.017892672213659866,0.0002974972345548598
color_relevant_sharp,0,0.0,0.0,color_relevant_sharp,0,0.12208730158730158,0.0008400340584319481
color_relevant_sharp,1,0.001984126984126984,0.00197816564771659,color_relevant_sharp,1,0.09147222222222222,0.00044606306968144964
color_relevant_sharp,2,0.001954365079365079,0.0019829113339422523,color_relevant_sharp,2,0.09846031746031746,0.0005410630503065911
color_relevant_sharp,3,0.0,0.0,color_relevant_sharp,3,0.061658730158730156,0.0004953429763667963
color_relevant_sharp,4,0.0060476190476190465,0.003584464744302754,color_relevant_sharp,4,0.09802777777777777,0.0005313122744867149
color_relevant_sharp,5,0.7170456349206349,0.019866860382051044,color_relevant_sharp,5,0.13025,0.00075539138255092
color_relevant_sharp,6,0.0,0.0,color_relevant_sharp,6,0.01744876330719704,0.0002960858648515719
color_relevant_sharp,7,0.003974206349206349,0.0028122793578243517,color_relevant_sharp,7,0.09998015873015874,0.0005525908189854259
color_relevant_sharp,8,0.22902579365079367,0.018526366333622705,color_relevant_sharp,8,0.0666329365079365,0.00043041458251503214
color_relevant_sharp,9,0.0,0.0,color_relevant_sharp,9,0.018309348505131638,0.000310022659180879
color_relevant_sharp,10,0.019922619047619043,0.00616974774156184,color_relevant_sharp,10,0.08391666666666667,0.0005638703470092787
color_relevant_sharp,11,0.0,0.0,color_relevant_sharp,11,0.06363095238095239,0.00047590364472616114
color_relevant_sharp,12,0.0,0.0,color_relevant_sharp,12,0.017759725800807966,0.0002949278877623927
color_relevant_sharp,13,0.019513888888888886,0.006190277456618717,color_relevant_sharp,13,0.012579648815603871,0.00025205613879752427
color_relevant_sharp,14,0.0,0.0,color_relevant_sharp,14,0.0182281746031746,0.0003021821242677255
size_relevant_blurred,0,0.05557942238267148,0.009890530478822853,size_relevant_blurred,0,0.14025451263537905,0.0007996080883942182
size_relevant_blurred,1,0.04312815884476534,0.008757685048035906,size_relevant_blurred,1,0.09344404332129964,0.00042080812281040383
size_relevant_blurred,2,0.29990974729241876,0.019348420834370484,size_relevant_blurred,2,0.09533935018050542,0.0004367612787923099
size_relevant_blurred,3,0.3643916967509025,0.02026657625048911,size_relevant_blurred,3,0.069,0.000364816456550089
