candidate,baseline,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,utterance_rmse_gain,category_rmse_gain,target_abs_residual_reduction_mean,target_worst_abs_residual_harm,target_harm_ok,forward_gate_pass,rank_score,recommended_for_gpu_pilot,utterance_rmse_gate,category_rmse_gate,target_residual_gate,max_target_harm
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,1.0,0.0,0.01292284395386667,0.008289618695605506,0.10048821628075895,0.034680530428886414,True,True,0.12170067893023112,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,1.0,0.0,0.012927888490907272,0.008282194720819865,0.10046106981095729,0.03470710664987564,True,True,0.12167115302268443,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,3.0,0.0,2.0,0.016012937174724226,0.025464894446144103,0.07587816815281892,0.520617414265871,False,False,0.11735599977368724,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,3.0,0.0,2.0,0.015981740678129727,0.025436884564179217,0.075844590341846,0.5206122994422913,False,False,0.11726321558415495,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.0,0.0,0.0,0.019113561096223794,0.04233613714523174,0.04933276403747906,0.08550715819001198,False,False,0.1107824622789346,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,0.0,0.0,0.01910716175770609,0.04232363571287092,0.049326449111629624,0.08550544083118439,False,False,0.11075724658220663,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,3.0,0.008427166805237654,0.004348050122487276,0.09315209934860849,0.07668860694245686,False,False,0.10592731627633342,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,3.0,0.008418475567957176,0.004343604409547536,0.09314684750419491,0.07668865397424687,False,False,0.10590892748169962,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.5,0.0,0.5,0.01526740057788925,0.03233810972297175,0.05819333490457327,0.03815571591258049,True,True,0.10579884520543427,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.5,0.0,0.5,0.015268902159425626,0.03233594416561322,0.058192830686531374,0.03815480321645737,True,True,0.10579767701157022,False,0.005,0.02,0.03,0.05
