model,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.5,2.0,utterance_cells,overall,270,0.0399994695582403,0.07324168441895297,0.35203622995683204
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.5,3.0,utterance_cells,overall,270,0.04001564202084873,0.07317431381614137,0.37753479548881447
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,2.0,0.0,utterance_cells,overall,270,0.04066753449631417,0.07492072590353968,0.33822304294504824
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,2.0,0.5,utterance_cells,overall,270,0.040425822732670647,0.07454832692334121,0.34285082834263914
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,2.0,1.0,utterance_cells,overall,270,0.04027567227052867,0.07438951399899885,0.35128531099947885
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,2.0,1.5,utterance_cells,overall,270,0.0402097110231138,0.07432015081938094,0.3620824232428444
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,2.0,2.0,utterance_cells,overall,270,0.040193206184414985,0.07428853749236916,0.3743330394471345
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,2.0,3.0,utterance_cells,overall,270,0.04024572257838448,0.07426560037879122,0.4011551199542701
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,3.0,0.0,utterance_cells,overall,270,0.04162164124365287,0.07634774503464471,0.3968743057733132
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,3.0,0.5,utterance_cells,overall,270,0.0415513688665824,0.07630804469139515,0.4075541861845775
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,3.0,1.0,utterance_cells,overall,270,0.041533578001944106,0.07629509460448675,0.41973298623428124
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,3.0,1.5,utterance_cells,overall,270,0.04156036326827468,0.07629146369598991,0.4328290745891737
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,3.0,2.0,utterance_cells,overall,270,0.04158830682814398,0.07629084569602274,0.4464845660137039
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,3.0,3.0,utterance_cells,overall,270,0.04162177434790145,0.07629140775025844,0.4746832878246105
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.5,0.0,0.0,utterance_cells,overall,270,0.046839520484416516,0.08698693848885973,0.4303114633675562
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.5,0.0,0.5,utterance_cells,overall,270,0.045216259856026376,0.08146645121804301,0.3986749304757478
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.5,0.0,1.0,utterance_cells,overall,270,0.04419980319028445,0.07861786045551337,0.38312589228735094
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.5,0.0,1.5,utterance_cells,overall,270,0.04362080545434733,0.07725358486760875,0.3785183159102862
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.5,0.0,2.0,utterance_cells,overall,270,0.043241351391388905,0.07662112445187148,0.38107441475724046
