model,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,n_cells,mae,rmse
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.5,1.0,90,0.02171130029895393,0.038217282468497815
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.5,1.5,90,0.02268481863168721,0.04140617423601798
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.5,2.0,90,0.02343030433516368,0.04395816575500282
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.5,2.5,90,0.023912955670842485,0.04575603772649485
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.0,0.0,90,0.022199156343941595,0.040068887555281346
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.0,0.5,90,0.02288706376245024,0.04360625793135133
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.0,1.0,90,0.023864238097744232,0.04756116319832451
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.0,1.5,90,0.024560879379623198,0.050790812721734926
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.0,2.0,90,0.025031855942265643,0.05309690134181144
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.0,2.5,90,0.02533204106332546,0.054633718516846036
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.5,0.0,90,0.024068769419858492,0.04943427286427682
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.5,0.5,90,0.025271053830784866,0.054207576566391566
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.5,1.0,90,0.026113363125336984,0.05812669729862738
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.5,1.5,90,0.02667228505701382,0.060943590627786426
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.5,2.0,90,0.02703112218975787,0.0628303261865898
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,2.5,2.5,90,0.027256616004048335,0.06404432990411814
