variant,baseline,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,condition_rmse,baseline_condition_rmse,condition_rmse_delta,first_sharp_DF_abs_residual,first_sharp_DF_baseline_abs_residual,first_sharp_DF_abs_residual_reduction,first_sharp_D_abs_residual,first_sharp_D_baseline_abs_residual,first_sharp_D_abs_residual_reduction,second_sharp_CF_abs_residual,second_sharp_CF_baseline_abs_residual,second_sharp_CF_abs_residual_worsening,full_inference_gate,gate_reason,rank_score,recommended_for_gpu_pilot,first_sharp_df_gate,first_sharp_d_gate,second_sharp_cf_max_worsening,max_condition_rmse_delta
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,1.0,1.5,0.03563278678364481,0.042275373226354454,-0.006642586442709646,0.11158665149582771,0.2156961331092029,0.1041094816133752,0.09497722842436368,0.1558385038696437,0.06086127544528003,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.16497075705865522,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,1.5,0.035632962374244355,0.042117203349869105,-0.00648424097562475,0.11239410296451731,0.2135669657908588,0.10117286282634148,0.09451658659290008,0.15574414971696426,0.06122756312406419,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.16240042595040566,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,2.0,0.039525369483664634,0.042275373226354454,-0.0027500037426898202,0.13070722949335273,0.2156961331092029,0.08498890361585018,0.08361007776249615,0.1558385038696437,0.07222842610714755,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.15721732972299773,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,2.0,0.03962807697618952,0.042117203349869105,-0.0024891263736795816,0.13146563294716573,0.2135669657908588,0.08210133284369306,0.08399936234499006,0.15574414971696426,0.0717447873719742,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.15384612021566726,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,1.0,2.0,0.0381927143751622,0.042275373226354454,-0.0040826588511922515,0.15486962638278842,0.2156961331092029,0.060826506726414487,0.11308626222882989,0.1558385038696437,0.042752241640813815,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.1035787483672283,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,2.0,0.038191590587815905,0.042117203349869105,-0.0039256127620532,0.15540847676860986,0.2135669657908588,0.05815848902224893,0.11247768261611485,0.15574414971696426,0.043266467100849415,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.10142495612309835,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,1.5,0.5,0.03535365613842111,0.042275373226354454,-0.006921717087933342,0.006759527533218873,0.2156961331092029,0.20893660557598404,0.14701871336874334,0.1558385038696437,0.00881979050090037,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp D residual,0.2177563960768844,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.5,0.5,0.035288903687995275,0.042117203349869105,-0.0068282996618738295,0.008027086586446963,0.2135669657908588,0.20553987920441183,0.1469748374752075,0.15574414971696426,0.008769312241756755,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp D residual,0.21430919144616858,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,2.5,0.03922274090255147,0.042275373226354454,-0.003052632323802984,0.1746311636161083,0.2156961331092029,0.0410649694930946,0.013855858397475329,0.1558385038696437,0.14198264547216838,0.08607315403878207,0.08607314408771574,9.951066332059e-09,fail,failed gate: first/sharp DF residual,0.18304761496526298,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,2.5,0.03928112535234548,0.042117203349869105,-0.0028360779975236255,0.17505976245047572,0.2135669657908588,0.03850720334038307,0.013251239586692998,0.15574414971696426,0.14249291013027127,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,fail,failed gate: first/sharp DF residual,0.18100011347065434,False,0.05,0.04,0.015,0.001
