relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,empirical_proportion,condition_n,signed_residual,abs_residual
first,blurred,FCD,0.0020620522554963827,14,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0036101083032490976,554,-0.0015480560477527149,0.0015480560477527149
first,blurred,FD,0.006318078376352787,11,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.009025270758122744,554,-0.0027071923817699566,0.0027071923817699566
first,blurred,FDC,0.005221780855208635,12,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0036101083032490976,554,0.0016116725519595377,0.0016116725519595377
first,sharp,C,0.010597102344036102,5,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,502,0.010597102344036102,0.010597102344036102
first,sharp,CD,0.0015135192079469562,6,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,502,0.0015135192079469562,0.0015135192079469562
first,sharp,CDF,0.019424710422754288,7,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.017928286852589643,502,0.0014964235701646449,0.0014964235701646449
first,sharp,CF,0.021966226398944855,8,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.09362549800796813,502,-0.07165927160902327,0.07165927160902327
first,sharp,CFD,0.0024563756305724382,9,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.00199203187250996,502,0.0004643437580624781,0.0004643437580624781
first,sharp,D,0.11318015307188034,0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.2689243027888446,502,-0.15574414971696426,0.15574414971696426
first,sharp,DC,0.06499835848808289,1,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.045816733067729085,502,0.0191816254203538,0.0191816254203538
first,sharp,DCF,0.2229137271642685,2,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.2051792828685259,502,0.017734444295742585,0.017734444295742585
first,sharp,DF,0.44464266300201416,3,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.23107569721115537,502,0.2135669657908588,0.2135669657908588
first,sharp,DFC,0.05335695669054985,4,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.021912350597609563,502,0.03144460609294029,0.03144460609294029
first,sharp,F,0.02732326090335846,10,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.10159362549800798,502,-0.07427036459464952,0.07427036459464952
first,sharp,FC,0.007501883897930384,13,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0099601593625498,502,-0.002458275464619417,0.002458275464619417
