base_d,base_c,base_f,lambda_scale,rho_scale,beta_scale,color_sem,stage,r,r2,mae,rmse,second_c_abs,second_c_signed,both_c_abs,both_c_signed,first_c_abs,balanced_loss
0.3,1.9,0.0,1.0,1.25,1.0,0.7,top_base_param_grid,0.5864692897046947,0.3439462277667291,0.06377592611625497,0.11471212231786224,0.060016175846994646,-0.060016175846994646,0.4544599615958891,0.4544599615958891,0.1540457352942078,0.40195827896280145
0.3,1.9,0.25,1.0,1.25,1.15,0.8,top_base_param_grid,0.6276327162095786,0.3939228264566134,0.05834514629622308,0.10844730425784348,0.07445069227689577,-0.07445069227689577,0.4382518791583738,0.4382518791583738,0.1016896299964039,0.4020239361139262
0.3,1.6,0.0,1.25,1.25,1.15,0.8,top_base_param_grid,0.5989201930412239,0.3587053976325369,0.06213711324697549,0.1150389985482959,0.06000449333661867,-0.06000449333661867,0.45442172521626567,0.45442172521626567,0.09441304280816003,0.4022543544930474
0.0,1.9,0.0,0.75,1.25,0.85,0.8,top_base_param_grid,0.6131607988056058,0.3759661651919286,0.05986296760745793,0.10880730539523183,0.06569447193616701,-0.06569447193616701,0.45568677419697856,0.45568677419697856,0.13379855900464938,0.4023451644298881
0.3,1.9,0.25,0.75,1.25,0.85,0.8,top_base_param_grid,0.6508077379451004,0.42355071176921844,0.05808196480216008,0.10083290689645168,0.10557143960470033,-0.10557143960470033,0.39252873891865825,0.39252873891865825,0.09891942217408105,0.40266871596048115
0.0,1.9,0.0,0.75,1.25,1.0,0.7,top_base_param_grid,0.6278812065898297,0.39423480958870044,0.059221094117441204,0.10508392843995648,0.09848626528257204,-0.09848626528257204,0.39941334361111736,0.39941334361111736,0.13935735895691798,0.40327686552808717
0.3,1.6,0.0,1.0,1.25,1.0,0.7,top_base_param_grid,0.6287739980006378,0.3953567405617061,0.06140426504160154,0.10522452375715645,0.11326487932676149,-0.11326487932676149,0.3700156473544798,0.3700156473544798,0.10454069151936456,0.40349722676115785
0.0,1.6,0.0,1.0,1.25,1.15,0.8,top_base_param_grid,0.6333197486119203,0.40109390398186595,0.05770912709745586,0.10718398408950539,0.07946332369321657,-0.07946332369321657,0.43460906678711986,0.43460906678711986,0.1007823280936329,0.4039518411762819
0.3,1.9,0.25,1.0,1.25,1.15,0.7,top_base_param_grid,0.6287051637301769,0.3952701829009886,0.05922626990894382,0.10670949829060912,0.09282304916852785,-0.09282304916852785,0.40921043986355876,0.40921043986355876,0.12448439076004907,0.40413776739091634
0.0,1.6,0.0,0.75,1.25,0.85,0.8,top_base_param_grid,0.6560329636311445,0.4303792493706626,0.05755173355255084,0.09982468797637617,0.10957120929235292,-0.10957120929235292,0.38951575392758464,0.38951575392758464,0.0980229124373047,0.4041537742325214
0.3,1.9,0.0,0.75,1.25,1.0,0.7,top_base_param_grid,0.6322707799395372,0.39976633916535065,0.06119552255832954,0.1035536946455616,0.12886800442212892,-0.12886800442212892,0.3446702324775419,0.3446702324775419,0.10673610194979592,0.40475681530646146
0.3,1.6,0.0,1.25,1.25,1.15,0.59,top_base_param_grid,0.6080470957006548,0.3697212705900013,0.06348792939183139,0.109914766197788,0.10045610938543154,-0.10045610938543154,0.3891464882520399,0.3891464882520399,0.132055357838258,0.4049441197092395
0.3,2.2,0.0,0.75,1.0,1.15,0.8,top_base_param_grid,0.6284667008809045,0.3949703941161283,0.05991601915172887,0.1066397179977581,0.1030407455968268,-0.1030407455968268,0.3906985932019911,0.3906985932019911,0.09474738388715669,0.40502976019558046
0.0,2.2,0.0,0.75,1.25,1.0,0.7,top_base_param_grid,0.5897031539250658,0.3477498097491698,0.06119193109372716,0.11392375136810372,0.05701452467386897,-0.05045842204564882,0.4686963074830732,0.4686963074830732,0.1866999685710518,0.4052864297835093
0.0,2.2,0.0,0.75,1.25,1.15,0.8,top_base_param_grid,0.6084380960668343,0.37019691674543426,0.0592619386869668,0.11303083265231023,0.0576919016594189,-0.039435705285013445,0.46999619537865733,0.46999619537865733,0.13121915310083315,0.4057208320010578
0.0,1.6,0.0,1.0,1.25,1.15,0.7,top_base_param_grid,0.6342728969556717,0.4023021078125401,0.05850697100445379,0.10552609890670886,0.09770747099393678,-0.09770747099393678,0.40573805207287883,0.40573805207287883,0.12339375614581986,0.4061025959370851
0.3,1.9,0.0,1.0,1.25,1.15,0.59,top_base_param_grid,0.6023182098617222,0.3627872259310297,0.06379220097463,0.11008776660699758,0.10446884308332277,-0.10446884308332277,0.3844729178575239,0.3844729178575239,0.1480584748035519,0.4067930686190823
0.3,2.2,0.25,0.75,1.25,0.85,0.7,top_base_param_grid,0.6062281696736264,0.3675125937058351,0.060866259667772926,0.10844120964831813,0.08339955482953859,-0.08339955482953859,0.4301630669263563,0.4301630669263563,0.16380910276828692,0.40692229794103485
