model,semantics,sufficient_form_pair_boost,three_word_penalty,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.75,0.0,utterance_cells,overall,90,0.02710722864171222,0.04294332450828748,0.18898875052727696
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.75,0.25,utterance_cells,overall,90,0.024918951627467795,0.03940492476182138,0.1661904076742727
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.75,0.5,utterance_cells,overall,90,0.024020769197972747,0.03901632505685609,0.1550066620333302
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.75,0.75,utterance_cells,overall,90,0.02411255577532599,0.04133450291476926,0.15462200239969348
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.75,1.0,utterance_cells,overall,90,0.02529740561640717,0.045336179041445976,0.16405567919651734
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,0.0,utterance_cells,overall,90,0.025813505781752132,0.041835822649701766,0.18201081479638373
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,0.25,utterance_cells,overall,90,0.023697736743085552,0.0396155581533284,0.16219363009546361
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,0.5,utterance_cells,overall,90,0.023009404438235126,0.04050063401112871,0.15375111981465198
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,0.75,utterance_cells,overall,90,0.023995940974485812,0.043737005800767774,0.155828387590416
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,1.0,utterance_cells,overall,90,0.025566961158358357,0.048255176379908164,0.16742504393323412
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.25,0.0,utterance_cells,overall,90,0.02529394391301611,0.043714015215243256,0.182812350094877
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.25,0.25,utterance_cells,overall,90,0.023658723945634903,0.043139179953544646,0.16622158137168624
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.25,0.5,utterance_cells,overall,90,0.02351724090581893,0.045222403809248767,0.16070150966038635
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.25,0.75,utterance_cells,overall,90,0.02456480390077003,0.04908228386034664,0.16536725046555856
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.25,1.0,utterance_cells,overall,90,0.026110452556006476,0.053795657587420394,0.17920985443351928
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,length,overall,18,0.11829990384427869,0.13863194873440834,0.10077907612999973
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,order,overall,24,0.058454841327591316,0.0863088741922987,0.072575563331782
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,overinformativeness,overall,14,0.09970954713974385,0.12173127758138962,0.0462448218273573
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,selection,overall,24,0.055717040567474986,0.07037761173131939,0.08561472232723352
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,length,overall,18,0.11823919179875442,0.1385611296523215,0.10071081512364147
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,order,overall,24,0.05854255899201937,0.08632880046859573,0.07264422529238602
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,overinformativeness,overall,14,0.0995682365988345,0.12153419648644724,0.04609377959811741
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,selection,overall,24,0.0556883871478984,0.07033352014012932,0.08559708922155151
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,length,overall,18,0.1182999008618409,0.13863194579784205,0.10077907331462568
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,order,overall,24,0.058454840970890466,0.0863088742036364,0.07257556144311453
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,overinformativeness,overall,14,0.0997095477122151,0.12173127590514733,0.04624482034442737
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.0,selection,overall,24,0.0557170398361335,0.0703776108795549,0.08561472104585367
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,0.25,length,overall,18,0.09381939606211526,0.1109865660383198,0.07084522327562087
