bias,color_semvalue,gamma,k,sigma,steepness,wf
0.29140064,0.94001424,3.3771768,0.27342772,0.09999907,1.3407456,0.89501417
0.29516008,0.9393201,3.3491735,0.29973057,0.099998,1.743286,0.92351276
0.29123163,0.93972874,3.3600569,0.28462285,0.09999686,1.5057921,0.9073144
0.26908103,0.9398233,3.3678799,0.3124271,0.09999081,1.4003494,0.8908299
0.2616374,0.9397342,3.3801937,0.36356318,0.09999355,1.3149961,0.89966744
0.2886895,0.94045246,3.2799509,0.3219652,0.09999889,0.67360365,0.9020141
0.25145197,0.94001573,3.395032,0.4340158,0.099992156,0.57397497,0.90741354
0.29615366,0.93957007,3.3158498,0.34332114,0.09999895,0.566924,0.91973865
0.28012657,0.9395474,3.4384723,0.24965967,0.09999531,0.7156621,0.8935381
0.29402938,0.9395139,3.3152616,0.31819353,0.09999913,0.7229562,0.9148176
0.2779272,0.93940604,3.4642532,0.2777955,0.099997796,0.5352381,0.9227673
0.2972976,0.93974763,3.171331,0.44332072,0.09999903,0.726238,0.935432
0.2685835,0.94034374,3.5728092,0.22109383,0.0999999,0.67733014,0.87119764
0.2653549,0.93987155,3.690298,0.23070496,0.09999998,0.35821187,0.8949268
0.28338337,0.9395832,3.5388036,0.34836116,0.09999999,0.34239358,0.93775076
0.31114623,0.9394626,3.2239141,0.34752774,0.099989735,0.685107,0.94440216
0.2874722,0.93918806,3.404839,0.3194594,0.09999418,0.43128896,0.9391158
0.31778967,0.94036984,3.0990853,0.42351106,0.099998705,1.2495974,0.9265681
0.2973011,0.9394362,3.3831854,0.2895935,0.09999325,0.47169054,0.9187232
0.28544787,0.93928885,3.5119011,0.23367257,0.09999503,0.63052297,0.9064474
0.27749988,0.9390879,3.5076375,0.26100844,0.09999762,0.5651062,0.9146516
0.28782225,0.9396945,3.4835367,0.21696857,0.099995516,0.5881402,0.8853344
0.27889237,0.93983674,3.423331,0.30956095,0.09999453,0.55448675,0.9154173
0.26961672,0.9399526,3.3515017,0.32476726,0.099998854,0.79605365,0.89356667
0.27539033,0.9395641,3.4317935,0.36581764,0.09999557,0.48608503,0.9278661
