relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,diff,label,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.03667844522968198,0.02120141342756184,0.053003533568904596,0.03667844522968198,both | blurred | D,both | blurred
first,sharp,6,CD,0.0,0.0,0.0,502,0.014836653386454183,0.00597609561752988,0.025896414342629483,0.014836653386454183,first | sharp | CD,first | sharp
first,sharp,7,CDF,0.017928286852589643,0.00796812749003984,0.029880478087649404,502,0.015159362549800796,0.00597609561752988,0.027888446215139442,-0.002768924302788847,first | sharp | CDF,first | sharp
first,sharp,8,CF,0.09362549800796813,0.06772908366533864,0.1195717131474101,502,0.03446215139442231,0.018874501992031875,0.05084661354581669,-0.05916334661354582,first | sharp | CF,first | sharp
first,sharp,9,CFD,0.00199203187250996,0.0,0.00597609561752988,502,0.01552191235059761,0.00597609561752988,0.027888446215139442,0.01352988047808765,first | sharp | CFD,first | sharp
first,sharp,10,F,0.10159362549800798,0.07569721115537849,0.1294820717131474,502,0.015159362549800796,0.00597609561752988,0.025896414342629483,-0.08643426294820718,first | sharp | F,first | sharp
first,sharp,11,FD,0.00199203187250996,0.0,0.00597609561752988,502,0.014503109805267906,0.004880478087649404,0.025896414342629483,0.012511077932757946,first | sharp | FD,first | sharp
first,sharp,12,FDC,0.0,0.0,0.0,502,0.01841832669322709,0.00796812749003984,0.03386454183266932,0.01841832669322709,first | sharp | FDC,first | sharp
first,sharp,13,FC,0.0099601593625498,0.00199203187250996,0.0199203187250996,502,0.020880478087649403,0.00796812749003984,0.03386454183266932,0.010920318725099602,first | sharp | FC,first | sharp
first,sharp,14,FCD,0.0,0.0,0.0,502,0.01494820717131474,0.00597609561752988,0.027888446215139442,0.01494820717131474,first | sharp | FCD,first | sharp
second,blurred,0,D,0.0,0.0,0.0,567,0.019689594356261022,0.008818342151675485,0.031746031746031744,0.019689594356261022,second | blurred | D,second | blurred
second,blurred,1,DC,0.0,0.0,0.0,567,0.04934038800705467,0.031746031746031744,0.06794532627865957,0.04934038800705467,second | blurred | DC,second | blurred
second,blurred,2,DCF,0.026455026455026454,0.014109347442680775,0.04056437389770723,567,0.043925925925925924,0.026455026455026454,0.06349206349206349,0.01747089947089947,second | blurred | DCF,second | blurred
second,blurred,3,DF,0.0,0.0,0.0,567,0.015499118165784833,0.005291005291005291,0.026455026455026454,0.015499118165784833,second | blurred | DF,second | blurred
second,blurred,4,DFC,0.014109347442680775,0.005291005291005291,0.024691358024691357,567,0.016462081128747794,0.007054673721340388,0.029982363315696647,0.0023527336860670184,second | blurred | DFC,second | blurred
