conditions,relevant_property,sharpness,utterance_label,context_fixed,context_updating,delta_updating_minus_fixed,abs_delta_updating_minus_fixed,semantic_family
erdc,first,sharp,DFC,0.10933083,0.15197337,0.042642534,0.042642534,tmcc
erdc,first,sharp,F,0.023726676,0.023623515,-0.00010316074,0.00010316074,tmcc
erdc,first,sharp,FC,0.005157679,0.0051371213,-2.0557549e-05,2.0557549e-05,tmcc
erdc,first,sharp,FCD,0.0023238936,0.0023160442,-7.8494195e-06,7.8494195e-06,tmcc
erdc,first,sharp,FD,0.0065043755,0.0064784554,-2.5920104e-05,2.5920104e-05,tmcc
erdc,first,sharp,FDC,0.0134748835,0.013416244,-5.8639795e-05,5.8639795e-05,tmcc
zrdc,second,blurred,C,0.37224606,0.37254825,0.00030219555,0.00030219555,tmcc
zrdc,second,blurred,CD,0.032582637,0.033039767,0.00045713037,0.00045713037,tmcc
zrdc,second,blurred,CDF,0.07612587,0.077206664,0.0010807961,0.0010807961,tmcc
zrdc,second,blurred,CF,0.10473462,0.10342363,-0.0013109893,0.0013109893,tmcc
zrdc,second,blurred,CFD,0.05018728,0.04956375,-0.0006235279,0.0006235279,tmcc
zrdc,second,blurred,D,0.052249715,0.052296862,4.7147274e-05,4.7147274e-05,tmcc
zrdc,second,blurred,DC,0.11830926,0.118861444,0.0005521849,0.0005521849,tmcc
zrdc,second,blurred,DCF,0.06021053,0.060493633,0.00028310344,0.00028310344,tmcc
zrdc,second,blurred,DF,0.019074371,0.018578172,-0.00049619935,0.00049619935,tmcc
zrdc,second,blurred,DFC,0.014381927,0.01401156,-0.00037036743,0.00037036743,tmcc
zrdc,second,blurred,F,0.04947994,0.049519613,3.967434e-05,3.967434e-05,tmcc
zrdc,second,blurred,FC,0.03485389,0.034881234,2.734363e-05,2.734363e-05,tmcc
zrdc,second,blurred,FCD,0.0078040333,0.007809777,5.7434663e-06,5.7434663e-06,tmcc
zrdc,second,blurred,FD,0.002642201,0.0026439836,1.7825514e-06,1.7825514e-06,tmcc
zrdc,second,blurred,FDC,0.005117658,0.0051216744,4.0163286e-06,4.0163286e-06,tmcc
zrdc,second,sharp,C,0.33883452,0.3390694,0.0002348721,0.0002348721,tmcc
zrdc,second,sharp,CD,0.035235673,0.035771888,0.00053621456,0.00053621456,tmcc
zrdc,second,sharp,CDF,0.08239847,0.08366624,0.0012677759,0.0012677759,tmcc
zrdc,second,sharp,CF,0.09016686,0.08857071,-0.0015961528,0.0015961528,tmcc
zrdc,second,sharp,CFD,0.043371707,0.0426101,-0.0007616058,0.0007616058,tmcc
zrdc,second,sharp,D,0.061594937,0.061641883,4.694611e-05,4.694611e-05,tmcc
zrdc,second,sharp,DC,0.13932277,0.13939774,7.496774e-05,7.496774e-05,tmcc
zrdc,second,sharp,DCF,0.07552297,0.07556376,4.079193e-05,4.079193e-05,tmcc
zrdc,second,sharp,DF,0.022754958,0.022808742,5.378388e-05,5.378388e-05,tmcc
zrdc,second,sharp,DFC,0.01718276,0.017222976,4.021637e-05,4.021637e-05,tmcc
zrdc,second,sharp,F,0.04592971,0.04596086,3.1147152e-05,3.1147152e-05,tmcc
zrdc,second,sharp,FC,0.031373825,0.031394612,2.078712e-05,2.078712e-05,tmcc
zrdc,second,sharp,FCD,0.0075043864,0.007509044,4.657544e-06,4.657544e-06,tmcc
zrdc,second,sharp,FD,0.0029639294,0.0029656533,1.7238781e-06,1.7238781e-06,tmcc
zrdc,second,sharp,FDC,0.00584253,0.0058464142,3.884081e-06,3.884081e-06,tmcc
