relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,model,condition,signed_residual,abs_residual,human_mean_covered_by_model_ci,model_mean_covered_by_human_ci,residual_rank
second,blurred,6,CD,0.0,0.0,0.0,567,0.02675837742504409,0.008818342151675485,0.059964726631393295,principled_salience_stop_regularized_2x2_glob_rec,second | blurred,0.02675837742504409,0.02675837742504409,False,False,8
second,blurred,7,CDF,0.005291005291005291,0.0,0.012345679012345678,567,0.03165079365079365,0.014109347442680775,0.05736331569664899,principled_salience_stop_regularized_2x2_glob_rec,second | blurred,0.02635978835978836,0.02635978835978836,False,False,9
second,blurred,3,DF,0.0,0.0,0.0,567,0.025887125220458555,0.005291005291005291,0.07499999999999996,principled_salience_stop_regularized_2x2_glob_rec,second | blurred,0.025887125220458555,0.025887125220458555,False,False,10
second,sharp,5,C,0.7162698412698413,0.6765873015873016,0.7559523809523809,504,0.17569444444444446,0.03571428571428571,0.25,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,-0.5405753968253968,0.5405753968253968,False,False,1
second,sharp,1,DC,0.001984126984126984,0.0,0.005952380952380952,504,0.21642460317460316,0.07633928571428572,0.2927083333333333,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.21444047619047618,0.21444047619047618,False,False,2
second,sharp,2,DCF,0.001984126984126984,0.0,0.005952380952380952,504,0.1521468253968254,0.09126984126984126,0.27976190476190477,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.15016269841269841,0.15016269841269841,False,False,3
second,sharp,8,CF,0.23015873015873015,0.19246031746031747,0.26587301587301587,504,0.0995,0.037698412698412696,0.14285714285714285,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,-0.13065873015873014,0.13065873015873014,False,False,4
second,sharp,4,DFC,0.005952380952380952,0.0,0.013888888888888888,504,0.07586507936507937,0.037698412698412696,0.10818452380952376,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.06991269841269843,0.06991269841269843,False,False,5
second,sharp,13,FC,0.01984126984126984,0.00992063492063492,0.03373015873015873,504,0.06273809523809523,0.037698412698412696,0.0873015873015873,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.04289682539682539,0.04289682539682539,False,False,6
second,sharp,6,CD,0.0,0.0,0.0,504,0.02926984126984127,0.011904761904761904,0.057539682539682536,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.02926984126984127,0.02926984126984127,False,False,7
second,sharp,7,CDF,0.003968253968253968,0.0,0.00992063492063492,504,0.032789682539682535,0.015873015873015872,0.061507936507936505,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.028821428571428567,0.028821428571428567,False,False,8
second,sharp,12,FDC,0.0,0.0,0.0,504,0.0288015873015873,0.011904761904761904,0.06056547619047614,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.0288015873015873,0.0288015873015873,False,False,9
second,sharp,3,DF,0.0,0.0,0.0,504,0.028658730158730158,0.007936507936507936,0.07539682539682539,principled_salience_stop_regularized_2x2_glob_rec,second | sharp,0.028658730158730158,0.028658730158730158,False,False,10
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.11687985865724382,0.03794169611307421,0.16877208480565367,principled_salience_stop_regularized_2x2_glob_static,both | blurred,-0.1534381625441696,0.1534381625441696,False,False,1
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.166017667844523,0.11307420494699646,0.2712455830388692,principled_salience_stop_regularized_2x2_glob_static,both | blurred,-0.14316961130742045,0.14316961130742045,False,False,2
