relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.012169611307420494,0.0035335689045936395,0.022968197879858657,both | blurred
second,blurred,5,C,0.6278659611992945,0.5890652557319224,0.6684303350970018,567,0.7222222222222222,0.6772486772486772,0.7671957671957672,second | blurred
second,blurred,6,CD,0.0,0.0,0.0,567,0.0060506236767786156,0.001763668430335097,0.014109347442680775,second | blurred
second,blurred,7,CDF,0.005291005291005291,0.0,0.012345679012345678,567,0.030497354497354495,0.01763668430335097,0.04585537918871252,second | blurred
second,blurred,8,CF,0.26278659611992944,0.2257495590828924,0.2980599647266314,567,0.07962257495590828,0.0564373897707231,0.10229276895943562,second | blurred
second,blurred,9,CFD,0.0,0.0,0.0,567,0.019061728395061726,0.008818342151675485,0.031746031746031744,second | blurred
second,blurred,10,F,0.04409171075837742,0.02821869488536155,0.06172839506172839,567,0.01183774250440917,0.003527336860670194,0.02292768959435626,second | blurred
second,blurred,11,FD,0.0,0.0,0.0,567,0.001763668430335097,0.001763668430335097,0.001763668430335097,second | blurred
second,blurred,12,FDC,0.0,0.0,0.0,567,0.002158335491668825,0.001763668430335097,0.003527336860670194,second | blurred
second,blurred,13,FC,0.019400352733686066,0.008818342151675485,0.031746031746031744,567,0.00718424936112011,0.001763668430335097,0.014109347442680775,second | blurred
second,blurred,14,FCD,0.0,0.0,0.0,567,0.002695183446357155,0.001763668430335097,0.007054673721340388,second | blurred
second,sharp,0,D,0.0,0.0,0.0,504,0.011046437354284436,0.003968253968253968,0.01984126984126984,second | sharp
second,sharp,1,DC,0.001984126984126984,0.0,0.005952380952380952,504,0.06287301587301587,0.04365079365079365,0.08531746031746032,second | sharp
second,sharp,2,DCF,0.001984126984126984,0.0,0.005952380952380952,504,0.07288492063492064,0.051587301587301584,0.09627976190476185,second | sharp
second,sharp,3,DF,0.0,0.0,0.0,504,0.010514279339580544,0.001984126984126984,0.020982142857142835,second | sharp
second,sharp,4,DFC,0.005952380952380952,0.0,0.013888888888888888,504,0.0063025210084033615,0.001984126984126984,0.013888888888888888,second | sharp
second,sharp,5,C,0.7162698412698413,0.6765873015873016,0.7559523809523809,504,0.693234126984127,0.6448412698412699,0.7420634920634921,second | sharp
second,sharp,6,CD,0.0,0.0,0.0,504,0.006898974867724867,0.001984126984126984,0.015873015873015872,second | sharp
second,sharp,7,CDF,0.003968253968253968,0.0,0.00992063492063492,504,0.035595238095238096,0.01984126984126984,0.051587301587301584,second | sharp
second,sharp,8,CF,0.23015873015873015,0.19246031746031747,0.26587301587301587,504,0.06512301587301587,0.04459325396825397,0.0873015873015873,second | sharp
second,sharp,9,CFD,0.0,0.0,0.0,504,0.015312370773292616,0.005952380952380952,0.027777777777777776,second | sharp
second,sharp,10,F,0.01984126984126984,0.00992063492063492,0.031746031746031744,504,0.01188484095110601,0.003968253968253968,0.021825396825396824,second | sharp
second,sharp,11,FD,0.0,0.0,0.0,504,0.002125850340136054,0.001984126984126984,0.003968253968253968,second | sharp
second,sharp,12,FDC,0.0,0.0,0.0,504,0.0023809523809523807,0.001984126984126984,0.003968253968253968,second | sharp
second,sharp,13,FC,0.01984126984126984,0.00992063492063492,0.03373015873015873,504,0.006776367571822117,0.001984126984126984,0.01572420634920637,second | sharp
second,sharp,14,FCD,0.0,0.0,0.0,504,0.0028355830521184853,0.001984126984126984,0.005952380952380952,second | sharp
