variant,alpha,order_bias,usefulness_order_scale,signed_order_scale,planned_mixture_weight,observation_rmse,observation_mae,observation_correlation,observation_r2,condition_rmse,condition_mae,condition_abs_zrdc_residual,condition_abs_erdc_residual,condition_abs_brdc_residual,mechanism_count,free_parameter_count,description,grid_id,elpd_loo,elpd_loo_se,grid_pareto_frontier
planned_usefulness_mixture,3.0,1.5,1.0,,0.25,0.3721139914352259,0.30172581431888595,0.2861807680980961,0.08189943202921626,0.0705725305146778,0.061312065631905305,0.09708658483859271,0.04751157548961202,0.03933803656751119,5,5,convex mixture of greedy local and planned usefulness-order speakers,1733,,,False
planned_usefulness_mixture,4.0,1.5,2.0,,0.5,0.3721462350910409,0.30243921149697794,0.28630437410646575,0.0819701946324951,0.07071221151588064,0.06099899444885879,0.09879157318803733,0.0476566292224051,0.03654878093613397,5,5,convex mixture of greedy local and planned usefulness-order speakers,2208,,,False
planned_usefulness_mixture,4.0,1.0,1.5,,1.0,0.37194452410218976,0.32068045538632445,0.2877677995192366,0.08281030644014355,0.0718479207461697,0.06403479551581408,0.09429819551007382,0.07405106750909768,0.023755123528270732,5,5,convex mixture of greedy local and planned usefulness-order speakers,2138,,,False
planned_usefulness_mixture,1.0,1.0,1.5,,1.0,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.0718479207461697,0.06403479551581408,0.09429819551007387,0.07405106750909765,0.0237551235282707,5,5,convex mixture of greedy local and planned usefulness-order speakers,290,,,False
planned_usefulness_order,2.0,1.0,1.5,,,0.37194452410218976,0.32068045538632445,0.2877677995192546,0.0828103064401539,0.07184792074616972,0.06403479551581409,0.09429819551007387,0.07405106750909766,0.02375512352827073,4,4,planned stop speaker with order prior moderated by referential usefulness,1209,,,False
planned_usefulness_signed_order,2.0,1.0,,1.5,,0.37194452410218976,0.32068045538632445,0.2877677995192546,0.0828103064401539,0.07184792074616972,0.06403479551581409,0.09429819551007387,0.07405106750909766,0.02375512352827073,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,1248,,,False
planned_usefulness_order,3.0,1.0,1.5,,,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.07184792074616972,0.06403479551581408,0.09429819551007387,0.07405106750909765,0.02375512352827073,4,4,planned stop speaker with order prior moderated by referential usefulness,1671,,,False
planned_usefulness_signed_order,3.0,1.0,,1.5,,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.07184792074616972,0.06403479551581408,0.09429819551007387,0.07405106750909765,0.02375512352827073,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,1710,,,False
planned_usefulness_mixture,2.0,1.0,1.5,,1.0,0.37194452410218976,0.32068045538632445,0.2877677995192546,0.0828103064401539,0.07184792074616972,0.06403479551581409,0.09429819551007387,0.07405106750909766,0.02375512352827073,5,5,convex mixture of greedy local and planned usefulness-order speakers,1214,,,False
planned_usefulness_mixture,3.0,1.0,1.5,,1.0,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.07184792074616972,0.06403479551581408,0.09429819551007387,0.07405106750909765,0.02375512352827073,5,5,convex mixture of greedy local and planned usefulness-order speakers,1676,,,False
planned_usefulness_order,1.5,1.0,1.5,,,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.07184792074616972,0.0640347955158141,0.0942981955100739,0.07405106750909768,0.023755123528270722,4,4,planned stop speaker with order prior moderated by referential usefulness,747,,,False
planned_usefulness_signed_order,1.5,1.0,,1.5,,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.07184792074616972,0.0640347955158141,0.0942981955100739,0.07405106750909768,0.023755123528270722,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,786,,,False
planned_usefulness_mixture,1.5,1.0,1.5,,1.0,0.37194452410218976,0.32068045538632445,0.287767799519243,0.08281030644014721,0.07184792074616972,0.0640347955158141,0.0942981955100739,0.07405106750909768,0.023755123528270722,5,5,convex mixture of greedy local and planned usefulness-order speakers,752,,,False
planned_usefulness_mixture,3.0,1.5,1.5,,0.75,0.3722917668917145,0.29746882818457354,0.28660873114935864,0.08214456477104534,0.07305941209667857,0.06274767446826811,0.0980823104267051,0.021751252709011893,0.06840946026908733,5,5,convex mixture of greedy local and planned usefulness-order speakers,1741,,,False
planned_usefulness_mixture,3.0,1.0,1.5,,0.5,0.37270938642930995,0.32414491475523344,0.2873439426934303,0.08256654140260535,0.07338703375592955,0.06232522508853681,0.10640923737655514,0.03701172451681259,0.04355471337224269,5,5,convex mixture of greedy local and planned usefulness-order speakers,1674,,,False
planned_usefulness_mixture,3.0,1.5,1.5,,0.25,0.3726925124233041,0.3020761865495006,0.2861980545769584,0.08190932644363566,0.07342525583143727,0.06335879550828975,0.10300580298795198,0.048532808966531116,0.038537774570386166,5,5,convex mixture of greedy local and planned usefulness-order speakers,1739,,,False
planned_usefulness_mixture,1.5,1.5,3.0,,0.25,0.37239231446745613,0.29697527398433676,0.28711215761624836,0.08243339105105744,0.07355517741358612,0.0641436474295574,0.09854064632946828,0.026027528195387385,0.0678627677638165,5,5,convex mixture of greedy local and planned usefulness-order speakers,827,,,False
planned_usefulness_mixture,2.0,1.5,1.5,,0.5,0.37245261325292395,0.29719061964659754,0.28686006198905273,0.08228869516436317,0.07385736808138343,0.06389447043729603,0.0993749015775025,0.02387326805576254,0.06843524167862305,5,5,convex mixture of greedy local and planned usefulness-order speakers,1278,,,False
planned_usefulness_mixture,4.0,1.0,3.0,,0.75,0.372924407170875,0.3242943893901403,0.2874241864458699,0.0826126629540702,0.07443844375317964,0.06308539576002237,0.1083072255573442,0.03602318339725753,0.04492577832546535,5,5,convex mixture of greedy local and planned usefulness-order speakers,2149,,,False
